,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
0,1,11:41.0,,J. Hart makes 3-pt jump shot from 22 ft (assist by K. Kuzma),0,3
1,1,11:23.0,I. Shumpert misses 3-pt jump shot from 26 ft,,0,3
2,1,11:17.0,,Defensive rebound by J. McGee,0,3
3,1,11:09.0,,K. Kuzma misses 3-pt jump shot from 26 ft,0,3
4,1,11:07.0,,Offensive rebound by B. Ingram,0,3
5,1,10:57.0,,J. Hart misses 3-pt jump shot from 26 ft,0,3
6,1,10:51.0,Defensive rebound by B. Hield,,0,3
7,1,10:46.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,2,3
8,1,10:23.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),2,6
9,1,10:12.0,B. Hield makes 3-pt jump shot from 23 ft (assist by I. Shumpert),,5,6
10,1,9:59.0,,Turnover by B. Ingram (bad pass),5,6
11,1,9:49.0,B. Hield misses 2-pt jump shot from 16 ft,,5,6
12,1,9:48.0,,Defensive rebound by Team,5,6
13,1,9:29.0,,J. McGee makes 2-pt hook shot from 5 ft,5,8
14,1,9:15.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),,7,8
15,1,9:02.0,,B. Ingram makes 2-pt jump shot from 6 ft,7,10
16,1,8:45.0,B. Hield misses 3-pt jump shot from 26 ft,,7,10
17,1,8:39.0,,Defensive rebound by B. Ingram,7,10
18,1,8:34.0,,K. Kuzma misses 3-pt jump shot from 26 ft,7,10
19,1,8:29.0,Defensive rebound by D. Fox,,7,10
20,1,8:23.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),,10,10
21,1,7:54.0,,B. Ingram makes 2-pt jump shot from 16 ft,10,12
22,1,7:40.0,B. Hield misses 2-pt jump shot from 9 ft,,10,12
23,1,7:37.0,,Defensive rebound by J. McGee,10,12
24,1,7:35.0,,J. Hart makes 2-pt layup from 2 ft (assist by B. Ingram),10,14
25,1,7:35.0,,Shooting foul by B. Hield (drawn by J. Hart),10,14
26,1,7:35.0,,J. Hart makes free throw 1 of 1,10,15
27,1,7:27.0,D. Fox makes 2-pt jump shot from 7 ft,,12,15
28,1,7:12.0,,J. McGee misses 2-pt layup from 2 ft,12,15
29,1,7:10.0,Defensive rebound by N. Bjelica,,12,15
30,1,7:08.0,Shooting foul by K. Kuzma (drawn by B. Hield),,12,15
31,1,7:08.0,B. Hield makes free throw 1 of 2,,13,15
32,1,7:08.0,,T. Chandler enters the game for J. McGee,13,15
33,1,7:08.0,B. Hield makes free throw 2 of 2,,14,15
34,1,6:52.0,,J. Hart misses 2-pt jump shot from 14 ft,14,15
35,1,6:48.0,Defensive rebound by B. Hield,,14,15
36,1,6:44.0,D. Fox makes 2-pt layup from 1 ft,,16,15
37,1,6:26.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by B. Ingram),16,18
38,1,6:11.0,W. Cauley-Stein makes 2-pt jump shot from 1 ft (assist by D. Fox),,18,18
39,1,6:01.0,,K. Kuzma misses 2-pt jump shot from 19 ft,18,18
40,1,5:56.0,,Offensive rebound by T. Chandler,18,18
41,1,5:56.0,,T. Chandler makes 2-pt dunk from 1 ft,18,20
42,1,5:38.0,I. Shumpert makes 2-pt jump shot from 22 ft (assist by N. Bjelica),,20,20
43,1,5:29.0,,L. Ball misses 2-pt layup from 2 ft (block by W. Cauley-Stein),20,20
44,1,5:29.0,,Offensive rebound by Team,20,20
45,1,5:29.0,,LA Lakers full timeout,20,20
46,1,5:29.0,B. Bogdanović enters the game for D. Fox,,20,20
47,1,5:26.0,,K. Kuzma misses 2-pt layup from 3 ft,20,20
48,1,5:23.0,Defensive rebound by W. Cauley-Stein,,20,20
49,1,5:07.0,Def 3 sec tech foul by Team,,20,20
50,1,5:07.0,B. Hield makes technical free throw,,21,20
51,1,4:58.0,B. Bogdanović makes 2-pt layup from 2 ft,,23,20
52,1,4:42.0,,L. Ball misses 2-pt layup from 1 ft,23,20
53,1,4:39.0,Defensive rebound by W. Cauley-Stein,,23,20
54,1,4:38.0,Shooting foul by B. Ingram (drawn by I. Shumpert),,23,20
55,1,4:38.0,I. Shumpert misses free throw 1 of 2,,23,20
56,1,4:38.0,Offensive rebound by Team,,23,20
57,1,4:38.0,J. Jackson enters the game for N. Bjelica,,23,20
58,1,4:38.0,K. Koufos enters the game for W. Cauley-Stein,,23,20
59,1,4:38.0,,K. Caldwell-Pope enters the game for L. Ball,23,20
60,1,4:38.0,I. Shumpert makes free throw 2 of 2,,24,20
61,1,4:24.0,,Personal foul by B. Hield (drawn by T. Chandler),24,20
62,1,4:20.0,,Shooting foul by I. Shumpert (drawn by B. Ingram),24,20
63,1,4:20.0,,B. Ingram makes free throw 1 of 2,24,21
64,1,4:20.0,Y. Ferrell enters the game for I. Shumpert,,24,21
65,1,4:20.0,,B. Ingram misses free throw 2 of 2,24,21
66,1,4:17.0,Defensive rebound by K. Koufos,,24,21
67,1,4:07.0,Personal foul by K. Caldwell-Pope (drawn by K. Koufos),,24,21
68,1,4:03.0,B. Bogdanović misses 2-pt jump shot from 24 ft,,24,21
69,1,4:00.0,,Defensive rebound by B. Ingram,24,21
70,1,3:54.0,,B. Ingram misses 2-pt layup from 1 ft,24,21
71,1,3:50.0,,Offensive rebound by T. Chandler,24,21
72,1,3:50.0,,T. Chandler makes 2-pt layup from 1 ft,24,23
73,1,3:48.0,Personal foul by J. Hart (drawn by Y. Ferrell),,24,23
74,1,3:39.0,Turnover by B. Hield (bad pass; steal by J. Hart),,24,23
75,1,3:31.0,,J. Hart misses 3-pt jump shot from 26 ft,24,23
76,1,3:28.0,,Offensive rebound by T. Chandler,24,23
77,1,3:26.0,,Turnover by B. Ingram (discontinued dribble),24,23
78,1,3:26.0,B. McLemore enters the game for B. Hield,,24,23
79,1,3:10.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,24,23
80,1,3:06.0,Offensive rebound by K. Koufos,,24,23
81,1,3:04.0,K. Koufos makes 2-pt hook shot from 5 ft,,26,23
82,1,2:51.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by K. Kuzma),26,26
83,1,2:51.0,,Shooting foul by B. McLemore (drawn by J. Hart),26,26
84,1,2:51.0,Sacramento full timeout,,26,26
85,1,2:51.0,,L. Stephenson enters the game for K. Kuzma,26,26
86,1,2:51.0,,J. Hart makes free throw 1 of 1,26,27
87,1,2:38.0,Turnover by B. Bogdanović (out of bounds lost ball),,26,27
88,1,2:30.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by B. Ingram),26,29
89,1,2:09.0,K. Koufos makes 2-pt hook shot from 7 ft,,28,29
90,1,1:52.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,28,29
91,1,1:50.0,,Offensive rebound by T. Chandler,28,29
92,1,1:45.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),28,32
93,1,1:34.0,Def 3 sec tech foul by Team,,28,32
94,1,1:34.0,Y. Ferrell makes technical free throw,,29,32
95,1,1:27.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,29,32
96,1,1:26.0,,Defensive rebound by Team,29,32
97,1,1:12.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by T. Chandler),29,34
98,1,1:03.0,Y. Ferrell misses 2-pt jump shot from 13 ft,,29,34
99,1,1:00.0,Offensive rebound by K. Koufos,,29,34
100,1,0:57.0,Y. Ferrell makes 2-pt jump shot from 21 ft (assist by K. Koufos),,31,34
101,1,0:45.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by J. Hart),31,37
102,1,0:32.0,K. Koufos misses 2-pt layup from 1 ft (block by T. Chandler),,31,37
103,1,0:29.0,,Defensive rebound by T. Chandler,31,37
104,1,0:26.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,31,37
105,1,0:22.0,Defensive rebound by K. Koufos,,31,37
106,1,0:02.0,Turnover by B. Bogdanović (lost ball; steal by K. Caldwell-Pope),,31,37
107,1,0:00.0,,T. Chandler misses 3-pt jump shot from 24 ft,31,37
108,1,0:00.0,,Offensive rebound by Team,31,37
109,2,11:45.0,N. Bjelica misses 3-pt jump shot from 26 ft,,31,37
110,2,11:39.0,Offensive rebound by B. McLemore,,31,37
111,2,11:38.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. McLemore),,34,37
112,2,11:20.0,,L. Stephenson makes 2-pt jump shot from 20 ft,34,39
113,2,11:10.0,D. Fox makes 2-pt layup from 2 ft,,36,39
114,2,11:10.0,Shooting foul by L. Stephenson (drawn by D. Fox),,36,39
115,2,11:10.0,,J. Williams enters the game for J. McGee,36,39
116,2,11:10.0,D. Fox misses free throw 1 of 1,,36,39
117,2,11:07.0,,Defensive rebound by K. Caldwell-Pope,36,39
118,2,10:53.0,,L. Ball misses 3-pt jump shot from 26 ft,36,39
119,2,10:52.0,Defensive rebound by Team,,36,39
120,2,10:46.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Fox),,38,39
121,2,10:26.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by B. Bogdanović),38,39
122,2,10:23.0,Defensive rebound by B. Bogdanović,,38,39
123,2,10:21.0,B. McLemore makes 3-pt jump shot from 25 ft,,41,39
124,2,10:21.0,,LA Lakers full timeout,41,39
125,2,10:00.0,,L. Stephenson misses 3-pt jump shot from 25 ft,41,39
126,2,9:56.0,,Offensive rebound by L. Stephenson,41,39
127,2,9:53.0,,L. Stephenson makes 2-pt layup from 1 ft,41,41
128,2,9:33.0,D. Fox misses 2-pt jump shot from 21 ft,,41,41
129,2,9:31.0,,Defensive rebound by L. Stephenson,41,41
130,2,9:22.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,41,43
131,2,8:54.0,D. Fox misses 2-pt layup from 4 ft (block by J. Williams),,41,43
132,2,8:52.0,Offensive rebound by J. Jackson,,41,43
133,2,8:52.0,Shooting foul by J. Williams (drawn by J. Jackson),,41,43
134,2,8:52.0,J. Jackson makes free throw 1 of 2,,42,43
135,2,8:52.0,J. Jackson makes free throw 2 of 2,,43,43
136,2,8:42.0,,Personal foul by D. Fox (drawn by L. Ball),43,43
137,2,8:38.0,,L. Ball makes 2-pt jump shot from 4 ft (assist by L. Stephenson),43,45
138,2,8:22.0,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Bogdanović),,45,45
139,2,7:55.0,,J. Williams misses 2-pt hook shot from 6 ft,45,45
140,2,7:53.0,Defensive rebound by N. Bjelica,,45,45
141,2,7:49.0,B. McLemore makes 2-pt dunk from 2 ft (assist by D. Fox),,47,45
142,2,7:31.0,,L. Ball makes 2-pt layup from 2 ft,47,47
143,2,7:14.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,50,47
144,2,7:00.0,,Personal foul by B. McLemore (drawn by K. Kuzma),50,47
145,2,7:00.0,,J. Hart enters the game for L. Stephenson,50,47
146,2,7:00.0,,B. Ingram enters the game for J. Williams,50,47
