,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,2,0
1,1,11:27.0,,J. Butler makes 2-pt jump shot from 13 ft (assist by B. Simmons),2,2
2,1,11:08.0,D. Booker misses 2-pt jump shot from 11 ft,,2,2
3,1,11:05.0,,Defensive rebound by B. Simmons,2,2
4,1,11:04.0,,Personal take foul by T. Ariza (drawn by B. Simmons),2,2
5,1,10:57.0,,Turnover by J. Embiid (out of bounds lost ball),2,2
6,1,10:36.0,D. Ayton misses 2-pt layup from 2 ft,,2,2
7,1,10:34.0,,Defensive rebound by J. Embiid,2,2
8,1,10:24.0,,Shooting foul by M. Bridges (drawn by B. Simmons),2,2
9,1,10:24.0,,B. Simmons misses free throw 1 of 2,2,2
10,1,10:24.0,,Offensive rebound by Team,2,2
11,1,10:24.0,,B. Simmons misses free throw 2 of 2,2,2
12,1,10:21.0,Defensive rebound by D. Ayton,,2,2
13,1,10:12.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by T. Warren),,4,2
14,1,10:00.0,,J. Redick makes 2-pt jump shot from 23 ft,4,4
15,1,9:47.0,D. Booker makes 3-pt jump shot from 27 ft,,7,4
16,1,9:33.0,,Turnover by B. Simmons (bad pass; steal by T. Ariza),7,4
17,1,9:28.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,9,4
18,1,9:14.0,,J. Embiid misses 2-pt hook shot from 4 ft,9,4
19,1,9:12.0,Defensive rebound by D. Booker,,9,4
20,1,9:05.0,Personal foul by J. Embiid (drawn by D. Ayton),,9,4
21,1,8:56.0,D. Booker misses 2-pt jump shot from 10 ft,,9,4
22,1,8:53.0,,Defensive rebound by B. Simmons,9,4
23,1,8:47.0,,J. Butler makes 2-pt jump shot from 19 ft (assist by B. Simmons),9,6
24,1,8:29.0,M. Bridges makes 3-pt jump shot from 28 ft (assist by D. Booker),,12,6
25,1,8:19.0,,Turnover by W. Chandler (bad pass; steal by M. Bridges),12,6
26,1,8:16.0,M. Bridges makes 2-pt dunk from 1 ft,,14,6
27,1,8:03.0,,Personal foul by M. Bridges (drawn by J. Redick),14,6
28,1,8:03.0,R. Holmes enters the game for D. Ayton,,14,6
29,1,8:03.0,J. Jackson enters the game for M. Bridges,,14,6
30,1,7:54.0,,Turnover by J. Redick (lost ball; steal by T. Ariza),14,6
31,1,7:48.0,R. Holmes makes 2-pt dunk from 1 ft (assist by T. Ariza),,16,6
32,1,7:48.0,,Philadelphia full timeout,16,6
33,1,7:31.0,,Shooting foul by R. Holmes (drawn by J. Embiid),16,6
