,QUARTER,TIME_REMAINING,UTAH_ACTION,BOSTON_ACTION,UTAH_SCORE,BOSTON_SCORE
0,1,11:46.0,D. Mitchell misses 2-pt layup from 4 ft,,0,0
1,1,11:43.0,,Defensive rebound by A. Horford,0,0
2,1,11:31.0,,J. Tatum misses 3-pt jump shot from 28 ft,0,0
3,1,11:29.0,Defensive rebound by D. Mitchell,,0,0
4,1,11:13.0,Turnover by D. Mitchell (bad pass; steal by K. Irving),,0,0
5,1,11:10.0,,K. Irving misses 2-pt layup from 6 ft,0,0
6,1,11:08.0,Defensive rebound by J. Ingles,,0,0
7,1,10:48.0,R. Rubio misses 3-pt jump shot from 25 ft,,0,0
8,1,10:46.0,,Defensive rebound by J. Brown,0,0
9,1,10:32.0,,Turnover by A. Horford (lost ball; steal by R. Rubio),0,0
10,1,10:28.0,R. Rubio misses 2-pt layup from 2 ft,,0,0
11,1,10:26.0,Offensive rebound by R. Gobert,,0,0
12,1,10:25.0,R. Gobert makes 2-pt dunk from 1 ft,,2,0
13,1,10:12.0,,Turnover by G. Hayward (bad pass; steal by R. Rubio),2,0
14,1,10:07.0,Shooting foul by J. Brown (drawn by D. Favors),,2,0
15,1,10:07.0,D. Favors misses free throw 1 of 2,,2,0
16,1,10:07.0,Offensive rebound by Team,,2,0
17,1,10:07.0,D. Favors misses free throw 2 of 2,,2,0
18,1,10:07.0,Offensive rebound by D. Favors,,2,0
19,1,10:01.0,R. Rubio misses 2-pt layup from 3 ft,,2,0
20,1,9:58.0,,Defensive rebound by A. Horford,2,0
21,1,9:55.0,,K. Irving makes 2-pt layup from 3 ft,2,2
22,1,9:55.0,,Shooting foul by J. Ingles (drawn by K. Irving),2,2
23,1,9:55.0,,K. Irving makes free throw 1 of 1,2,3
24,1,9:44.0,Personal foul by K. Irving (drawn by R. Gobert),,2,3
25,1,9:40.0,J. Ingles misses 3-pt jump shot from 25 ft,,2,3
26,1,9:37.0,,Defensive rebound by K. Irving,2,3
27,1,9:29.0,,K. Irving makes 2-pt jump shot from 21 ft (assist by A. Horford),2,5
28,1,9:06.0,D. Mitchell misses 3-pt jump shot from 29 ft,,2,5
29,1,9:01.0,,Defensive rebound by G. Hayward,2,5
30,1,8:48.0,,J. Brown misses 3-pt jump shot from 27 ft,2,5
31,1,8:46.0,Defensive rebound by J. Ingles,,2,5
32,1,8:38.0,Turnover by J. Ingles (lost ball; steal by G. Hayward),,2,5
33,1,8:31.0,,J. Tatum makes 2-pt dunk from 2 ft (assist by G. Hayward),2,7
34,1,8:29.0,Utah full timeout,,2,7
35,1,8:29.0,J. Crowder enters the game for D. Favors,,2,7
36,1,8:10.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by R. Gobert),,5,7
37,1,7:54.0,,Turnover by J. Tatum (bad pass),5,7
38,1,7:42.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,7,7
39,1,7:26.0,,J. Tatum makes 2-pt layup from 4 ft,7,9
40,1,7:18.0,Personal foul by J. Brown (drawn by J. Ingles),,7,9
41,1,7:05.0,J. Crowder misses 3-pt jump shot from 25 ft,,7,9
42,1,7:01.0,,Defensive rebound by J. Tatum,7,9
43,1,6:53.0,,Turnover by A. Horford (lost ball; steal by R. Rubio),7,9
44,1,6:48.0,D. Mitchell makes 2-pt jump shot from 6 ft (assist by J. Ingles),,9,9
45,1,6:48.0,,M. Smart enters the game for G. Hayward,9,9
46,1,6:32.0,Violation by Team (kicked ball),,9,9
47,1,6:26.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by M. Smart),9,11
