,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,Turnover by B. Lopez (bad pass; steal by G. Harris),0,0
1,1,11:39.0,J. Hernangómez makes 3-pt jump shot from 28 ft (assist by J. Murray),,3,0
2,1,11:24.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),3,2
3,1,11:00.0,P. Millsap misses 3-pt jump shot from 27 ft,,3,2
4,1,10:58.0,,Defensive rebound by B. Lopez,3,2
5,1,10:47.0,,Turnover by E. Bledsoe (bad pass),3,2
6,1,10:36.0,N. Jokić misses 2-pt layup from 4 ft,,3,2
7,1,10:34.0,Offensive rebound by N. Jokić,,3,2
8,1,10:33.0,N. Jokić misses 2-pt layup from 3 ft,,3,2
9,1,10:33.0,,Defensive rebound by B. Lopez,3,2
10,1,10:18.0,,K. Middleton misses 3-pt jump shot from 23 ft,3,2
11,1,10:18.0,Defensive rebound by P. Millsap,,3,2
12,1,10:10.0,Turnover by P. Millsap (bad pass; steal by E. Bledsoe),,3,2
13,1,10:06.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,3,4
14,1,9:48.0,J. Murray makes 2-pt jump shot from 5 ft (assist by N. Jokić),,5,4
15,1,9:40.0,,M. Brogdon misses 3-pt jump shot from 26 ft,5,4
16,1,9:40.0,Defensive rebound by J. Murray,,5,4
17,1,9:30.0,P. Millsap misses 2-pt jump shot from 9 ft,,5,4
18,1,9:26.0,Offensive rebound by J. Murray,,5,4
19,1,9:22.0,J. Murray misses 3-pt jump shot from 27 ft,,5,4
20,1,9:20.0,,Defensive rebound by B. Lopez,5,4
21,1,9:13.0,,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),5,4
22,1,9:13.0,,G. Antetokounmpo misses free throw 1 of 2,5,4
23,1,9:13.0,,Offensive rebound by Team,5,4
24,1,9:13.0,,G. Antetokounmpo makes free throw 2 of 2,5,5
25,1,9:03.0,J. Murray misses 2-pt jump shot from 10 ft,,5,5
26,1,9:00.0,,Defensive rebound by B. Lopez,5,5
27,1,8:56.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,5,5
28,1,8:54.0,Defensive rebound by P. Millsap,,5,5
29,1,8:46.0,J. Murray misses 3-pt jump shot from 23 ft,,5,5
30,1,8:43.0,,Defensive rebound by B. Lopez,5,5
31,1,8:37.0,,B. Lopez misses 3-pt jump shot from 29 ft,5,5
32,1,8:33.0,Defensive rebound by J. Hernangómez,,5,5
33,1,8:31.0,Personal foul by K. Middleton (drawn by J. Hernangómez),,5,5
34,1,8:21.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,5,5
35,1,8:19.0,,Defensive rebound by G. Antetokounmpo,5,5
36,1,8:09.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),5,7
37,1,7:48.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,7,7
38,1,7:35.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,7
