,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:45.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),0,3
1,1,11:26.0,A. Wiggins misses 2-pt layup from 1 ft (block by M. Turner),,0,3
2,1,11:23.0,Offensive rebound by D. Šarić,,0,3
3,1,11:20.0,Turnover by K. Towns (bad pass; steal by M. Turner),,0,3
4,1,11:10.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),0,6
5,1,10:58.0,Turnover by J. Teague (lost ball; steal by W. Matthews),,0,6
6,1,10:54.0,,D. Collison misses 2-pt layup from 1 ft,0,6
7,1,10:52.0,Defensive rebound by D. Šarić,,0,6
8,1,10:39.0,D. Šarić makes 2-pt hook shot from 6 ft (assist by K. Towns),,2,6
9,1,10:20.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,2,6
10,1,10:18.0,Defensive rebound by K. Towns,,2,6
11,1,10:06.0,K. Towns misses 2-pt layup from 5 ft (block by M. Turner),,2,6
12,1,10:02.0,Offensive rebound by Team,,2,6
13,1,9:58.0,J. Teague makes 2-pt jump shot from 6 ft,,4,6
14,1,9:41.0,,D. Collison makes 2-pt jump shot from 15 ft,4,8
15,1,9:27.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Okogie),,7,8
16,1,9:11.0,,Shooting foul by J. Teague (drawn by B. Bogdanović),7,8
17,1,9:11.0,,B. Bogdanović makes free throw 1 of 2,7,9
18,1,9:11.0,,B. Bogdanović makes free throw 2 of 2,7,10
19,1,8:57.0,K. Towns makes 2-pt layup from 2 ft (assist by J. Teague),,9,10
20,1,8:57.0,Shooting foul by M. Turner (drawn by K. Towns),,9,10
21,1,8:57.0,K. Towns makes free throw 1 of 1,,10,10
22,1,8:37.0,,M. Turner misses 2-pt jump shot from 21 ft,10,10
23,1,8:35.0,Defensive rebound by D. Šarić,,10,10
24,1,8:31.0,Turnover by D. Šarić (bad pass; steal by T. Young),,10,10
25,1,8:26.0,,T. Young misses 2-pt layup from 4 ft,10,10
26,1,8:23.0,,Offensive rebound by T. Young,10,10
27,1,8:12.0,,D. Collison misses 2-pt jump shot from 14 ft,10,10
28,1,8:09.0,Defensive rebound by K. Towns,,10,10
29,1,7:53.0,Shooting foul by M. Turner (drawn by K. Towns),,10,10
30,1,7:53.0,K. Towns makes free throw 1 of 2,,11,10
31,1,7:53.0,,K. O'Quinn enters the game for M. Turner,11,10
32,1,7:53.0,K. Towns makes free throw 2 of 2,,12,10
33,1,7:44.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Collison),12,13
34,1,7:30.0,A. Wiggins misses 2-pt jump shot from 16 ft,,12,13
35,1,7:27.0,,Defensive rebound by K. O'Quinn,12,13
