,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
0,1,11:42.0,,F. VanVleet misses 2-pt jump shot from 20 ft,0,0
1,1,11:39.0,Defensive rebound by A. Bradley,,0,0
2,1,11:26.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,2,0
3,1,11:12.0,,Offensive foul by S. Ibaka (drawn by M. Harrell),2,0
4,1,11:12.0,,Turnover by S. Ibaka (offensive foul),2,0
5,1,10:56.0,T. Harris misses 2-pt jump shot from 7 ft,,2,0
6,1,10:54.0,,Defensive rebound by S. Ibaka,2,0
7,1,10:40.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Leonard),2,2
8,1,10:26.0,P. Beverley misses 2-pt jump shot from 6 ft,,2,2
9,1,10:23.0,,Defensive rebound by D. Green,2,2
10,1,10:18.0,,S. Ibaka misses 2-pt jump shot from 6 ft,2,2
11,1,10:14.0,Defensive rebound by M. Harrell,,2,2
12,1,10:09.0,P. Beverley misses 2-pt jump shot from 8 ft,,2,2
13,1,10:04.0,Offensive rebound by S. Gilgeous-Alexander,,2,2
14,1,10:00.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,2,2
15,1,9:57.0,,Defensive rebound by S. Ibaka,2,2
16,1,9:49.0,,S. Ibaka misses 3-pt jump shot from 27 ft,2,2
17,1,9:46.0,Defensive rebound by P. Beverley,,2,2
18,1,9:39.0,T. Harris makes 2-pt jump shot from 8 ft,,4,2
19,1,9:28.0,,F. VanVleet makes 2-pt layup from 1 ft,4,4
20,1,9:14.0,Def 3 sec tech foul by Team,,4,4
21,1,9:14.0,T. Harris makes technical free throw,,5,4
22,1,9:10.0,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft (assist by P. Beverley),,7,4
23,1,9:10.0,Shooting foul by F. VanVleet (drawn by S. Gilgeous-Alexander),,7,4
24,1,9:10.0,S. Gilgeous-Alexander misses free throw 1 of 1,,7,4
25,1,9:08.0,,Defensive rebound by S. Ibaka,7,4
26,1,8:59.0,,Shooting foul by A. Bradley (drawn by K. Leonard),7,4
27,1,8:59.0,,K. Leonard makes free throw 1 of 2,7,5
28,1,8:59.0,,K. Leonard makes free throw 2 of 2,7,6
29,1,8:52.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,9,6
30,1,8:34.0,,S. Ibaka makes 2-pt layup from 1 ft,9,8
31,1,8:20.0,A. Bradley misses 3-pt jump shot from 23 ft,,9,8
32,1,8:16.0,,Defensive rebound by P. Siakam,9,8
33,1,8:07.0,,K. Leonard makes 2-pt jump shot from 5 ft,9,10
34,1,8:07.0,,Shooting foul by A. Bradley (drawn by K. Leonard),9,10
35,1,8:07.0,,K. Leonard makes free throw 1 of 1,9,11
36,1,8:01.0,T. Harris misses 3-pt jump shot from 26 ft,,9,11
37,1,7:56.0,,Defensive rebound by D. Green,9,11
38,1,7:36.0,,P. Siakam misses 3-pt jump shot from 24 ft,9,11
39,1,7:32.0,,Offensive rebound by S. Ibaka,9,11
40,1,7:24.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),9,14
41,1,7:06.0,A. Bradley makes 2-pt jump shot from 5 ft,,11,14
42,1,6:40.0,,P. Siakam misses 3-pt jump shot from 23 ft,11,14
43,1,6:36.0,Defensive rebound by A. Bradley,,11,14
44,1,6:20.0,T. Harris misses 2-pt jump shot from 9 ft,,11,14
45,1,6:18.0,,Defensive rebound by Team,11,14
46,1,6:18.0,,Toronto full timeout,11,14
47,1,6:18.0,M. Scott enters the game for A. Bradley,,11,14
48,1,6:05.0,,P. Siakam misses 2-pt jump shot from 4 ft,11,14
49,1,6:03.0,,Offensive rebound by S. Ibaka,11,14
50,1,6:03.0,,S. Ibaka misses 2-pt layup from 2 ft,11,14
51,1,6:03.0,,Offensive rebound by P. Siakam,11,14
52,1,6:03.0,,P. Siakam misses 2-pt layup from 1 ft (block by M. Harrell),11,14
53,1,6:03.0,Defensive rebound by Team,,11,14
54,1,6:03.0,,Loose ball foul by P. Siakam (drawn by P. Beverley),11,14
55,1,5:48.0,T. Harris misses 2-pt layup from 1 ft,,11,14
56,1,5:46.0,,Defensive rebound by P. Siakam,11,14
57,1,5:45.0,,P. Siakam misses 2-pt layup from 5 ft (block by S. Gilgeous-Alexander),11,14
58,1,5:44.0,Defensive rebound by Team,,11,14
59,1,5:34.0,T. Harris misses 3-pt jump shot from 26 ft,,11,14
60,1,5:34.0,,Defensive rebound by F. VanVleet,11,14
61,1,5:27.0,,D. Green makes 2-pt layup from 1 ft (assist by F. VanVleet),11,16
