,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:46.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,2,0
1,1,11:24.0,,D. Dotson misses 2-pt jump shot from 16 ft,2,0
2,1,11:22.0,Defensive rebound by J. Ingles,,2,0
3,1,11:15.0,Turnover by J. Ingles (lost ball; steal by D. Jordan),,2,0
4,1,11:13.0,,Personal foul by R. Rubio (drawn by M. Hezonja),2,0
5,1,10:59.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by D. Jordan),2,3
6,1,10:36.0,D. Mitchell misses 3-pt jump shot from 25 ft,,2,3
7,1,10:34.0,,Defensive rebound by D. Jordan,2,3
8,1,10:16.0,,E. Mudiay misses 3-pt jump shot from 25 ft,2,3
9,1,10:15.0,Defensive rebound by R. Gobert,,2,3
10,1,10:09.0,D. Mitchell misses 2-pt jump shot from 6 ft (block by D. Jordan),,2,3
11,1,10:07.0,Offensive rebound by D. Mitchell,,2,3
12,1,10:04.0,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),,4,3
13,1,9:42.0,,Turnover by E. Mudiay (out of bounds lost ball),4,3
14,1,9:30.0,Shooting foul by D. Jordan (drawn by D. Favors),,4,3
15,1,9:30.0,D. Favors makes free throw 1 of 2,,5,3
16,1,9:30.0,D. Favors makes free throw 2 of 2,,6,3
17,1,9:21.0,,D. Jordan misses 2-pt dunk from 2 ft,6,3
18,1,9:20.0,Defensive rebound by R. Rubio,,6,3
19,1,9:17.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,8,3
20,1,9:05.0,,Turnover by D. Jordan (bad pass),8,3
21,1,8:49.0,J. Ingles makes 3-pt jump shot from 28 ft (assist by D. Mitchell),,11,3
22,1,8:39.0,,New York full timeout,11,3
23,1,8:34.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Jordan),11,6
24,1,8:19.0,Turnover by R. Rubio (bad pass; steal by D. Jordan),,11,6
25,1,8:08.0,,M. Hezonja makes 2-pt layup from 1 ft,11,8
26,1,7:54.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,13,8
27,1,7:40.0,,Turnover by M. Hezonja (bad pass; steal by D. Mitchell),13,8
28,1,7:35.0,D. Mitchell makes 2-pt layup at rim,,15,8
29,1,7:14.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by D. Jordan),15,11
30,1,6:54.0,D. Mitchell makes 2-pt jump shot from 19 ft (assist by R. Gobert),,17,11
31,1,6:38.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by E. Mudiay),17,14
32,1,6:22.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),,20,14
33,1,6:04.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),20,16
34,1,6:03.0,Utah full timeout,,20,16
35,1,6:03.0,J. Crowder enters the game for D. Favors,,20,16
36,1,6:03.0,R. O'Neale enters the game for J. Ingles,,20,16
37,1,5:49.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,22,16
38,1,5:39.0,,Personal foul by D. Mitchell (drawn by D. Dotson),22,16
39,1,5:39.0,K. Korver enters the game for R. Rubio,,22,16
40,1,5:24.0,,E. Mudiay misses 3-pt jump shot from 25 ft,22,16
41,1,5:22.0,Defensive rebound by R. O'Neale,,22,16
42,1,5:07.0,J. Crowder misses 3-pt jump shot from 26 ft,,22,16
43,1,5:05.0,,Defensive rebound by K. Knox,22,16
44,1,4:52.0,,M. Hezonja misses 2-pt jump shot from 21 ft,22,16
45,1,4:50.0,Defensive rebound by R. Gobert,,22,16
46,1,4:50.0,,L. Thomas enters the game for M. Hezonja,22,16
47,1,4:29.0,D. Mitchell makes 2-pt dunk from 1 ft,,24,16
48,1,4:05.0,,E. Mudiay makes 2-pt jump shot from 9 ft,24,18
49,1,3:55.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,27,18
50,1,3:40.0,,D. Dotson misses 3-pt jump shot from 25 ft,27,18
51,1,3:38.0,Defensive rebound by R. Gobert,,27,18
52,1,3:29.0,D. Mitchell makes 2-pt jump shot from 6 ft,,29,18
53,1,3:29.0,,New York full timeout,29,18
54,1,3:29.0,,M. Robinson enters the game for D. Jordan,29,18
55,1,3:20.0,,K. Knox makes 2-pt jump shot from 19 ft,29,20
56,1,3:04.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,32,20
57,1,2:51.0,,E. Mudiay misses 3-pt jump shot from 26 ft,32,20
58,1,2:49.0,Defensive rebound by R. Gobert,,32,20
59,1,2:41.0,K. Korver misses 3-pt jump shot from 26 ft,,32,20
60,1,2:39.0,,Defensive rebound by E. Mudiay,32,20
61,1,2:34.0,,D. Dotson makes 3-pt jump shot from 30 ft (assist by E. Mudiay),32,23
62,1,2:20.0,Personal foul by L. Thomas (drawn by D. Mitchell),,32,23
63,1,2:20.0,D. Favors enters the game for R. Gobert,,32,23
64,1,2:20.0,J. Ingles enters the game for D. Mitchell,,32,23
65,1,2:20.0,R. Neto enters the game for R. O'Neale,,32,23
66,1,2:20.0,,M. Hezonja enters the game for K. Knox,32,23
67,1,2:20.0,,J. Jenkins enters the game for E. Mudiay,32,23
68,1,2:10.0,K. Korver misses 3-pt jump shot from 26 ft,,32,23
69,1,2:08.0,Offensive rebound by D. Favors,,32,23
70,1,2:04.0,J. Ingles misses 3-pt jump shot from 26 ft,,32,23
71,1,2:02.0,,Defensive rebound by M. Robinson,32,23
72,1,1:49.0,,J. Jenkins misses 2-pt jump shot from 14 ft,32,23
73,1,1:47.0,Defensive rebound by J. Crowder,,32,23
74,1,1:40.0,D. Favors makes 2-pt layup from 4 ft (assist by R. Neto),,34,23
75,1,1:40.0,Shooting foul by M. Robinson (drawn by D. Favors),,34,23
76,1,1:40.0,D. Favors misses free throw 1 of 1,,34,23
77,1,1:38.0,Offensive rebound by K. Korver,,34,23
78,1,1:29.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Ingles),,37,23
79,1,1:17.0,,Personal foul by J. Crowder (drawn by M. Robinson),37,23
80,1,1:10.0,,Turnover by J. Jenkins (bad pass; steal by J. Crowder),37,23
81,1,1:07.0,Shooting foul by D. Dotson (drawn by J. Crowder),,37,23
82,1,1:07.0,J. Crowder makes free throw 1 of 2,,38,23
83,1,1:07.0,,K. Knox enters the game for D. Dotson,38,23
84,1,1:07.0,J. Crowder makes free throw 2 of 2,,39,23
85,1,0:44.0,,K. Knox misses 3-pt jump shot from 27 ft,39,23
86,1,0:42.0,Defensive rebound by D. Favors,,39,23
87,1,0:32.0,J. Crowder misses 3-pt jump shot from 25 ft,,39,23
88,1,0:29.0,,Defensive rebound by K. Knox,39,23
89,1,0:08.0,,M. Hezonja misses 2-pt layup from 2 ft,39,23
90,1,0:06.0,,Offensive rebound by M. Robinson,39,23
91,1,0:06.0,,M. Robinson misses 2-pt layup at rim,39,23
92,1,0:05.0,,Offensive rebound by M. Hezonja,39,23
93,1,0:05.0,,M. Hezonja makes 2-pt layup from 6 ft,39,25
94,1,0:00.0,K. Korver misses 3-pt jump shot from 25 ft,,39,25
95,1,0:00.0,Offensive rebound by Team,,39,25
96,2,12:00.0,,Turnover by L. Thomas (bad pass),39,25
97,2,11:50.0,K. Korver misses 3-pt jump shot from 26 ft,,39,25
98,2,11:48.0,,Defensive rebound by K. Knox,39,25
99,2,11:48.0,,Turnover by M. Hezonja (out of bounds lost ball),39,25
100,2,11:28.0,J. Ingles misses 3-pt jump shot from 25 ft (block by M. Robinson),,39,25
101,2,11:26.0,,Defensive rebound by K. Knox,39,25
102,2,11:09.0,,M. Hezonja misses 2-pt layup from 1 ft,39,25
103,2,11:07.0,Defensive rebound by J. Ingles,,39,25
104,2,10:58.0,R. Neto makes 3-pt jump shot from 23 ft (assist by J. Ingles),,42,25
105,2,10:43.0,,J. Jenkins misses 3-pt jump shot from 26 ft,42,25
106,2,10:38.0,Defensive rebound by D. Favors,,42,25
107,2,10:34.0,Personal foul by M. Robinson (drawn by D. Favors),,42,25
108,2,10:34.0,,E. Mudiay enters the game for J. Jenkins,42,25
109,2,10:31.0,Turnover by J. Ingles (traveling),,42,25
110,2,10:18.0,,K. Knox makes 2-pt layup from 8 ft (assist by E. Mudiay),42,27
111,2,10:09.0,Personal foul by E. Mudiay (drawn by D. Favors),,42,27
112,2,10:09.0,T. Sefolosha enters the game for J. Crowder,,42,27
113,2,9:54.0,R. Neto makes 2-pt jump shot from 15 ft,,44,27
114,2,9:42.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),44,29
115,2,9:20.0,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Ingles),,47,29
116,2,8:59.0,,M. Hezonja misses 2-pt jump shot from 21 ft,47,29
117,2,8:57.0,Defensive rebound by D. Favors,,47,29
118,2,8:48.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Neto),,50,29
119,2,8:48.0,,New York full timeout,50,29
120,2,8:48.0,,D. Dotson enters the game for M. Hezonja,50,29
121,2,8:38.0,,Shooting foul by K. Korver (drawn by K. Knox),50,29
122,2,8:38.0,,K. Knox misses free throw 1 of 2,50,29
123,2,8:38.0,,Offensive rebound by Team,50,29
124,2,8:38.0,,K. Knox makes free throw 2 of 2,50,30
125,2,8:18.0,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Neto),,53,30
126,2,7:57.0,,L. Thomas misses 3-pt jump shot from 23 ft,53,30
127,2,7:55.0,Defensive rebound by D. Favors,,53,30
128,2,7:39.0,R. Neto makes 2-pt jump shot from 8 ft,,55,30
129,2,7:20.0,,K. Knox misses 2-pt layup from 2 ft (block by D. Favors),55,30
130,2,7:18.0,,Offensive rebound by M. Robinson,55,30
131,2,7:17.0,,M. Robinson makes 2-pt layup at rim,55,32
132,2,6:59.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Neto),,57,32
133,2,6:59.0,Shooting foul by D. Dotson (drawn by D. Favors),,57,32
134,2,6:59.0,D. Mitchell enters the game for J. Ingles,,57,32
135,2,6:59.0,R. O'Neale enters the game for R. Neto,,57,32
136,2,6:59.0,,H. Ellenson enters the game for L. Thomas,57,32
137,2,6:59.0,D. Favors misses free throw 1 of 1,,57,32
138,2,6:57.0,,Defensive rebound by H. Ellenson,57,32
139,2,6:46.0,,E. Mudiay misses 2-pt layup from 1 ft,57,32
140,2,6:44.0,Defensive rebound by D. Mitchell,,57,32
141,2,6:36.0,Turnover by D. Mitchell (bad pass; steal by D. Dotson),,57,32
142,2,6:33.0,,E. Mudiay makes 2-pt dunk from 1 ft (assist by D. Dotson),57,34
143,2,6:14.0,T. Sefolosha misses 3-pt jump shot from 22 ft,,57,34
144,2,6:12.0,,Defensive rebound by D. Dotson,57,34
145,2,6:03.0,,K. Knox makes 2-pt jump shot from 9 ft,57,36
146,2,6:02.0,Utah full timeout,,57,36
147,2,6:02.0,R. Gobert enters the game for D. Favors,,57,36
148,2,6:02.0,R. Rubio enters the game for K. Korver,,57,36
149,2,5:51.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),,59,36
150,2,5:35.0,,E. Mudiay misses 3-pt jump shot from 26 ft,59,36
151,2,5:33.0,Defensive rebound by R. O'Neale,,59,36
