,QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
0,1,11:38.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,0
1,1,11:35.0,,Defensive rebound by E. Gordon,0,0
2,1,11:29.0,,Personal foul by P. Siakam (drawn by E. Gordon),0,0
3,1,11:23.0,,E. Gordon misses 3-pt jump shot from 24 ft,0,0
4,1,11:22.0,Defensive rebound by S. Ibaka,,0,0
5,1,11:08.0,Turnover by S. Ibaka (lost ball; steal by P. Tucker),,0,0
6,1,11:05.0,,J. Harden misses 2-pt layup from 3 ft,0,0
7,1,11:05.0,,Offensive rebound by P. Tucker,0,0
8,1,11:02.0,,P. Tucker makes 2-pt hook shot from 1 ft,0,2
9,1,10:43.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by D. Green),,2,2
10,1,10:30.0,,A. Rivers misses 3-pt jump shot from 27 ft,2,2
11,1,10:29.0,,Offensive rebound by K. Faried,2,2
12,1,10:17.0,,E. Gordon misses 2-pt layup from 4 ft,2,2
13,1,10:16.0,Defensive rebound by K. Lowry,,2,2
14,1,10:10.0,D. Green misses 3-pt jump shot from 27 ft,,2,2
15,1,10:10.0,Offensive rebound by Team,,2,2
16,1,10:00.0,K. Leonard misses 2-pt jump shot from 13 ft,,2,2
17,1,9:59.0,,Defensive rebound by K. Faried,2,2
18,1,9:51.0,,J. Harden misses 2-pt layup from 5 ft,2,2
19,1,9:51.0,,Offensive rebound by K. Faried,2,2
20,1,9:44.0,,A. Rivers makes 2-pt layup from 4 ft (assist by P. Tucker),2,4
21,1,9:34.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,4,4
22,1,9:23.0,,Shooting foul by S. Ibaka (drawn by E. Gordon),4,4
23,1,9:23.0,,E. Gordon makes free throw 1 of 2,4,5
24,1,9:23.0,,E. Gordon makes free throw 2 of 2,4,6
25,1,9:12.0,D. Green makes 2-pt layup from 7 ft (assist by K. Lowry),,6,6
26,1,8:56.0,,Shooting foul by D. Green (drawn by J. Harden),6,6
