,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,Turnover by L. Shamet (bad pass; steal by W. Matthews),0,0
1,1,11:28.0,M. Turner misses 2-pt jump shot from 18 ft,,0,0
2,1,11:23.0,,Defensive rebound by D. Gallinari,0,0
3,1,11:18.0,,Turnover by D. Gallinari (bad pass; steal by T. Young),0,0
4,1,11:12.0,T. Young makes 2-pt layup from 2 ft,,2,0
5,1,10:58.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Shamet),2,3
6,1,10:52.0,Turnover by C. Joseph (back court),,2,3
7,1,10:46.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by P. Beverley),2,6
8,1,10:28.0,B. Bogdanović misses 2-pt layup from 2 ft (block by P. Beverley),,2,6
9,1,10:24.0,,Defensive rebound by I. Zubac,2,6
10,1,10:21.0,,P. Beverley misses 3-pt jump shot from 25 ft,2,6
11,1,10:16.0,Defensive rebound by M. Turner,,2,6
12,1,10:07.0,W. Matthews misses 3-pt jump shot from 29 ft,,2,6
13,1,10:07.0,,Defensive rebound by Team,2,6
14,1,9:44.0,,D. Gallinari misses 3-pt jump shot from 25 ft,2,6
15,1,9:41.0,Defensive rebound by W. Matthews,,2,6
16,1,9:33.0,T. Young misses 3-pt jump shot from 25 ft,,2,6
17,1,9:27.0,,Defensive rebound by P. Beverley,2,6
18,1,9:14.0,,Turnover by L. Shamet (bad pass; steal by M. Turner),2,6
19,1,9:10.0,M. Turner makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,6
20,1,8:52.0,,D. Gallinari misses 2-pt jump shot from 15 ft,4,6
21,1,8:51.0,,Offensive rebound by I. Zubac,4,6
22,1,8:51.0,,Shooting foul by T. Young (drawn by I. Zubac),4,6
23,1,8:51.0,,I. Zubac makes free throw 1 of 2,4,7
24,1,8:51.0,,I. Zubac makes free throw 2 of 2,4,8
25,1,8:39.0,Personal foul by P. Beverley (drawn by T. Young),,4,8
26,1,8:31.0,T. Young misses 2-pt jump shot from 6 ft,,4,8
27,1,8:29.0,,Defensive rebound by S. Gilgeous-Alexander,4,8
28,1,8:24.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,4,8
29,1,8:24.0,,Offensive rebound by Team,4,8
30,1,8:19.0,,L. Shamet misses 3-pt jump shot from 25 ft,4,8
31,1,8:17.0,Defensive rebound by Team,,4,8
32,1,7:52.0,Turnover by B. Bogdanović (lost ball; steal by P. Beverley),,4,8
33,1,7:48.0,,L. Shamet misses 2-pt layup from 3 ft,4,8
34,1,7:48.0,,Offensive rebound by I. Zubac,4,8
35,1,7:41.0,,I. Zubac makes 2-pt dunk from 1 ft,4,10
36,1,7:41.0,Turnover by C. Joseph (back court),,4,10
37,1,7:27.0,,Shooting foul by M. Turner (drawn by S. Gilgeous-Alexander),4,10
38,1,7:27.0,,S. Gilgeous-Alexander makes free throw 1 of 2,4,11
39,1,7:27.0,,S. Gilgeous-Alexander misses free throw 2 of 2,4,11
40,1,7:24.0,Defensive rebound by M. Turner,,4,11
41,1,7:23.0,Indiana full timeout,,4,11
42,1,7:10.0,W. Matthews misses 2-pt jump shot from 10 ft,,4,11
43,1,7:05.0,Offensive rebound by W. Matthews,,4,11
44,1,7:05.0,W. Matthews makes 2-pt layup at rim,,6,11
45,1,6:47.0,,L. Shamet misses 3-pt jump shot from 25 ft,6,11
46,1,6:45.0,Defensive rebound by T. Young,,6,11
47,1,6:40.0,M. Turner misses 3-pt jump shot from 25 ft,,6,11
48,1,6:36.0,,Defensive rebound by P. Beverley,6,11
49,1,6:29.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),6,13
50,1,6:17.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,6,13
51,1,6:10.0,Offensive rebound by T. Young,,6,13
52,1,6:09.0,T. Young misses 2-pt hook shot from 6 ft,,6,13
53,1,6:06.0,Offensive rebound by M. Turner,,6,13
54,1,6:06.0,M. Turner makes 2-pt dunk at rim,,8,13
55,1,5:52.0,,I. Zubac misses 2-pt hook shot from 3 ft,8,13
56,1,5:50.0,Defensive rebound by B. Bogdanović,,8,13
57,1,5:30.0,Turnover by M. Turner (bad pass; steal by D. Gallinari),,8,13
58,1,5:20.0,,Offensive foul by I. Zubac (drawn by C. Joseph),8,13
59,1,5:20.0,,Turnover by I. Zubac (offensive foul),8,13
60,1,5:20.0,T. Evans enters the game for B. Bogdanović,,8,13
61,1,5:08.0,C. Joseph misses 2-pt jump shot from 16 ft,,8,13
62,1,5:06.0,,Defensive rebound by I. Zubac,8,13
63,1,4:52.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by D. Gallinari),8,16
64,1,4:41.0,T. Evans makes 2-pt jump shot from 22 ft (assist by T. Young),,10,16
65,1,4:14.0,,D. Gallinari misses 3-pt jump shot from 26 ft,10,16
66,1,4:10.0,Defensive rebound by T. Evans,,10,16
67,1,4:04.0,T. Evans misses 2-pt jump shot from 20 ft,,10,16
68,1,4:03.0,,Defensive rebound by L. Shamet,10,16
69,1,3:57.0,,LA Clippers full timeout,10,16
70,1,3:57.0,D. McDermott enters the game for C. Joseph,,10,16
71,1,3:57.0,D. Sabonis enters the game for T. Young,,10,16
72,1,3:57.0,,M. Harrell enters the game for L. Shamet,10,16
73,1,3:57.0,,L. Williams enters the game for I. Zubac,10,16
74,1,3:46.0,,D. Gallinari misses 2-pt jump shot from 13 ft,10,16
75,1,3:43.0,Defensive rebound by M. Turner,,10,16
76,1,3:33.0,W. Matthews misses 3-pt jump shot from 23 ft,,10,16
77,1,3:31.0,,Defensive rebound by P. Beverley,10,16
78,1,3:24.0,,P. Beverley misses 3-pt jump shot from 25 ft,10,16
79,1,3:20.0,,Offensive rebound by P. Beverley,10,16
80,1,3:10.0,,M. Harrell misses 2-pt hook shot from 2 ft,10,16
81,1,3:04.0,Defensive rebound by T. Evans,,10,16
82,1,2:57.0,T. Evans makes 2-pt jump shot from 21 ft (assist by D. Sabonis),,12,16
83,1,2:30.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),12,18
84,1,2:11.0,Personal foul by M. Harrell (drawn by D. Sabonis),,12,18
85,1,2:11.0,B. Bogdanović enters the game for M. Turner,,12,18
86,1,2:11.0,,J. Green enters the game for P. Beverley,12,18
87,1,2:11.0,,G. Temple enters the game for D. Gallinari,12,18
88,1,2:10.0,Personal foul by G. Temple (drawn by T. Evans),,12,18
89,1,2:00.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. Evans),,14,18
90,1,1:53.0,,Shooting foul by W. Matthews (drawn by L. Williams),14,18
91,1,1:53.0,,L. Williams makes free throw 1 of 2,14,19
92,1,1:53.0,,W. Chandler enters the game for S. Gilgeous-Alexander,14,19
93,1,1:53.0,,L. Williams misses free throw 2 of 2,14,19
94,1,1:50.0,Defensive rebound by D. McDermott,,14,19
95,1,1:36.0,D. McDermott makes 2-pt jump shot from 21 ft (assist by W. Matthews),,16,19
96,1,1:30.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),16,21
97,1,1:16.0,D. McDermott misses 2-pt jump shot from 21 ft,,16,21
98,1,1:14.0,,Defensive rebound by J. Green,16,21
99,1,1:14.0,,L. Williams makes 2-pt jump shot from 12 ft,16,23
100,1,1:14.0,,Shooting foul by D. McDermott (drawn by L. Williams),16,23
101,1,1:14.0,A. Holiday enters the game for W. Matthews,,16,23
102,1,1:14.0,,L. Williams makes free throw 1 of 1,16,24
103,1,1:00.0,Turnover by A. Holiday (bad pass; steal by L. Williams),,16,24
104,1,0:57.0,,W. Chandler misses 3-pt jump shot from 26 ft,16,24
105,1,0:53.0,Defensive rebound by A. Holiday,,16,24
106,1,0:44.0,Turnover by B. Bogdanović (traveling),,16,24
107,1,0:39.0,,L. Williams misses 2-pt jump shot from 16 ft,16,24
108,1,0:38.0,Defensive rebound by D. Sabonis,,16,24
109,1,0:38.0,Personal foul by W. Chandler (drawn by D. Sabonis),,16,24
110,1,0:29.0,D. Sabonis misses 2-pt layup from 1 ft,,16,24
111,1,0:25.0,,Defensive rebound by M. Harrell,16,24
112,1,0:10.0,,Shooting foul by D. Sabonis (drawn by M. Harrell),16,24
113,1,0:10.0,,M. Harrell misses free throw 1 of 2,16,24
114,1,0:10.0,,Offensive rebound by Team,16,24
115,1,0:10.0,,S. Thornwell enters the game for L. Williams,16,24
116,1,0:10.0,,M. Harrell makes free throw 2 of 2,16,25
117,1,0:00.0,T. Evans misses 2-pt jump shot from 20 ft,,16,25
118,1,0:00.0,Offensive rebound by Team,,16,25
119,2,11:46.0,D. McDermott makes 2-pt layup from 3 ft (assist by T. Evans),,18,25
120,2,11:40.0,,Personal foul by B. Bogdanović (drawn by J. Green),18,25
121,2,11:35.0,,J. Green makes 2-pt jump shot from 21 ft (assist by L. Williams),18,27
122,2,11:11.0,Shooting foul by J. Green (drawn by B. Bogdanović),,18,27
123,2,11:11.0,B. Bogdanović makes free throw 1 of 2,,19,27
124,2,11:11.0,B. Bogdanović makes free throw 2 of 2,,20,27
125,2,10:55.0,,M. Harrell misses 2-pt layup from 3 ft,20,27
126,2,10:51.0,,Offensive rebound by M. Harrell,20,27
127,2,10:51.0,,M. Harrell makes 2-pt layup from 1 ft,20,29
128,2,10:43.0,D. McDermott makes 2-pt dunk from 1 ft (assist by D. Sabonis),,22,29
129,2,10:34.0,,J. Green misses 3-pt jump shot from 25 ft,22,29
130,2,10:31.0,Defensive rebound by D. McDermott,,22,29
131,2,10:29.0,Personal foul by G. Temple (drawn by A. Holiday),,22,29
132,2,10:21.0,A. Holiday misses 2-pt jump shot from 7 ft,,22,29
133,2,10:18.0,Offensive rebound by D. Sabonis,,22,29
134,2,10:18.0,D. Sabonis misses 2-pt layup at rim,,22,29
135,2,10:17.0,,Defensive rebound by J. Green,22,29
