,QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
0,1,11:41.0,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),,2,0
1,1,11:19.0,,P. Millsap makes 2-pt layup from 6 ft,2,2
2,1,11:09.0,K. Irving makes 3-pt jump shot from 26 ft,,5,2
3,1,10:55.0,,G. Harris misses 2-pt hook shot from 4 ft,5,2
4,1,10:54.0,Defensive rebound by K. Irving,,5,2
5,1,10:48.0,J. Brown misses 2-pt jump shot from 15 ft,,5,2
6,1,10:45.0,,Defensive rebound by G. Harris,5,2
7,1,10:31.0,,T. Craig misses 2-pt jump shot from 15 ft,5,2
8,1,10:28.0,,Offensive rebound by P. Millsap,5,2
9,1,10:26.0,,Turnover by P. Millsap (bad pass; steal by A. Horford),5,2
10,1,10:20.0,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),,7,2
11,1,10:05.0,,G. Harris misses 2-pt jump shot from 17 ft (block by J. Tatum),7,2
12,1,10:03.0,Defensive rebound by A. Horford,,7,2
13,1,9:49.0,Turnover by J. Tatum (out of bounds lost ball),,7,2
14,1,9:28.0,,P. Millsap misses 2-pt jump shot from 9 ft,7,2
15,1,9:25.0,Defensive rebound by G. Hayward,,7,2
16,1,9:17.0,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),,10,2
17,1,9:16.0,,Denver full timeout,10,2
18,1,9:16.0,,J. Hernangómez enters the game for T. Craig,10,2
19,1,9:03.0,,Personal foul by A. Horford (drawn by N. Jokić),10,2
20,1,8:55.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),10,5
21,1,8:38.0,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),,12,5
22,1,8:29.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),12,8
23,1,8:08.0,J. Brown misses 2-pt layup from 3 ft (block by P. Millsap),,12,8
24,1,8:08.0,Offensive rebound by Team,,12,8
