,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,D. Fox makes 2-pt hook shot from 11 ft,,2,0
1,1,11:22.0,,J. Randle makes 2-pt layup from 3 ft (assist by E. Payton),2,2
2,1,11:02.0,D. Fox makes 2-pt jump shot from 19 ft,,4,2
3,1,10:52.0,,I. Clark misses 3-pt jump shot from 25 ft,4,2
4,1,10:50.0,Defensive rebound by H. Barnes,,4,2
5,1,10:42.0,D. Fox makes 3-pt jump shot from 25 ft,,7,2
6,1,10:24.0,,J. Randle makes 3-pt jump shot from 27 ft (assist by E. Payton),7,5
7,1,10:13.0,B. Hield misses 2-pt jump shot from 4 ft,,7,5
8,1,10:10.0,,Defensive rebound by J. Okafor,7,5
9,1,10:06.0,,E. Payton misses 3-pt jump shot from 26 ft,7,5
10,1,10:02.0,Defensive rebound by W. Cauley-Stein,,7,5
11,1,9:49.0,W. Cauley-Stein misses 2-pt hook shot from 7 ft,,7,5
12,1,9:46.0,,Defensive rebound by J. Randle,7,5
13,1,9:44.0,,K. Williams misses 2-pt dunk from 1 ft (block by D. Fox),7,5
14,1,9:44.0,,Offensive rebound by Team,7,5
15,1,9:41.0,,J. Randle makes 3-pt jump shot from 23 ft (assist by E. Payton),7,8
16,1,9:25.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),,9,8
17,1,9:17.0,,E. Payton makes 2-pt layup at rim,9,10
18,1,9:06.0,D. Fox misses 2-pt jump shot from 9 ft,,9,10
19,1,9:06.0,,Defensive rebound by K. Williams,9,10
20,1,9:06.0,,Personal foul by D. Fox (drawn by K. Williams),9,10
21,1,9:06.0,,D. Miller enters the game for K. Williams,9,10
22,1,8:58.0,,Turnover by I. Clark (bad pass),9,10
23,1,8:37.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by J. Okafor),,9,10
24,1,8:37.0,,Defensive rebound by Team,9,10
25,1,8:20.0,,J. Okafor makes 2-pt jump shot from 7 ft,9,12
26,1,8:09.0,Sacramento full timeout,,9,12
27,1,7:57.0,H. Barnes misses 2-pt jump shot from 6 ft,,9,12
28,1,7:54.0,,Defensive rebound by J. Randle,9,12
29,1,7:32.0,,I. Clark misses 2-pt hook shot from 4 ft,9,12
30,1,7:30.0,Defensive rebound by W. Cauley-Stein,,9,12
31,1,7:29.0,Personal foul by I. Clark (drawn by D. Fox),,9,12
32,1,7:25.0,N. Bjelica misses 3-pt jump shot from 25 ft,,9,12
33,1,7:20.0,,Defensive rebound by J. Okafor,9,12
34,1,7:10.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by E. Payton),9,14
35,1,6:53.0,B. Hield misses 2-pt jump shot from 15 ft,,9,14
36,1,6:50.0,,Defensive rebound by J. Randle,9,14
37,1,6:48.0,,J. Randle misses 2-pt layup from 4 ft (block by N. Bjelica),9,14
38,1,6:47.0,,Offensive rebound by J. Randle,9,14
39,1,6:37.0,,J. Okafor makes 2-pt layup from 6 ft (assist by E. Payton),9,16
40,1,6:19.0,B. Hield makes 2-pt layup from 8 ft (assist by W. Cauley-Stein),,11,16
41,1,6:06.0,,E. Payton misses 2-pt dunk from 2 ft,11,16
42,1,6:03.0,Defensive rebound by H. Barnes,,11,16
43,1,5:58.0,W. Cauley-Stein makes 2-pt jump shot from 12 ft (assist by D. Fox),,13,16
44,1,5:45.0,,J. Randle makes 2-pt jump shot from 2 ft,13,18
45,1,5:32.0,D. Fox misses 2-pt jump shot from 16 ft,,13,18
46,1,5:29.0,,Defensive rebound by J. Okafor,13,18
47,1,5:13.0,,J. Okafor misses 2-pt layup from 6 ft,13,18
48,1,5:10.0,Defensive rebound by N. Bjelica,,13,18
49,1,5:02.0,B. Hield misses 3-pt jump shot from 26 ft,,13,18
50,1,4:59.0,,Defensive rebound by E. Payton,13,18
51,1,4:52.0,,I. Clark misses 3-pt jump shot from 28 ft,13,18
52,1,4:48.0,Defensive rebound by W. Cauley-Stein,,13,18
53,1,4:40.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,15,18
54,1,4:29.0,,J. Randle misses 3-pt jump shot from 26 ft,15,18
55,1,4:26.0,Defensive rebound by B. Hield,,15,18
56,1,4:22.0,B. Hield makes 2-pt layup from 2 ft,,17,18
57,1,4:12.0,,E. Payton makes 2-pt layup from 2 ft,17,20
58,1,4:04.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,19,20
59,1,3:58.0,,New Orleans full timeout,19,20
