,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
0,1,11:43.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),0,3
1,1,11:15.0,Turnover by Team (shot clock),,0,3
2,1,10:58.0,,J. Murray misses 2-pt layup from 3 ft,0,3
3,1,10:55.0,Defensive rebound by G. Antetokounmpo,,0,3
4,1,10:45.0,Turnover by K. Middleton (bad pass; steal by N. Jokić),,0,3
5,1,10:39.0,,Turnover by N. Jokić (bad pass; steal by M. Brogdon),0,3
6,1,10:34.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,3
7,1,10:32.0,,Defensive rebound by Team,0,3
8,1,10:12.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by P. Millsap),0,5
9,1,9:47.0,B. Lopez makes 2-pt layup from 2 ft (assist by M. Brogdon),,2,5
10,1,9:29.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,5
11,1,9:26.0,Defensive rebound by E. Bledsoe,,2,5
12,1,9:19.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,5,5
13,1,9:03.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by N. Jokić),5,8
14,1,8:40.0,K. Middleton misses 3-pt jump shot from 25 ft,,5,8
15,1,8:37.0,,Defensive rebound by G. Harris,5,8
16,1,8:30.0,,Turnover by N. Jokić (lost ball; steal by G. Antetokounmpo),5,8
17,1,8:20.0,Personal foul by J. Hernangómez (drawn by G. Antetokounmpo),,5,8
18,1,8:14.0,M. Brogdon makes 2-pt hook shot from 3 ft (assist by B. Lopez),,7,8
19,1,7:58.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by J. Murray),7,10
20,1,7:48.0,B. Lopez misses 2-pt jump shot from 10 ft,,7,10
21,1,7:45.0,,Defensive rebound by P. Millsap,7,10
22,1,7:39.0,,P. Millsap misses 2-pt layup from 1 ft (block by B. Lopez),7,10
23,1,7:36.0,Defensive rebound by M. Brogdon,,7,10
24,1,7:30.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,9,10
25,1,7:13.0,,N. Jokić misses 3-pt jump shot from 24 ft,9,10
26,1,7:10.0,Defensive rebound by K. Middleton,,9,10
27,1,7:05.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,9,10
28,1,7:02.0,,Defensive rebound by J. Hernangómez,9,10
29,1,6:51.0,,N. Jokić misses 2-pt jump shot from 15 ft,9,10
30,1,6:49.0,Defensive rebound by G. Antetokounmpo,,9,10
31,1,6:36.0,B. Lopez makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,12,10
32,1,6:19.0,,Turnover by G. Harris (bad pass; steal by E. Bledsoe),12,10
33,1,6:17.0,Shooting foul by G. Harris (drawn by M. Brogdon),,12,10
34,1,6:17.0,,Denver full timeout,12,10
35,1,6:17.0,E. İlyasova enters the game for K. Middleton,,12,10
36,1,6:17.0,M. Brogdon makes free throw 1 of 2,,13,10
37,1,6:17.0,M. Brogdon makes free throw 2 of 2,,14,10
38,1,6:11.0,,J. Murray makes 2-pt jump shot from 9 ft,14,12
39,1,6:04.0,Shooting foul by G. Harris (drawn by E. Bledsoe),,14,12
40,1,6:04.0,E. Bledsoe makes free throw 1 of 2,,15,12
41,1,6:04.0,K. Middleton enters the game for M. Brogdon,,15,12
42,1,6:04.0,,M. Morris enters the game for G. Harris,15,12
43,1,6:04.0,E. Bledsoe makes free throw 2 of 2,,16,12
44,1,5:59.0,,Personal foul by E. Bledsoe (drawn by J. Murray),16,12
45,1,5:51.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Morris),16,15
46,1,5:33.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,18,15
47,1,5:23.0,,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by N. Jokić),18,18
48,1,5:02.0,Turnover by E. Bledsoe (bad pass; steal by J. Murray),,18,18
49,1,4:57.0,,J. Murray makes 2-pt layup from 1 ft,18,20
50,1,4:57.0,D. DiVincenzo enters the game for G. Antetokounmpo,,18,20
51,1,4:57.0,J. Henson enters the game for B. Lopez,,18,20
52,1,4:35.0,J. Henson misses 2-pt hook shot from 8 ft,,18,20
53,1,4:33.0,,Defensive rebound by N. Jokić,18,20
54,1,4:24.0,,J. Hernangómez misses 2-pt layup from 1 ft,18,20
55,1,4:22.0,Defensive rebound by J. Henson,,18,20
56,1,4:17.0,J. Henson makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,21,20
57,1,3:59.0,,N. Jokić misses 2-pt jump shot from 14 ft,21,20
58,1,3:55.0,Defensive rebound by E. Bledsoe,,21,20
59,1,3:49.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,21,20
60,1,3:45.0,,Defensive rebound by N. Jokić,21,20
61,1,3:38.0,,Shooting foul by E. İlyasova (drawn by P. Millsap),21,20
62,1,3:38.0,,P. Millsap makes free throw 1 of 2,21,21
63,1,3:38.0,Milwaukee full timeout,,21,21
64,1,3:38.0,M. Brogdon enters the game for E. Bledsoe,,21,21
65,1,3:38.0,,M. Beasley enters the game for N. Jokić,21,21
66,1,3:38.0,,T. Lyles enters the game for J. Murray,21,21
67,1,3:38.0,,P. Millsap misses free throw 2 of 2,21,21
68,1,3:35.0,,Offensive rebound by P. Millsap,21,21
69,1,3:31.0,,M. Morris misses 3-pt jump shot from 24 ft,21,21
70,1,3:26.0,Defensive rebound by E. İlyasova,,21,21
71,1,3:14.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,24,21
72,1,3:00.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),24,24
73,1,2:40.0,M. Brogdon makes 2-pt layup from 3 ft,,26,24
74,1,2:23.0,,M. Beasley makes 2-pt jump shot from 18 ft (assist by P. Millsap),26,26
75,1,2:09.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by D. DiVincenzo),,28,26
76,1,1:55.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),28,29
77,1,1:41.0,Turnover by M. Brogdon (bad pass; steal by J. Hernangómez),,28,29
78,1,1:39.0,,J. Hernangómez makes 2-pt dunk from 1 ft,28,31
79,1,1:21.0,K. Middleton makes 3-pt jump shot from 25 ft,,31,31
80,1,1:00.0,,P. Millsap misses 2-pt jump shot from 14 ft,31,31
81,1,0:58.0,Defensive rebound by M. Brogdon,,31,31
82,1,0:50.0,E. İlyasova makes 2-pt layup from 4 ft (assist by M. Brogdon),,33,31
83,1,0:34.0,,T. Lyles makes 2-pt jump shot from 12 ft,33,33
84,1,0:13.0,Offensive foul by K. Middleton (drawn by T. Lyles),,33,33
85,1,0:13.0,Turnover by K. Middleton (offensive foul),,33,33
86,1,0:13.0,G. Antetokounmpo enters the game for E. İlyasova,,33,33
87,1,0:13.0,T. Snell enters the game for K. Middleton,,33,33
88,1,0:13.0,,M. Plumlee enters the game for P. Millsap,33,33
89,1,0:02.0,,M. Morris makes 2-pt jump shot from 12 ft,33,35
90,2,11:38.0,J. Henson misses 3-pt jump shot from 25 ft,,33,35
91,2,11:36.0,,Defensive rebound by Team,33,35
92,2,11:21.0,,J. Murray makes 2-pt jump shot from 16 ft,33,37
93,2,11:00.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,35,37
94,2,11:00.0,P. Connaughton enters the game for D. DiVincenzo,,35,37
95,2,11:00.0,B. Lopez enters the game for J. Henson,,35,37
96,2,10:37.0,,Turnover by J. Murray (bad pass; steal by B. Lopez),35,37
97,2,10:25.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,37,37
98,2,10:12.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Morris),37,40
99,2,9:54.0,B. Lopez misses 3-pt jump shot from 25 ft,,37,40
100,2,9:54.0,,Defensive rebound by M. Beasley,37,40
101,2,9:45.0,,T. Lyles misses 3-pt jump shot from 24 ft,37,40
102,2,9:42.0,Defensive rebound by Team,,37,40
103,2,9:28.0,M. Brogdon misses 2-pt layup from 5 ft (block by M. Morris),,37,40
104,2,9:26.0,,Defensive rebound by M. Morris,37,40
105,2,9:04.0,,T. Lyles misses 3-pt jump shot from 23 ft,37,40
106,2,9:02.0,Defensive rebound by M. Brogdon,,37,40
107,2,8:55.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,39,40
108,2,8:38.0,,J. Murray misses 2-pt jump shot from 19 ft (block by P. Connaughton),39,40
109,2,8:35.0,,Offensive rebound by J. Murray,39,40
110,2,8:33.0,,Turnover by J. Murray (lost ball; steal by T. Snell),39,40
111,2,8:30.0,Personal foul by T. Lyles (drawn by G. Antetokounmpo),,39,40
112,2,8:30.0,E. Bledsoe enters the game for M. Brogdon,,39,40
113,2,8:30.0,Milwaukee full timeout,,39,40
114,2,8:24.0,P. Connaughton misses 3-pt jump shot from 26 ft,,39,40
115,2,8:21.0,,Defensive rebound by Team,39,40
116,2,8:00.0,,T. Lyles makes 2-pt jump shot from 6 ft,39,42
117,2,7:44.0,G. Antetokounmpo makes 2-pt jump shot from 12 ft,,41,42
118,2,7:26.0,,M. Beasley misses 3-pt jump shot from 22 ft,41,42
119,2,7:24.0,Defensive rebound by E. Bledsoe,,41,42
120,2,7:24.0,,G. Harris enters the game for J. Murray,41,42
121,2,7:04.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,41,42
122,2,7:01.0,,Defensive rebound by M. Beasley,41,42
123,2,6:40.0,,M. Morris misses 2-pt jump shot from 7 ft (block by B. Lopez),41,42
124,2,6:40.0,,Offensive rebound by Team,41,42
125,2,6:40.0,,N. Jokić enters the game for M. Plumlee,41,42
126,2,6:38.0,,N. Jokić misses 3-pt jump shot from 29 ft,41,42
127,2,6:35.0,Defensive rebound by G. Antetokounmpo,,41,42
128,2,6:26.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,44,42
129,2,6:25.0,,Denver full timeout,44,42
130,2,6:25.0,E. İlyasova enters the game for B. Lopez,,44,42
131,2,6:25.0,,J. Hernangómez enters the game for M. Beasley,44,42
132,2,6:25.0,,P. Millsap enters the game for T. Lyles,44,42
133,2,6:05.0,,G. Harris misses 3-pt jump shot from 25 ft,44,42
134,2,6:03.0,,Offensive rebound by P. Millsap,44,42
135,2,5:52.0,,Shooting foul by G. Antetokounmpo (drawn by P. Millsap),44,42
136,2,5:52.0,,P. Millsap makes free throw 1 of 2,44,43
137,2,5:52.0,,P. Millsap makes free throw 2 of 2,44,44
138,2,5:44.0,Personal foul by P. Millsap (drawn by P. Connaughton),,44,44
139,2,5:36.0,Personal foul by N. Jokić (drawn by E. Bledsoe),,44,44
140,2,5:29.0,E. İlyasova makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),,46,44
141,2,5:09.0,,G. Harris makes 2-pt jump shot from 13 ft,46,46
142,2,4:42.0,P. Connaughton misses 3-pt jump shot from 24 ft,,46,46
143,2,4:40.0,Offensive rebound by E. İlyasova,,46,46
144,2,4:36.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. İlyasova),,48,46
145,2,4:36.0,Shooting foul by P. Millsap (drawn by G. Antetokounmpo),,48,46
146,2,4:36.0,B. Lopez enters the game for E. İlyasova,,48,46
147,2,4:36.0,K. Middleton enters the game for T. Snell,,48,46
148,2,4:36.0,,J. Murray enters the game for M. Morris,48,46
149,2,4:36.0,G. Antetokounmpo misses free throw 1 of 1,,48,46
150,2,4:36.0,,Defensive rebound by P. Millsap,48,46
151,2,4:21.0,,G. Harris misses 3-pt jump shot from 25 ft,48,46
152,2,4:17.0,,Offensive rebound by J. Murray,48,46
153,2,4:14.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Hernangómez),48,49
154,2,3:59.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,51,49
155,2,3:43.0,,G. Harris makes 2-pt jump shot from 12 ft (assist by N. Jokić),51,51
