,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),0,2
1,1,11:15.0,J. Randle misses 3-pt jump shot from 26 ft,,0,2
2,1,11:12.0,,Defensive rebound by J. Holiday,0,2
3,1,11:01.0,,G. Temple misses 3-pt jump shot from 23 ft,0,2
4,1,10:58.0,Defensive rebound by J. Holiday,,0,2
5,1,10:48.0,Personal foul by M. Gasol (drawn by J. Okafor),,0,2
6,1,10:36.0,E. Moore makes 2-pt jump shot from 7 ft (assist by J. Randle),,2,2
7,1,10:27.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Conley),2,5
8,1,10:14.0,J. Holiday misses 2-pt jump shot from 8 ft,,2,5
9,1,10:11.0,,Defensive rebound by J. Holiday,2,5
10,1,10:06.0,,J. Jackson makes 2-pt dunk at rim (assist by M. Conley),2,7
11,1,9:50.0,Shooting foul by J. Jackson (drawn by J. Randle),,2,7
12,1,9:50.0,J. Randle makes free throw 1 of 2,,3,7
13,1,9:50.0,J. Randle makes free throw 2 of 2,,4,7
14,1,9:35.0,,G. Temple misses 3-pt jump shot from 25 ft,4,7
15,1,9:32.0,Defensive rebound by Team,,4,7
16,1,9:16.0,E. Moore makes 2-pt jump shot from 7 ft (assist by J. Randle),,6,7
17,1,8:57.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by G. Temple),6,10
18,1,8:44.0,J. Okafor makes 2-pt jump shot from 10 ft,,8,10
19,1,8:26.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),8,12
20,1,8:15.0,J. Holiday misses 3-pt jump shot from 24 ft,,8,12
21,1,8:13.0,,Defensive rebound by M. Conley,8,12
22,1,8:09.0,,Turnover by M. Conley (bad pass; steal by J. Randle),8,12
23,1,8:03.0,J. Randle makes 2-pt dunk from 1 ft,,10,12
24,1,7:49.0,,M. Gasol misses 3-pt jump shot from 25 ft,10,12
