,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by M. Morris),,2,0
1,1,11:29.0,,Turnover by J. Okafor (3 sec),2,0
2,1,11:15.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by G. Harris),,4,0
3,1,11:15.0,Shooting foul by S. Hill (drawn by P. Millsap),,4,0
4,1,11:15.0,P. Millsap makes free throw 1 of 1,,5,0
5,1,11:08.0,,S. Hill misses 3-pt jump shot from 26 ft,5,0
6,1,11:05.0,Defensive rebound by N. Jokić,,5,0
7,1,10:56.0,P. Millsap makes 2-pt dunk at rim (assist by G. Harris),,7,0
8,1,10:41.0,,D. Miller misses 3-pt jump shot from 26 ft,7,0
9,1,10:37.0,Defensive rebound by W. Barton,,7,0
10,1,10:34.0,W. Barton misses 3-pt jump shot from 26 ft,,7,0
11,1,10:32.0,,Defensive rebound by F. Jackson,7,0
12,1,10:19.0,,F. Jackson misses 2-pt jump shot from 7 ft,7,0
13,1,10:17.0,,Offensive rebound by F. Jackson,7,0
14,1,10:17.0,,F. Jackson misses 2-pt layup from 1 ft,7,0
15,1,10:17.0,,Offensive rebound by Team,7,0
16,1,10:14.0,,F. Jackson misses 3-pt jump shot from 24 ft,7,0
17,1,10:11.0,Defensive rebound by N. Jokić,,7,0
18,1,9:57.0,G. Harris misses 3-pt jump shot from 26 ft,,7,0
19,1,9:54.0,,Defensive rebound by J. Okafor,7,0
20,1,9:41.0,,S. Hill misses 3-pt jump shot from 24 ft,7,0
21,1,9:37.0,Defensive rebound by M. Morris,,7,0
22,1,9:27.0,P. Millsap misses 2-pt jump shot from 10 ft,,7,0
23,1,9:24.0,,Defensive rebound by D. Miller,7,0
24,1,9:17.0,,Personal foul by N. Jokić (drawn by J. Okafor),7,0
25,1,9:14.0,,Shooting foul by W. Barton (drawn by J. Holiday),7,0
26,1,9:14.0,,J. Holiday makes free throw 1 of 2,7,1
27,1,9:14.0,,J. Holiday makes free throw 2 of 2,7,2
28,1,8:59.0,G. Harris misses 3-pt jump shot from 26 ft,,7,2
29,1,8:56.0,,Defensive rebound by D. Miller,7,2
30,1,8:50.0,,F. Jackson misses 2-pt layup from 3 ft (block by N. Jokić),7,2
31,1,8:47.0,Defensive rebound by M. Morris,,7,2
32,1,8:44.0,P. Millsap misses 3-pt jump shot from 25 ft,,7,2
33,1,8:40.0,,Defensive rebound by J. Okafor,7,2
34,1,8:25.0,,J. Holiday makes 2-pt layup from 1 ft,7,4
35,1,8:09.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),,9,4
36,1,7:50.0,,Shooting foul by W. Barton (drawn by D. Miller),9,4
37,1,7:50.0,,D. Miller makes free throw 1 of 3,9,5
38,1,7:50.0,,D. Miller makes free throw 2 of 3,9,6
39,1,7:50.0,M. Beasley enters the game for W. Barton,,9,6
40,1,7:50.0,,D. Miller makes free throw 3 of 3,9,7
41,1,7:38.0,N. Jokić makes 2-pt jump shot from 2 ft (assist by M. Morris),,11,7
42,1,7:31.0,,F. Jackson makes 2-pt layup from 1 ft,11,9
43,1,7:15.0,Shooting foul by J. Okafor (drawn by N. Jokić),,11,9
44,1,7:15.0,N. Jokić makes free throw 1 of 2,,12,9
45,1,7:15.0,N. Jokić makes free throw 2 of 2,,13,9
46,1,6:54.0,,J. Okafor makes 2-pt layup from 2 ft,13,11
47,1,6:43.0,Turnover by G. Harris (bad pass; steal by J. Holiday),,13,11
48,1,6:39.0,,J. Holiday makes 2-pt layup from 2 ft (assist by S. Hill),13,13
49,1,6:26.0,M. Morris makes 2-pt jump shot from 12 ft (assist by N. Jokić),,15,13
50,1,6:07.0,,J. Okafor makes 2-pt jump shot from 7 ft (assist by D. Miller),15,15
51,1,5:49.0,M. Beasley misses 3-pt jump shot from 26 ft,,15,15
52,1,5:45.0,,Defensive rebound by F. Jackson,15,15
53,1,5:39.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Miller),15,18
54,1,5:37.0,Denver full timeout,,15,18
55,1,5:37.0,M. Plumlee enters the game for P. Millsap,,15,18
56,1,5:37.0,,K. Williams enters the game for S. Hill,15,18
57,1,5:13.0,M. Beasley misses 2-pt jump shot from 17 ft,,15,18
58,1,5:09.0,,Defensive rebound by K. Williams,15,18
59,1,4:56.0,,D. Miller misses 2-pt jump shot from 15 ft,15,18
60,1,4:53.0,Defensive rebound by N. Jokić,,15,18
61,1,4:46.0,G. Harris misses 3-pt jump shot from 25 ft,,15,18
62,1,4:43.0,,Defensive rebound by F. Jackson,15,18
63,1,4:33.0,,Turnover by D. Miller (bad pass; steal by M. Beasley),15,18
64,1,4:30.0,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),,17,18
65,1,4:30.0,Shooting foul by J. Holiday (drawn by M. Beasley),,17,18
66,1,4:30.0,M. Beasley misses free throw 1 of 1,,17,18
67,1,4:27.0,,Defensive rebound by K. Williams,17,18
68,1,4:15.0,,Turnover by J. Holiday (bad pass; steal by N. Jokić),17,18
69,1,4:11.0,M. Morris makes 2-pt dunk from 2 ft (assist by N. Jokić),,19,18
70,1,4:10.0,,Turnover by F. Jackson (inbound),19,18
