,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,D. Howard makes 2-pt layup from 1 ft (assist by B. Beal),0,2
1,1,11:28.0,A. Gordon makes 2-pt jump shot from 20 ft (assist by W. Iwundu),,2,2
2,1,11:17.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by J. Wall),2,4
3,1,10:58.0,N. Vučević misses 2-pt jump shot from 19 ft,,2,4
4,1,10:56.0,,Defensive rebound by M. Morris,2,4
5,1,10:43.0,,J. Wall makes 2-pt layup from 1 ft,2,6
6,1,10:22.0,N. Vučević misses 2-pt hook shot from 9 ft,,2,6
7,1,10:18.0,,Defensive rebound by D. Howard,2,6
8,1,10:07.0,,J. Wall misses 2-pt jump shot from 15 ft (block by A. Gordon),2,6
9,1,10:04.0,Defensive rebound by A. Gordon,,2,6
10,1,10:02.0,D. Augustin misses 2-pt layup from 3 ft,,2,6
11,1,10:02.0,Offensive rebound by Team,,2,6
12,1,10:02.0,Personal foul by O. Porter (drawn by W. Iwundu),,2,6
13,1,9:56.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,4,6
14,1,9:56.0,,Violation by Team (def goaltending),4,6
15,1,9:37.0,,M. Morris makes 2-pt jump shot from 8 ft,4,8
16,1,9:20.0,D. Augustin misses 2-pt jump shot from 5 ft,,4,8
17,1,9:18.0,,Defensive rebound by J. Wall,4,8
18,1,9:13.0,,M. Morris misses 3-pt jump shot from 27 ft,4,8
19,1,9:09.0,Defensive rebound by A. Gordon,,4,8
20,1,9:04.0,W. Iwundu misses 2-pt layup from 4 ft (block by O. Porter),,4,8
21,1,9:01.0,Offensive rebound by N. Vučević,,4,8
22,1,9:01.0,N. Vučević makes 2-pt layup from 1 ft,,6,8
23,1,8:47.0,,D. Howard misses 2-pt layup from 2 ft (block by A. Gordon),6,8
24,1,8:45.0,,Offensive rebound by M. Morris,6,8
25,1,8:41.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),6,11
26,1,8:24.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,8,11
27,1,8:04.0,,D. Howard misses 2-pt jump shot from 6 ft,8,11
28,1,8:02.0,Defensive rebound by N. Vučević,,8,11
29,1,7:55.0,D. Augustin makes 3-pt jump shot from 31 ft (assist by W. Iwundu),,11,11
30,1,7:38.0,,B. Beal makes 2-pt jump shot from 10 ft (assist by J. Wall),11,13
31,1,7:12.0,E. Fournier misses 3-pt jump shot from 37 ft,,11,13
32,1,7:08.0,Offensive rebound by N. Vučević,,11,13
33,1,7:05.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by N. Vučević),,14,13
34,1,6:49.0,,Personal foul by W. Iwundu (drawn by O. Porter),14,13
35,1,6:49.0,,Washington full timeout,14,13
36,1,6:39.0,,B. Beal misses 2-pt layup from 3 ft,14,13
37,1,6:37.0,Defensive rebound by N. Vučević,,14,13
38,1,6:30.0,Turnover by D. Augustin (lost ball; steal by B. Beal),,14,13
39,1,6:26.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by B. Beal),14,16
40,1,6:03.0,Personal foul by B. Beal (drawn by D. Augustin),,14,16
41,1,6:03.0,T. Ross enters the game for W. Iwundu,,14,16
42,1,5:59.0,E. Fournier makes 2-pt jump shot from 20 ft,,16,16
43,1,5:41.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by O. Porter),16,19
44,1,5:23.0,T. Ross makes 3-pt jump shot from 27 ft (assist by E. Fournier),,19,19
45,1,5:10.0,,B. Beal misses 3-pt jump shot from 27 ft,19,19
46,1,5:07.0,Defensive rebound by T. Ross,,19,19
