,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:46.0,,A. Gordon misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by J. Okogie,,0,0
2,1,11:31.0,A. Wiggins misses 2-pt jump shot from 11 ft,,0,0
3,1,11:27.0,,Defensive rebound by J. Isaac,0,0
4,1,11:22.0,,N. Vučević misses 3-pt jump shot from 27 ft,0,0
5,1,11:20.0,,Offensive rebound by A. Gordon,0,0
6,1,11:12.0,,N. Vučević makes 2-pt hook shot from 7 ft,0,2
7,1,10:45.0,A. Wiggins misses 2-pt jump shot from 6 ft,,0,2
8,1,10:39.0,Offensive rebound by K. Towns,,0,2
9,1,10:39.0,K. Towns misses 2-pt layup from 1 ft (block by A. Gordon),,0,2
10,1,10:37.0,,Defensive rebound by J. Isaac,0,2
11,1,10:33.0,,A. Gordon misses 2-pt jump shot from 5 ft (block by A. Wiggins),0,2
12,1,10:29.0,Defensive rebound by J. Okogie,,0,2
13,1,10:23.0,Shooting foul by N. Vučević (drawn by T. Gibson),,0,2
14,1,10:23.0,T. Gibson makes free throw 1 of 2,,1,2
15,1,10:23.0,T. Gibson makes free throw 2 of 2,,2,2
16,1,10:04.0,,E. Fournier makes 2-pt jump shot from 15 ft,2,4
17,1,9:48.0,Personal foul by A. Gordon (drawn by K. Towns),,2,4
18,1,9:33.0,T. Gibson misses 2-pt layup from 3 ft,,2,4
19,1,9:27.0,Offensive rebound by K. Towns,,2,4
20,1,9:27.0,K. Towns makes 2-pt dunk from 1 ft,,4,4
21,1,9:14.0,,N. Vučević misses 2-pt jump shot from 21 ft,4,4
22,1,9:11.0,Defensive rebound by J. Bayless,,4,4
23,1,9:09.0,J. Okogie makes 2-pt layup from 1 ft (assist by J. Bayless),,6,4
24,1,8:57.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),6,6
25,1,8:46.0,A. Wiggins makes 2-pt jump shot from 5 ft,,8,6
26,1,8:29.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),8,9
27,1,8:29.0,,Shooting foul by T. Gibson (drawn by A. Gordon),8,9
28,1,8:29.0,,A. Gordon makes free throw 1 of 1,8,10
29,1,8:15.0,Turnover by J. Okogie (lost ball; steal by J. Isaac),,8,10
30,1,8:03.0,,D. Augustin misses 2-pt jump shot from 17 ft,8,10
31,1,7:57.0,,Offensive rebound by N. Vučević,8,10
32,1,7:57.0,,N. Vučević makes 2-pt layup at rim,8,12
33,1,7:50.0,Turnover by A. Wiggins (out of bounds lost ball),,8,12
34,1,7:28.0,,Turnover by A. Gordon (lost ball; steal by T. Gibson),8,12
35,1,7:20.0,,Violation by Team (kicked ball),8,12
36,1,7:12.0,J. Okogie makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,11,12
37,1,6:51.0,,D. Augustin makes 2-pt layup from 2 ft,11,14
38,1,6:31.0,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),,13,14
39,1,6:22.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),13,16
40,1,6:09.0,Offensive foul by K. Towns (drawn by J. Isaac),,13,16
41,1,6:09.0,Turnover by K. Towns (offensive foul),,13,16
42,1,6:09.0,,Orlando full timeout,13,16
43,1,6:09.0,,W. Iwundu enters the game for A. Gordon,13,16
44,1,5:58.0,,E. Fournier makes 2-pt layup from 2 ft,13,18
45,1,5:38.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. Okogie),,15,18
46,1,5:23.0,,Turnover by E. Fournier (bad pass; steal by J. Okogie),15,18
47,1,5:22.0,Personal take foul by D. Augustin (drawn by J. Okogie),,15,18
48,1,5:08.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Bayless),,18,18
49,1,4:49.0,,N. Vučević misses 2-pt jump shot from 14 ft,18,18
50,1,4:47.0,Defensive rebound by T. Gibson,,18,18
51,1,4:39.0,Turnover by J. Bayless (bad pass; steal by J. Isaac),,18,18
52,1,4:33.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by J. Isaac),18,21
53,1,4:18.0,A. Wiggins misses 2-pt layup from 2 ft (block by J. Isaac),,18,21
54,1,4:16.0,Offensive rebound by A. Wiggins,,18,21
55,1,4:15.0,A. Wiggins makes 2-pt dunk from 1 ft,,20,21
56,1,4:00.0,,J. Isaac misses 2-pt jump shot from 14 ft,20,21
57,1,4:00.0,Defensive rebound by K. Towns,,20,21
58,1,3:43.0,T. Gibson misses 2-pt hook shot from 6 ft,,20,21
59,1,3:43.0,,Defensive rebound by Team,20,21
60,1,3:43.0,Loose ball foul by T. Gibson (drawn by W. Iwundu),,20,21
61,1,3:43.0,L. Deng enters the game for T. Gibson,,20,21
62,1,3:43.0,D. Šarić enters the game for J. Okogie,,20,21
63,1,3:43.0,,I. Briscoe enters the game for D. Augustin,20,21
64,1,3:43.0,,T. Ross enters the game for E. Fournier,20,21
65,1,3:27.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by W. Iwundu),20,24
66,1,3:09.0,A. Wiggins misses 3-pt jump shot from 25 ft,,20,24
67,1,3:05.0,Offensive rebound by D. Šarić,,20,24
68,1,3:04.0,J. Bayless misses 3-pt jump shot from 25 ft,,20,24
69,1,3:01.0,Offensive rebound by D. Šarić,,20,24
70,1,2:59.0,D. Šarić makes 2-pt jump shot from 16 ft,,22,24
71,1,2:51.0,,Orlando full timeout,22,24
72,1,2:51.0,I. Canaan enters the game for J. Bayless,,22,24
73,1,2:51.0,G. Dieng enters the game for K. Towns,,22,24
74,1,2:51.0,,K. Birch enters the game for J. Isaac,22,24
75,1,2:51.0,,A. Gordon enters the game for N. Vučević,22,24
