,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,R. Covington misses 2-pt jump shot from 15 ft,0,0
1,1,11:39.0,Defensive rebound by Team,,0,0
2,1,11:24.0,J. Lamb misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by B. Simmons,0,0
4,1,11:04.0,,B. Simmons misses 2-pt hook shot from 6 ft,0,0
5,1,11:01.0,Defensive rebound by M. Williams,,0,0
6,1,10:58.0,Turnover by K. Walker (bad pass),,0,0
7,1,10:44.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by D. Šarić),0,2
8,1,10:30.0,J. Lamb makes 2-pt jump shot from 12 ft,,2,2
9,1,10:30.0,Shooting foul by M. Fultz (drawn by J. Lamb),,2,2
10,1,10:30.0,J. Lamb makes free throw 1 of 1,,3,2
11,1,10:21.0,,B. Simmons makes 2-pt layup from 4 ft,3,4
12,1,10:00.0,M. Williams misses 2-pt hook shot from 5 ft,,3,4
13,1,9:59.0,Offensive rebound by C. Zeller,,3,4
14,1,9:58.0,C. Zeller misses 2-pt layup at rim,,3,4
15,1,9:57.0,Offensive rebound by Team,,3,4
16,1,9:52.0,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Williams),,6,4
17,1,9:34.0,,M. Fultz misses 2-pt jump shot from 16 ft,6,4
18,1,9:34.0,Defensive rebound by Team,,6,4
19,1,9:24.0,K. Walker makes 2-pt jump shot from 16 ft,,8,4
20,1,9:15.0,,B. Simmons misses 2-pt layup from 6 ft,8,4
21,1,9:10.0,Defensive rebound by M. Williams,,8,4
22,1,8:50.0,N. Batum misses 3-pt jump shot from 24 ft,,8,4
23,1,8:36.0,,Defensive rebound by D. Šarić,8,4
24,1,8:35.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Fultz),8,7
25,1,8:15.0,J. Lamb makes 3-pt jump shot from 26 ft,,11,7
26,1,8:03.0,,Turnover by J. Embiid (offensive foul),11,7
27,1,8:03.0,,Offensive foul by J. Embiid (drawn by C. Zeller),11,7
28,1,7:48.0,K. Walker misses 3-pt jump shot from 30 ft,,11,7
29,1,7:43.0,,Defensive rebound by M. Fultz,11,7
30,1,7:40.0,,M. Fultz makes 2-pt layup from 3 ft,11,9
31,1,7:33.0,Personal foul by R. Covington (drawn by K. Walker),,11,9
32,1,7:33.0,M. Kidd-Gilchrist enters the game for M. Williams,,11,9
33,1,7:33.0,,A. Johnson enters the game for J. Embiid,11,9
34,1,7:33.0,,J. Redick enters the game for M. Fultz,11,9
35,1,7:28.0,N. Batum makes 2-pt jump shot from 20 ft,,13,9
36,1,7:09.0,,B. Simmons misses 2-pt jump shot from 10 ft,13,9
37,1,7:07.0,,Offensive rebound by D. Šarić,13,9
38,1,7:05.0,,D. Šarić makes 2-pt layup from 2 ft,13,11
39,1,7:00.0,Charlotte full timeout,,13,11
40,1,6:53.0,J. Lamb misses 2-pt layup from 4 ft,,13,11
41,1,6:53.0,Offensive rebound by Team,,13,11
42,1,6:47.0,N. Batum misses 2-pt layup from 2 ft,,13,11
43,1,6:45.0,,Defensive rebound by R. Covington,13,11
44,1,6:40.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),13,14
45,1,6:27.0,Personal foul by A. Johnson (drawn by C. Zeller),,13,14
46,1,6:27.0,M. Bridges enters the game for N. Batum,,13,14
