,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:48.0,,R. Bullock misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by N. Vonleh,,0,0
2,1,11:26.0,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),,2,0
3,1,11:13.0,,A. Drummond misses 2-pt layup from 6 ft,2,0
4,1,11:10.0,Defensive rebound by E. Freedom,,2,0
5,1,10:52.0,N. Vonleh misses 2-pt layup from 3 ft,,2,0
6,1,10:50.0,,Defensive rebound by A. Drummond,2,0
7,1,10:36.0,,G. Robinson misses 3-pt jump shot from 27 ft,2,0
8,1,10:31.0,Defensive rebound by N. Vonleh,,2,0
9,1,10:23.0,T. Hardaway misses 2-pt jump shot from 9 ft,,2,0
10,1,10:20.0,Offensive rebound by T. Hardaway,,2,0
11,1,10:19.0,T. Hardaway misses 2-pt layup from 2 ft,,2,0
12,1,10:19.0,,Defensive rebound by Team,2,0
13,1,10:04.0,,Turnover by A. Drummond (bad pass),2,0
14,1,9:53.0,Turnover by E. Mudiay (out of bounds lost ball),,2,0
15,1,9:36.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),2,3
16,1,9:25.0,E. Mudiay misses 2-pt layup from 2 ft,,2,3
17,1,9:23.0,,Defensive rebound by A. Drummond,2,3
18,1,9:16.0,,R. Bullock misses 3-pt jump shot from 26 ft,2,3
19,1,9:12.0,Defensive rebound by M. Hezonja,,2,3
20,1,9:01.0,N. Vonleh makes 2-pt layup from 2 ft,,4,3
21,1,8:45.0,,R. Jackson makes 2-pt jump shot from 13 ft,4,5
22,1,8:24.0,Personal foul by A. Drummond (drawn by E. Freedom),,4,5
23,1,8:18.0,T. Hardaway makes 2-pt layup from 4 ft (assist by E. Freedom),,6,5
24,1,8:02.0,,R. Bullock misses 3-pt jump shot from 28 ft,6,5
25,1,7:59.0,Defensive rebound by E. Mudiay,,6,5
26,1,7:56.0,E. Mudiay misses 2-pt layup from 2 ft (block by G. Robinson),,6,5
27,1,7:51.0,Offensive rebound by E. Freedom,,6,5
28,1,7:51.0,E. Freedom makes 2-pt layup from 2 ft,,8,5
