,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by C. Payne),,3,0
1,1,11:29.0,,Shooting foul by W. Carter (drawn by J. Embiid),3,0
2,1,11:29.0,,J. Embiid makes free throw 1 of 2,3,1
3,1,11:29.0,,J. Embiid makes free throw 2 of 2,3,2
4,1,11:13.0,Z. LaVine misses 3-pt jump shot from 25 ft,,3,2
5,1,11:06.0,,Defensive rebound by B. Simmons,3,2
6,1,11:05.0,,R. Covington makes 2-pt layup from 3 ft (assist by B. Simmons),3,4
7,1,10:47.0,B. Portis makes 2-pt hook shot from 10 ft,,5,4
8,1,10:33.0,,Turnover by R. Covington (out of bounds lost ball),5,4
9,1,10:23.0,Personal foul by R. Covington (drawn by Z. LaVine),,5,4
10,1,10:20.0,C. Payne misses 2-pt jump shot from 12 ft (block by B. Simmons),,5,4
11,1,10:20.0,Offensive rebound by Team,,5,4
12,1,10:12.0,Turnover by Z. LaVine (bad pass; steal by J. Embiid),,5,4
13,1,10:04.0,,D. Šarić misses 2-pt jump shot from 11 ft,5,4
14,1,10:02.0,,Offensive rebound by J. Embiid,5,4
15,1,10:00.0,,J. Embiid makes 2-pt layup from 3 ft,5,6
16,1,9:48.0,W. Carter misses 2-pt hook shot from 9 ft,,5,6
17,1,9:45.0,,Defensive rebound by J. Embiid,5,6
18,1,9:42.0,,Shooting foul by J. Holiday (drawn by R. Covington),5,6
19,1,9:42.0,,R. Covington makes free throw 1 of 2,5,7
20,1,9:42.0,,R. Covington makes free throw 2 of 2,5,8
21,1,9:29.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by W. Carter),,8,8
22,1,9:16.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by D. Šarić),8,10
23,1,9:12.0,J. Holiday misses 3-pt jump shot from 26 ft,,8,10
24,1,9:08.0,,Defensive rebound by B. Simmons,8,10
25,1,9:00.0,,M. Fultz misses 2-pt jump shot from 13 ft,8,10
26,1,8:57.0,Defensive rebound by Z. LaVine,,8,10
27,1,8:49.0,W. Carter misses 2-pt layup from 2 ft (block by J. Embiid),,8,10
28,1,8:49.0,Offensive rebound by Team,,8,10
29,1,8:42.0,W. Carter makes 2-pt jump shot from 16 ft (assist by Z. LaVine),,10,10
30,1,8:20.0,,J. Embiid makes 2-pt jump shot from 10 ft,10,12
31,1,8:10.0,Z. LaVine makes 2-pt hook shot from 4 ft,,12,12
32,1,8:00.0,,Personal foul by B. Portis (drawn by D. Šarić),12,12
33,1,7:52.0,,M. Fultz misses 2-pt jump shot from 16 ft,12,12
34,1,7:49.0,Defensive rebound by W. Carter,,12,12
35,1,7:48.0,Turnover by W. Carter (lost ball; steal by D. Šarić),,12,12
36,1,7:48.0,,Shooting foul by J. Holiday (drawn by J. Embiid),12,12
37,1,7:48.0,,J. Embiid makes free throw 1 of 2,12,13
38,1,7:48.0,A. Blakeney enters the game for J. Holiday,,12,13
39,1,7:48.0,,J. Embiid makes free throw 2 of 2,12,14
40,1,7:38.0,B. Portis makes 3-pt jump shot from 27 ft (assist by Z. LaVine),,15,14
41,1,7:22.0,,J. Embiid makes 2-pt layup from 1 ft,15,16
42,1,7:03.0,Z. LaVine makes 2-pt jump shot from 22 ft,,17,16
43,1,7:02.0,,Philadelphia full timeout,17,16
44,1,7:02.0,,A. Johnson enters the game for J. Embiid,17,16
45,1,7:02.0,,T. McConnell enters the game for M. Fultz,17,16
46,1,7:02.0,,J. Redick enters the game for D. Šarić,17,16
47,1,6:50.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by A. Johnson),17,18
48,1,6:35.0,W. Carter makes 2-pt jump shot from 9 ft (assist by C. Payne),,19,18
49,1,6:19.0,,A. Johnson makes 2-pt layup from 1 ft (assist by J. Redick),19,20
50,1,6:00.0,B. Portis makes 2-pt hook shot from 5 ft,,21,20
51,1,5:53.0,,B. Simmons makes 2-pt dunk at rim (assist by T. McConnell),21,22
52,1,5:53.0,R. Lopez enters the game for W. Carter,,21,22
53,1,5:39.0,B. Portis makes 3-pt jump shot from 23 ft (assist by C. Payne),,24,22
54,1,5:27.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Simmons),24,24
55,1,5:12.0,Z. LaVine makes 2-pt jump shot from 4 ft,,26,24
56,1,5:12.0,Shooting foul by A. Johnson (drawn by Z. LaVine),,26,24
57,1,5:12.0,R. Arcidiacono enters the game for C. Payne,,26,24
58,1,5:12.0,Z. LaVine makes free throw 1 of 1,,27,24
59,1,5:03.0,,T. McConnell makes 2-pt jump shot from 12 ft,27,26
60,1,4:49.0,B. Portis makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,30,26
61,1,4:30.0,,A. Johnson makes 2-pt dunk at rim (assist by T. McConnell),30,28
62,1,4:12.0,Z. LaVine makes 2-pt layup from 1 ft,,32,28
63,1,4:02.0,,R. Covington misses 2-pt jump shot from 19 ft,32,28
64,1,3:59.0,Defensive rebound by A. Blakeney,,32,28
65,1,3:54.0,A. Blakeney makes 2-pt layup from 2 ft,,34,28
66,1,3:54.0,Shooting foul by A. Johnson (drawn by A. Blakeney),,34,28
67,1,3:54.0,A. Blakeney misses free throw 1 of 1,,34,28
68,1,3:54.0,,Defensive rebound by B. Simmons,34,28
69,1,3:37.0,,R. Covington misses 3-pt jump shot from 25 ft,34,28
70,1,3:35.0,,Offensive rebound by B. Simmons,34,28
71,1,3:33.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),34,31
72,1,3:10.0,R. Lopez makes 2-pt jump shot from 18 ft (assist by R. Arcidiacono),,36,31
73,1,3:03.0,,Personal foul by A. Blakeney (drawn by T. McConnell),36,31
74,1,3:03.0,,T. McConnell makes free throw 1 of 2,36,32
75,1,3:03.0,J. Parker enters the game for B. Portis,,36,32
76,1,3:03.0,,J. Embiid enters the game for R. Covington,36,32
77,1,3:03.0,,M. Fultz enters the game for A. Johnson,36,32
78,1,3:03.0,,D. Šarić enters the game for B. Simmons,36,32
79,1,3:03.0,,T. McConnell makes free throw 2 of 2,36,33
80,1,2:46.0,Z. LaVine makes 2-pt jump shot from 13 ft,,38,33
81,1,2:32.0,,D. Šarić makes 2-pt hook shot from 6 ft (assist by T. McConnell),38,35
82,1,2:17.0,Def 3 sec tech foul by Team,,38,35
83,1,2:17.0,Chicago full timeout,,38,35
84,1,2:17.0,,L. Shamet enters the game for T. McConnell,38,35
85,1,2:17.0,Z. LaVine makes technical free throw,,39,35
86,1,2:11.0,R. Lopez misses 2-pt hook shot from 8 ft,,39,35
87,1,2:08.0,,Defensive rebound by D. Šarić,39,35
88,1,2:05.0,,Personal foul by Z. LaVine (drawn by M. Fultz),39,35
89,1,2:05.0,,M. Fultz makes free throw 1 of 2,39,36
90,1,2:05.0,J. Holiday enters the game for Z. LaVine,,39,36
91,1,2:05.0,,M. Fultz misses free throw 2 of 2,39,36
92,1,2:02.0,Defensive rebound by A. Blakeney,,39,36
93,1,1:55.0,J. Parker misses 2-pt jump shot from 12 ft,,39,36
94,1,1:51.0,,Defensive rebound by J. Redick,39,36
95,1,1:40.0,,D. Šarić misses 3-pt jump shot from 26 ft,39,36
96,1,1:38.0,Defensive rebound by J. Holiday,,39,36
97,1,1:28.0,A. Blakeney misses 2-pt jump shot from 16 ft,,39,36
98,1,1:25.0,,Defensive rebound by D. Šarić,39,36
99,1,1:12.0,,J. Embiid makes 2-pt jump shot from 10 ft,39,38
100,1,0:56.0,A. Blakeney makes 2-pt jump shot from 18 ft (assist by R. Lopez),,41,38
101,1,0:42.0,,Turnover by J. Embiid (traveling),41,38
102,1,0:33.0,J. Holiday misses 3-pt jump shot from 26 ft,,41,38
103,1,0:30.0,Offensive rebound by J. Parker,,41,38
104,1,0:22.0,A. Blakeney misses 2-pt jump shot from 6 ft,,41,38
105,1,0:20.0,,Defensive rebound by J. Embiid,41,38
106,1,0:03.0,,L. Shamet misses 3-pt jump shot from 24 ft,41,38
107,1,0:01.0,Defensive rebound by R. Arcidiacono,,41,38
108,1,0:00.0,R. Arcidiacono misses 3-pt jump shot from 38 ft,,41,38
109,1,0:00.0,Offensive rebound by Team,,41,38
110,2,11:53.0,,M. Fultz misses 2-pt layup from 4 ft (block by R. Lopez),41,38
111,2,11:53.0,Defensive rebound by Team,,41,38
112,2,11:37.0,J. Parker misses 3-pt jump shot from 26 ft,,41,38
113,2,11:34.0,,Defensive rebound by J. Embiid,41,38
114,2,11:14.0,,M. Fultz misses 2-pt jump shot from 18 ft,41,38
115,2,11:10.0,Defensive rebound by J. Holiday,,41,38
116,2,10:55.0,J. Parker misses 2-pt jump shot from 19 ft,,41,38
117,2,10:52.0,,Defensive rebound by J. Embiid,41,38
