,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BROOKLYN_ACTION,NEW YORK_SCORE,BROOKLYN_SCORE
0,1,11:37.0,,R. Kurucs makes 2-pt layup from 4 ft,0,2
1,1,11:18.0,N. Vonleh misses 3-pt jump shot from 26 ft,,0,2
2,1,11:15.0,,Defensive rebound by J. Harris,0,2
3,1,11:08.0,,J. Harris misses 3-pt jump shot from 25 ft,0,2
4,1,11:03.0,,Offensive rebound by J. Allen,0,2
5,1,11:01.0,,D. Russell misses 3-pt jump shot from 26 ft,0,2
6,1,11:00.0,Defensive rebound by Team,,0,2
7,1,11:00.0,,Loose ball foul by J. Allen (drawn by K. Knox),0,2
8,1,10:43.0,N. Vonleh makes 2-pt jump shot from 19 ft,,2,2
9,1,10:31.0,,Personal foul by N. Vonleh (drawn by R. Kurucs),2,2
10,1,10:26.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Kurucs),2,5
11,1,10:15.0,Shooting foul by J. Allen (drawn by T. Hardaway),,2,5
12,1,10:15.0,T. Hardaway misses free throw 1 of 2,,2,5
13,1,10:15.0,Offensive rebound by Team,,2,5
14,1,10:15.0,T. Hardaway makes free throw 2 of 2,,3,5
15,1,10:05.0,,Personal foul by T. Hardaway (drawn by D. Russell),3,5
16,1,10:01.0,,Turnover by J. Allen (step out of bounds),3,5
17,1,9:50.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by F. Ntilikina),,6,5
18,1,9:31.0,,R. Kurucs makes 2-pt layup from 4 ft,6,7
19,1,9:25.0,Personal foul by R. Kurucs (drawn by T. Hardaway),,6,7
20,1,9:22.0,N. Vonleh misses 3-pt jump shot from 26 ft,,6,7
21,1,9:18.0,,Defensive rebound by D. Russell,6,7
22,1,9:10.0,,Turnover by D. Russell (bad pass; steal by L. Thomas),6,7
23,1,8:56.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),,9,7
24,1,8:40.0,,D. Russell misses 3-pt jump shot from 25 ft,9,7
25,1,8:36.0,Defensive rebound by N. Vonleh,,9,7
26,1,8:24.0,T. Hardaway misses 3-pt jump shot from 27 ft,,9,7
27,1,8:21.0,,Defensive rebound by J. Allen,9,7
28,1,8:15.0,,Shooting foul by L. Thomas (drawn by J. Harris),9,7
29,1,8:15.0,,J. Harris makes free throw 1 of 2,9,8
30,1,8:15.0,,J. Harris makes free throw 2 of 2,9,9
31,1,8:07.0,F. Ntilikina misses 2-pt jump shot from 20 ft,,9,9
32,1,8:03.0,,Defensive rebound by T. Graham,9,9
33,1,8:00.0,,J. Harris misses 3-pt jump shot from 24 ft,9,9
34,1,7:55.0,Defensive rebound by N. Vonleh,,9,9
35,1,7:49.0,N. Vonleh makes 2-pt hook shot from 5 ft,,11,9
36,1,7:36.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),11,12
37,1,7:31.0,Shooting foul by R. Kurucs (drawn by T. Hardaway),,11,12
38,1,7:31.0,T. Hardaway misses free throw 1 of 2,,11,12
39,1,7:31.0,Offensive rebound by Team,,11,12
40,1,7:31.0,T. Hardaway makes free throw 2 of 2,,12,12
41,1,7:18.0,,D. Russell misses 3-pt jump shot from 24 ft,12,12
42,1,7:15.0,Defensive rebound by Team,,12,12
43,1,7:05.0,F. Ntilikina makes 2-pt jump shot from 11 ft (assist by N. Vonleh),,14,12
44,1,7:04.0,,Brooklyn full timeout,14,12
45,1,6:46.0,,R. Kurucs misses 2-pt layup from 4 ft,14,12
46,1,6:43.0,Defensive rebound by N. Vonleh,,14,12
47,1,6:41.0,Turnover by K. Knox (traveling),,14,12
48,1,6:27.0,,Turnover by D. Russell (bad pass; steal by L. Thomas),14,12
49,1,6:21.0,L. Thomas makes 2-pt dunk at rim (assist by F. Ntilikina),,16,12
50,1,6:07.0,,J. Allen misses 2-pt layup from 4 ft (block by L. Thomas),16,12
51,1,6:05.0,Defensive rebound by L. Thomas,,16,12
52,1,6:05.0,Shooting foul by D. Russell (drawn by K. Knox),,16,12
53,1,6:05.0,K. Knox makes free throw 1 of 2,,17,12
54,1,6:05.0,,D. Carroll enters the game for R. Kurucs,17,12
55,1,6:05.0,,S. Napier enters the game for D. Russell,17,12
56,1,6:05.0,K. Knox makes free throw 2 of 2,,18,12
57,1,5:46.0,,J. Harris misses 2-pt layup from 4 ft,18,12
58,1,5:42.0,Defensive rebound by F. Ntilikina,,18,12
59,1,5:28.0,N. Vonleh makes 2-pt hook shot from 4 ft,,20,12
60,1,5:15.0,,S. Napier makes 2-pt layup from 4 ft,20,14
61,1,5:03.0,K. Knox makes 2-pt jump shot from 13 ft,,22,14
62,1,4:53.0,,Personal foul by F. Ntilikina (drawn by S. Napier),22,14
63,1,4:53.0,,R. Hollis-Jefferson enters the game for T. Graham,22,14
64,1,4:42.0,,Personal foul by K. Knox (drawn by D. Carroll),22,14
65,1,4:42.0,,D. Carroll makes free throw 1 of 2,22,15
66,1,4:42.0,,D. Carroll makes free throw 2 of 2,22,16
67,1,4:30.0,F. Ntilikina makes 2-pt jump shot from 15 ft,,24,16
68,1,4:02.0,,Turnover by S. Napier (bad pass; steal by F. Ntilikina),24,16
69,1,3:57.0,N. Vonleh makes 2-pt layup from 5 ft (assist by F. Ntilikina),,26,16
70,1,3:42.0,,Shooting foul by F. Ntilikina (drawn by S. Napier),26,16
71,1,3:42.0,,S. Napier makes free throw 1 of 2,26,17
72,1,3:42.0,T. Burke enters the game for F. Ntilikina,,26,17
73,1,3:42.0,,E. Davis enters the game for J. Allen,26,17
74,1,3:42.0,,D. Russell enters the game for J. Harris,26,17
75,1,3:42.0,,S. Napier makes free throw 2 of 2,26,18
76,1,3:26.0,T. Hardaway misses 2-pt jump shot from 13 ft,,26,18
77,1,3:22.0,,Defensive rebound by E. Davis,26,18
78,1,3:11.0,,Personal foul by L. Thomas (drawn by R. Hollis-Jefferson),26,18
79,1,3:11.0,,R. Hollis-Jefferson misses free throw 1 of 2,26,18
80,1,3:11.0,,Offensive rebound by Team,26,18
81,1,3:11.0,D. Dotson enters the game for T. Hardaway,,26,18
82,1,3:11.0,A. Trier enters the game for L. Thomas,,26,18
83,1,3:11.0,,R. Hollis-Jefferson makes free throw 2 of 2,26,19
84,1,2:50.0,K. Knox makes 2-pt jump shot from 11 ft,,28,19
85,1,2:37.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,28,19
86,1,2:37.0,,Offensive rebound by Team,28,19
87,1,2:37.0,,Personal foul by K. Knox (drawn by E. Davis),28,19
88,1,2:37.0,New York full timeout,,28,19
89,1,2:37.0,C. Lee enters the game for K. Knox,,28,19
90,1,2:37.0,,E. Davis makes free throw 1 of 2,28,20
91,1,2:37.0,,E. Davis misses free throw 2 of 2,28,20
92,1,2:34.0,Defensive rebound by N. Vonleh,,28,20
93,1,2:22.0,D. Dotson misses 2-pt jump shot from 9 ft,,28,20
94,1,2:22.0,,Defensive rebound by R. Hollis-Jefferson,28,20
95,1,2:17.0,,Shooting foul by A. Trier (drawn by S. Napier),28,20
96,1,2:17.0,,S. Napier makes free throw 1 of 2,28,21
97,1,2:17.0,,S. Napier makes free throw 2 of 2,28,22
98,1,1:53.0,A. Trier misses 2-pt layup from 5 ft,,28,22
99,1,1:51.0,,Defensive rebound by E. Davis,28,22
100,1,1:46.0,,D. Carroll misses 2-pt jump shot from 23 ft,28,22
101,1,1:44.0,,Offensive rebound by E. Davis,28,22
102,1,1:43.0,,E. Davis makes 2-pt dunk from 3 ft,28,24
103,1,1:37.0,New York full timeout,,28,24
104,1,1:21.0,A. Trier makes 3-pt jump shot from 23 ft (assist by D. Dotson),,31,24
105,1,1:11.0,,D. Russell makes 2-pt layup from 2 ft,31,26
106,1,1:02.0,Personal foul by D. Russell (drawn by T. Burke),,31,26
107,1,1:02.0,T. Burke makes free throw 1 of 2,,32,26
108,1,1:02.0,T. Burke makes free throw 2 of 2,,33,26
109,1,0:48.0,,S. Napier makes 2-pt layup from 3 ft,33,28
110,1,0:36.0,T. Burke makes 2-pt jump shot from 16 ft,,35,28
111,1,0:30.0,,D. Russell misses 3-pt jump shot from 26 ft,35,28
112,1,0:26.0,Defensive rebound by N. Vonleh,,35,28
113,1,0:15.0,T. Burke makes 2-pt layup from 2 ft,,37,28
114,1,0:01.0,,D. Russell makes 2-pt layup from 3 ft,37,30
115,1,0:00.0,T. Burke misses 3-pt jump shot from 52 ft,,37,30
116,1,0:00.0,Offensive rebound by Team,,37,30
117,2,11:46.0,T. Burke makes 2-pt layup from 4 ft,,39,30
118,2,11:46.0,Shooting foul by D. Russell (drawn by T. Burke),,39,30
119,2,11:46.0,,S. Napier enters the game for D. Russell,39,30
120,2,11:46.0,T. Burke makes free throw 1 of 1,,40,30
121,2,11:33.0,,Turnover by R. Kurucs (bad pass; steal by T. Burke),40,30
122,2,11:30.0,Shooting foul by R. Kurucs (drawn by C. Lee),,40,30
123,2,11:30.0,C. Lee misses free throw 1 of 2,,40,30
124,2,11:30.0,Offensive rebound by Team,,40,30
125,2,11:30.0,C. Lee makes free throw 2 of 2,,41,30
126,2,11:18.0,,Shooting foul by M. Robinson (drawn by D. Carroll),41,30
127,2,11:18.0,,D. Carroll misses free throw 1 of 2,41,30
128,2,11:18.0,,Offensive rebound by Team,41,30
129,2,11:18.0,,T. Pinson enters the game for R. Kurucs,41,30
130,2,11:18.0,,D. Carroll makes free throw 2 of 2,41,31
131,2,11:07.0,T. Burke misses 2-pt jump shot from 20 ft,,41,31
132,2,11:03.0,,Defensive rebound by S. Napier,41,31
133,2,10:59.0,,S. Napier misses 2-pt layup from 4 ft (block by M. Robinson),41,31
134,2,10:56.0,,Offensive rebound by E. Davis,41,31
135,2,10:55.0,,E. Davis makes 2-pt hook shot from 3 ft,41,33
136,2,10:44.0,,Violation by Team (kicked ball),41,33
137,2,10:34.0,A. Trier misses 2-pt jump shot from 20 ft,,41,33
138,2,10:30.0,,Defensive rebound by T. Pinson,41,33
139,2,10:25.0,,Turnover by T. Pinson (bad pass; steal by D. Dotson),41,33
