,QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
0,1,11:45.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),0,2
1,1,11:29.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,2
2,1,11:16.0,,R. Rubio misses 2-pt jump shot from 15 ft,3,2
3,1,11:13.0,,Offensive rebound by R. Gobert,3,2
4,1,11:13.0,,Personal foul by T. Rozier (drawn by R. Gobert),3,2
5,1,11:07.0,,J. Ingles misses 3-pt jump shot from 26 ft,3,2
6,1,11:04.0,Defensive rebound by T. Rozier,,3,2
7,1,10:56.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,6,2
8,1,10:43.0,,Turnover by D. Mitchell (bad pass; steal by J. Tatum),6,2
9,1,10:37.0,G. Hayward makes 2-pt layup from 1 ft (assist by J. Brown),,8,2
10,1,10:15.0,,D. Mitchell misses 3-pt jump shot from 26 ft,8,2
11,1,10:12.0,Defensive rebound by G. Hayward,,8,2
12,1,10:12.0,Personal foul by J. Ingles (drawn by G. Hayward),,8,2
13,1,10:01.0,A. Horford makes 2-pt dunk from 2 ft (assist by G. Hayward),,10,2
14,1,9:59.0,,Utah full timeout,10,2
15,1,9:48.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by J. Ingles),10,4
16,1,9:34.0,J. Brown misses 2-pt jump shot from 22 ft,,10,4
17,1,9:31.0,,Defensive rebound by J. Ingles,10,4
18,1,9:18.0,,R. Rubio makes 2-pt layup from 2 ft,10,6
19,1,9:00.0,J. Tatum misses 2-pt jump shot from 18 ft,,10,6
20,1,8:58.0,,Defensive rebound by R. Rubio,10,6
21,1,8:43.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),10,8
22,1,8:29.0,Offensive foul by A. Horford (drawn by R. Rubio),,10,8
23,1,8:29.0,Turnover by A. Horford (offensive foul),,10,8
24,1,8:20.0,,D. Mitchell makes 2-pt jump shot from 17 ft,10,10
25,1,8:05.0,J. Tatum misses 3-pt jump shot from 25 ft,,10,10
26,1,8:03.0,,Defensive rebound by R. Gobert,10,10
27,1,7:45.0,,R. Rubio makes 2-pt jump shot from 13 ft,10,12
28,1,7:23.0,J. Brown misses 2-pt jump shot from 8 ft,,10,12
29,1,7:21.0,,Defensive rebound by R. Gobert,10,12
30,1,7:14.0,,Personal foul by J. Brown (drawn by R. Gobert),10,12
31,1,7:14.0,M. Morris enters the game for G. Hayward,,10,12
32,1,7:14.0,M. Smart enters the game for J. Tatum,,10,12
33,1,7:03.0,,R. Rubio makes 2-pt jump shot from 9 ft (assist by J. Ingles),10,14
34,1,6:46.0,A. Horford makes 3-pt jump shot from 24 ft (assist by M. Smart),,13,14
35,1,6:28.0,,Turnover by R. Rubio (bad pass),13,14
36,1,6:28.0,,J. Crowder enters the game for D. Favors,13,14
37,1,6:06.0,T. Rozier misses 3-pt jump shot from 24 ft,,13,14
38,1,6:03.0,Offensive rebound by J. Brown,,13,14
39,1,6:03.0,,A. Burks enters the game for D. Mitchell,13,14
40,1,5:53.0,M. Morris misses 2-pt jump shot from 21 ft,,13,14
41,1,5:50.0,,Defensive rebound by R. Gobert,13,14
42,1,5:40.0,,Turnover by R. Rubio (bad pass; steal by M. Morris),13,14
43,1,5:33.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),,16,14
44,1,5:11.0,,J. Ingles makes 2-pt layup from 3 ft (assist by J. Crowder),16,16
45,1,5:02.0,J. Brown misses 3-pt jump shot from 25 ft,,16,16
46,1,4:59.0,,Defensive rebound by J. Crowder,16,16
47,1,4:51.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),16,18
48,1,4:28.0,M. Morris misses 3-pt jump shot from 24 ft,,16,18
49,1,4:25.0,,Defensive rebound by J. Ingles,16,18
50,1,4:17.0,,R. Rubio misses 3-pt jump shot from 22 ft,16,18
51,1,4:15.0,Defensive rebound by M. Morris,,16,18
52,1,4:15.0,Boston full timeout,,16,18
53,1,4:15.0,A. Baynes enters the game for A. Horford,,16,18
54,1,4:15.0,S. Ojeleye enters the game for T. Rozier,,16,18
55,1,4:03.0,J. Brown makes 2-pt jump shot from 15 ft,,18,18
56,1,3:42.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by R. Rubio),18,21
57,1,3:25.0,M. Smart misses 3-pt jump shot from 26 ft,,18,21
58,1,3:23.0,,Defensive rebound by R. Gobert,18,21
59,1,3:08.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),18,24
60,1,2:50.0,Personal foul by R. Gobert (drawn by A. Baynes),,18,24
61,1,2:50.0,J. Tatum enters the game for J. Brown,,18,24
62,1,2:50.0,,D. Exum enters the game for A. Burks,18,24
63,1,2:50.0,,D. Favors enters the game for R. Gobert,18,24
64,1,2:50.0,,D. Mitchell enters the game for J. Ingles,18,24
65,1,2:50.0,,R. O'Neale enters the game for R. Rubio,18,24
66,1,2:40.0,Shooting foul by D. Exum (drawn by J. Tatum),,18,24
67,1,2:40.0,J. Tatum makes free throw 1 of 2,,19,24
68,1,2:40.0,J. Tatum makes free throw 2 of 2,,20,24
69,1,2:28.0,,Turnover by D. Mitchell (lost ball; steal by M. Smart),20,24
70,1,2:22.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by J. Tatum),,23,24
71,1,2:07.0,,Turnover by R. O'Neale (bad pass),23,24
72,1,1:52.0,A. Baynes makes 2-pt jump shot from 5 ft (assist by J. Tatum),,25,24
73,1,1:37.0,,Turnover by D. Exum (bad pass),25,24
74,1,1:27.0,J. Tatum misses 3-pt jump shot from 26 ft,,25,24
75,1,1:23.0,,Defensive rebound by D. Favors,25,24
76,1,1:09.0,,D. Exum misses 2-pt layup from 8 ft,25,24
77,1,1:08.0,,Offensive rebound by R. O'Neale,25,24
78,1,1:06.0,,R. O'Neale misses 2-pt layup from 2 ft,25,24
79,1,1:05.0,Defensive rebound by M. Morris,,25,24
80,1,0:49.0,M. Morris misses 2-pt jump shot from 9 ft,,25,24
81,1,0:48.0,,Defensive rebound by J. Crowder,25,24
82,1,0:41.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by D. Exum),25,27
83,1,0:27.0,A. Baynes misses 3-pt jump shot from 26 ft,,25,27
84,1,0:25.0,,Defensive rebound by D. Exum,25,27
85,1,0:03.0,,D. Exum misses 3-pt jump shot from 23 ft,25,27
86,1,0:03.0,,Offensive rebound by Team,25,27
87,1,0:03.0,,Turnover by Team (shot clock),25,27
88,1,0:03.0,,A. Burks enters the game for D. Exum,25,27
89,1,0:00.0,Turnover by M. Morris (bad pass; steal by D. Mitchell),,25,27
90,2,11:42.0,G. Hayward makes 2-pt jump shot from 23 ft,,27,27
91,2,11:24.0,,J. Crowder misses 3-pt jump shot from 23 ft,27,27
92,2,11:24.0,Defensive rebound by Team,,27,27
93,2,11:19.0,Personal foul by J. Crowder (drawn by M. Morris),,27,27
94,2,11:12.0,G. Hayward misses 2-pt jump shot from 17 ft,,27,27
95,2,11:09.0,,Defensive rebound by D. Mitchell,27,27
96,2,10:54.0,,J. Crowder misses 3-pt jump shot from 22 ft,27,27
97,2,10:53.0,,Offensive rebound by Team,27,27
98,2,10:51.0,,D. Mitchell misses 3-pt jump shot from 23 ft,27,27
99,2,10:46.0,Defensive rebound by A. Baynes,,27,27
100,2,10:33.0,M. Morris misses 2-pt jump shot from 19 ft,,27,27
101,2,10:29.0,,Defensive rebound by R. O'Neale,27,27
102,2,10:21.0,,Turnover by J. Crowder (bad pass; steal by J. Tatum),27,27
103,2,10:14.0,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),,30,27
104,2,9:56.0,,Shooting foul by M. Smart (drawn by D. Mitchell),30,27
105,2,9:56.0,,D. Mitchell misses free throw 1 of 2,30,27
106,2,9:56.0,,Offensive rebound by Team,30,27
107,2,9:56.0,T. Rozier enters the game for M. Smart,,30,27
108,2,9:56.0,,G. Niang enters the game for J. Crowder,30,27
109,2,9:56.0,,D. Mitchell makes free throw 2 of 2,30,28
110,2,9:44.0,J. Tatum makes 2-pt layup from 3 ft (assist by A. Baynes),,32,28
111,2,9:26.0,,G. Niang misses 2-pt jump shot from 11 ft,32,28
112,2,9:24.0,Defensive rebound by J. Tatum,,32,28
113,2,9:12.0,G. Hayward misses 2-pt jump shot from 7 ft,,32,28
114,2,9:09.0,,Defensive rebound by R. O'Neale,32,28
115,2,9:06.0,,R. O'Neale makes 2-pt layup from 2 ft,32,30
116,2,8:41.0,M. Morris makes 2-pt jump shot from 13 ft,,34,30
117,2,8:21.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by D. Favors),34,33
118,2,8:06.0,A. Baynes makes 2-pt layup from 2 ft (assist by G. Hayward),,36,33
119,2,8:06.0,Shooting foul by D. Favors (drawn by A. Baynes),,36,33
120,2,8:06.0,,Utah full timeout,36,33
121,2,8:06.0,J. Brown enters the game for M. Morris,,36,33
122,2,8:06.0,S. Ojeleye enters the game for J. Tatum,,36,33
123,2,8:06.0,,R. Gobert enters the game for D. Favors,36,33
124,2,8:06.0,,J. Ingles enters the game for D. Mitchell,36,33
125,2,8:06.0,,R. Rubio enters the game for R. O'Neale,36,33
126,2,8:06.0,A. Baynes makes free throw 1 of 1,,37,33
127,2,7:50.0,,R. Rubio makes 2-pt jump shot from 20 ft,37,35
128,2,7:35.0,Turnover by G. Hayward (lost ball; steal by J. Ingles),,37,35
129,2,7:24.0,,R. Gobert makes 2-pt hook shot from 4 ft (assist by J. Ingles),37,37
130,2,7:24.0,,Shooting foul by S. Ojeleye (drawn by R. Gobert),37,37
131,2,7:24.0,,R. Gobert makes free throw 1 of 1,37,38
132,2,7:04.0,J. Brown misses 3-pt jump shot from 26 ft,,37,38
133,2,7:01.0,,Defensive rebound by R. Rubio,37,38
134,2,6:55.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by A. Burks),37,40
135,2,6:44.0,G. Hayward misses 3-pt jump shot from 25 ft,,37,40
136,2,6:40.0,,Defensive rebound by J. Ingles,37,40
137,2,6:32.0,,A. Burks misses 3-pt jump shot from 22 ft,37,40
138,2,6:29.0,Defensive rebound by J. Brown,,37,40
139,2,6:24.0,S. Ojeleye misses 3-pt jump shot from 23 ft (block by J. Ingles),,37,40
140,2,6:23.0,,Defensive rebound by Team,37,40
141,2,6:23.0,A. Horford enters the game for A. Baynes,,37,40
142,2,6:06.0,,Shooting foul by G. Hayward (drawn by A. Burks),37,40
143,2,6:06.0,,A. Burks misses free throw 1 of 3,37,40
144,2,6:06.0,,Offensive rebound by Team,37,40
145,2,6:06.0,,A. Burks makes free throw 2 of 3,37,41
146,2,6:06.0,,A. Burks makes free throw 3 of 3,37,42
147,2,5:50.0,J. Brown makes 3-pt jump shot from 24 ft (assist by G. Hayward),,40,42
148,2,5:35.0,,J. Ingles makes 2-pt layup from 1 ft (assist by G. Niang),40,44
149,2,5:14.0,A. Horford misses 2-pt layup from 4 ft,,40,44
150,2,5:14.0,Offensive rebound by Team,,40,44
151,2,5:14.0,,Loose ball foul by R. Rubio (drawn by A. Horford),40,44
152,2,5:14.0,M. Smart enters the game for G. Hayward,,40,44
153,2,5:14.0,J. Tatum enters the game for S. Ojeleye,,40,44
154,2,5:14.0,,J. Crowder enters the game for A. Burks,40,44
155,2,5:14.0,,D. Mitchell enters the game for G. Niang,40,44
156,2,5:05.0,J. Brown misses 2-pt layup from 3 ft (block by R. Gobert),,40,44
157,2,5:05.0,Offensive rebound by Team,,40,44
158,2,5:02.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),,42,44
159,2,4:42.0,,J. Ingles makes 2-pt layup from 2 ft,42,46
160,2,4:22.0,M. Smart misses 3-pt jump shot from 25 ft,,42,46
161,2,4:19.0,,Defensive rebound by J. Crowder,42,46
162,2,4:13.0,,Turnover by R. Rubio (bad pass; steal by M. Smart),42,46
163,2,4:06.0,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),,44,46
164,2,3:49.0,,J. Crowder misses 3-pt jump shot from 25 ft,44,46
165,2,3:47.0,Defensive rebound by A. Horford,,44,46
166,2,3:37.0,J. Brown makes 2-pt jump shot from 8 ft,,46,46
167,2,3:22.0,,Turnover by D. Mitchell (bad pass; steal by J. Tatum),46,46
168,2,3:22.0,,Loose ball foul by J. Ingles (drawn by T. Rozier),46,46
169,2,3:11.0,A. Horford misses 3-pt jump shot from 25 ft,,46,46
170,2,3:07.0,,Defensive rebound by R. Rubio,46,46
171,2,2:54.0,,D. Mitchell misses 3-pt jump shot from 25 ft,46,46
172,2,2:51.0,Defensive rebound by T. Rozier,,46,46
173,2,2:47.0,J. Brown misses 3-pt jump shot from 25 ft,,46,46
174,2,2:44.0,,Defensive rebound by J. Ingles,46,46
175,2,2:34.0,,J. Crowder misses 2-pt layup from 2 ft,46,46
