,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Bertāns,0,0
2,1,11:35.0,,Turnover by L. Aldridge (traveling),0,0
3,1,11:18.0,A. Gordon makes 2-pt jump shot from 13 ft,,2,0
4,1,10:59.0,,Personal foul by E. Fournier (drawn by D. DeRozan),2,0
5,1,10:55.0,,Personal foul by W. Iwundu (drawn by L. Aldridge),2,0
6,1,10:46.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),2,2
7,1,10:23.0,D. Augustin makes 2-pt jump shot from 21 ft,,4,2
8,1,10:08.0,,D. DeRozan misses 3-pt jump shot from 23 ft,4,2
9,1,10:05.0,Defensive rebound by A. Gordon,,4,2
10,1,9:58.0,A. Gordon misses 3-pt jump shot from 25 ft,,4,2
11,1,9:58.0,,Defensive rebound by D. DeRozan,4,2
12,1,9:51.0,,D. Bertāns makes 2-pt jump shot from 14 ft (assist by D. DeRozan),4,4
13,1,9:31.0,W. Iwundu misses 2-pt layup from 2 ft,,4,4
14,1,9:31.0,Offensive rebound by A. Gordon,,4,4
15,1,9:25.0,A. Gordon makes 2-pt dunk at rim,,6,4
16,1,9:14.0,,L. Aldridge makes 2-pt jump shot from 17 ft,6,6
17,1,9:08.0,Personal foul by B. Forbes (drawn by D. Augustin),,6,6
18,1,9:05.0,Personal foul by B. Forbes (drawn by D. Augustin),,6,6
19,1,9:05.0,,P. Mills enters the game for B. Forbes,6,6
20,1,8:48.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Augustin),,8,6
21,1,8:24.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by L. Aldridge),8,9
22,1,8:04.0,W. Iwundu misses 2-pt jump shot from 20 ft,,8,9
23,1,8:02.0,,Defensive rebound by D. DeRozan,8,9
24,1,7:51.0,,D. DeRozan makes 2-pt jump shot from 8 ft,8,11
