,QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
0,1,11:37.0,P. Siakam misses 2-pt jump shot from 21 ft,,0,0
1,1,11:34.0,Offensive rebound by K. Lowry,,0,0
2,1,11:32.0,F. VanVleet misses 3-pt jump shot from 25 ft,,0,0
3,1,11:32.0,,Defensive rebound by D. Dedmon,0,0
4,1,11:13.0,,J. Collins misses 3-pt jump shot from 24 ft,0,0
5,1,11:10.0,Defensive rebound by D. Green,,0,0
6,1,11:06.0,,Violation by Team (kicked ball),0,0
7,1,10:57.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,0,0
8,1,10:55.0,,Defensive rebound by D. Dedmon,0,0
9,1,10:49.0,,K. Bazemore misses 2-pt jump shot from 12 ft,0,0
10,1,10:45.0,Defensive rebound by J. Valančiūnas,,0,0
11,1,10:40.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,0,0
12,1,10:35.0,,Defensive rebound by J. Collins,0,0
13,1,10:28.0,,T. Prince misses 3-pt jump shot from 26 ft,0,0
14,1,10:23.0,Defensive rebound by K. Lowry,,0,0
15,1,10:21.0,D. Green misses 2-pt layup from 1 ft,,0,0
16,1,10:20.0,Offensive rebound by Team,,0,0
17,1,10:17.0,P. Siakam misses 3-pt jump shot from 23 ft,,0,0
18,1,10:13.0,,Defensive rebound by K. Bazemore,0,0
19,1,9:54.0,,D. Dedmon misses 3-pt jump shot from 24 ft,0,0
20,1,9:50.0,Defensive rebound by P. Siakam,,0,0
21,1,9:45.0,D. Green misses 3-pt jump shot from 22 ft,,0,0
22,1,9:41.0,,Defensive rebound by J. Collins,0,0
23,1,9:31.0,,D. Dedmon misses 2-pt hook shot from 8 ft,0,0
24,1,9:27.0,Defensive rebound by J. Valančiūnas,,0,0
25,1,9:22.0,,Violation by Team (kicked ball),0,0
26,1,9:13.0,F. VanVleet misses 2-pt layup from 2 ft,,0,0
27,1,9:13.0,,Defensive rebound by Team,0,0
28,1,9:01.0,,T. Prince misses 2-pt jump shot from 14 ft,0,0
29,1,8:56.0,Defensive rebound by J. Valančiūnas,,0,0
30,1,8:46.0,K. Lowry makes 2-pt jump shot from 15 ft,,2,0
31,1,8:35.0,,T. Young misses 2-pt jump shot from 13 ft,2,0
32,1,8:33.0,Defensive rebound by F. VanVleet,,2,0
33,1,8:30.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,5,0
34,1,8:05.0,,D. Dedmon misses 2-pt jump shot from 13 ft (block by J. Valančiūnas),5,0
35,1,8:02.0,Defensive rebound by J. Valančiūnas,,5,0
36,1,7:59.0,P. Siakam misses 2-pt layup from 1 ft (block by K. Bazemore),,5,0
37,1,7:59.0,Offensive rebound by Team,,5,0
38,1,7:59.0,,V. Carter enters the game for J. Collins,5,0
39,1,7:59.0,,J. Lin enters the game for T. Young,5,0
40,1,7:56.0,F. VanVleet makes 2-pt layup from 1 ft (assist by K. Lowry),,7,0
41,1,7:34.0,,K. Bazemore makes 2-pt jump shot from 14 ft,7,2
42,1,7:18.0,J. Valančiūnas misses 2-pt layup from 3 ft (block by K. Bazemore),,7,2
43,1,7:13.0,Offensive rebound by J. Valančiūnas,,7,2
44,1,7:12.0,J. Valančiūnas makes 2-pt layup from 2 ft,,9,2
45,1,7:06.0,,Shooting foul by J. Valančiūnas (drawn by D. Dedmon),9,2
46,1,7:06.0,,D. Dedmon makes free throw 1 of 2,9,3
47,1,7:06.0,,D. Dedmon makes free throw 2 of 2,9,4
48,1,6:55.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,12,4
49,1,6:40.0,,J. Lin misses 2-pt jump shot from 13 ft,12,4
50,1,6:37.0,Defensive rebound by K. Lowry,,12,4
51,1,6:27.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Lowry),,15,4
52,1,6:12.0,,K. Bazemore makes 2-pt jump shot from 16 ft (assist by D. Dedmon),15,6
53,1,5:58.0,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by K. Lowry),,17,6
54,1,5:57.0,,Atlanta full timeout,17,6
55,1,5:57.0,,D. Bembry enters the game for K. Bazemore,17,6
56,1,5:57.0,,K. Huerter enters the game for D. Dedmon,17,6
57,1,5:57.0,,M. Plumlee enters the game for T. Prince,17,6
58,1,5:46.0,,Personal foul by K. Lowry (drawn by D. Bembry),17,6
59,1,5:45.0,,Offensive foul by D. Bembry (drawn by F. VanVleet),17,6
60,1,5:45.0,,Turnover by D. Bembry (offensive foul),17,6
61,1,5:32.0,P. Siakam makes 2-pt hook shot from 2 ft (assist by J. Valančiūnas),,19,6
62,1,5:12.0,,V. Carter makes 2-pt layup from 3 ft (assist by M. Plumlee),19,8
63,1,4:57.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),,21,8
64,1,4:40.0,,D. Bembry misses 3-pt jump shot from 24 ft,21,8
65,1,4:37.0,Defensive rebound by J. Valančiūnas,,21,8
66,1,4:34.0,Turnover by J. Valančiūnas (bad pass; steal by D. Bembry),,21,8
67,1,4:28.0,,J. Lin misses 3-pt jump shot from 26 ft,21,8
68,1,4:27.0,,Offensive rebound by D. Bembry,21,8
69,1,4:25.0,,M. Plumlee misses 2-pt dunk from 3 ft,21,8
70,1,4:25.0,,Offensive rebound by D. Bembry,21,8
71,1,4:21.0,,D. Bembry makes 2-pt layup from 1 ft,21,10
72,1,4:05.0,D. Green misses 2-pt jump shot from 17 ft,,21,10
73,1,4:01.0,Offensive rebound by D. Green,,21,10
74,1,3:59.0,D. Green misses 3-pt jump shot from 25 ft,,21,10
75,1,3:55.0,Offensive rebound by J. Valančiūnas,,21,10
76,1,3:54.0,J. Valančiūnas makes 2-pt hook shot from 2 ft,,23,10
77,1,3:34.0,,V. Carter makes 2-pt jump shot from 12 ft,23,12
78,1,3:22.0,Toronto full timeout,,23,12
79,1,3:22.0,S. Ibaka enters the game for D. Green,,23,12
80,1,3:22.0,D. Wright enters the game for J. Valančiūnas,,23,12
81,1,3:08.0,K. Lowry misses 2-pt jump shot from 8 ft,,23,12
82,1,3:02.0,Offensive rebound by S. Ibaka,,23,12
83,1,3:02.0,S. Ibaka makes 2-pt layup at rim,,25,12
84,1,2:52.0,,J. Lin makes 2-pt layup from 1 ft,25,14
85,1,2:40.0,Personal foul by V. Carter (drawn by P. Siakam),,25,14
86,1,2:40.0,L. Brown enters the game for K. Lowry,,25,14
87,1,2:40.0,,D. Dedmon enters the game for M. Plumlee,25,14
88,1,2:34.0,L. Brown misses 2-pt jump shot from 12 ft,,25,14
89,1,2:30.0,Offensive rebound by S. Ibaka,,25,14
90,1,2:30.0,S. Ibaka makes 2-pt layup at rim,,27,14
91,1,2:17.0,,K. Huerter misses 3-pt jump shot from 23 ft,27,14
92,1,2:15.0,Defensive rebound by P. Siakam,,27,14
93,1,2:10.0,P. Siakam makes 2-pt layup from 1 ft,,29,14
94,1,1:59.0,,Personal foul by P. Siakam (drawn by V. Carter),29,14
95,1,1:49.0,,K. Huerter makes 2-pt jump shot from 21 ft (assist by J. Lin),29,16
96,1,1:33.0,D. Wright misses 2-pt jump shot from 6 ft,,29,16
97,1,1:28.0,,Defensive rebound by D. Bembry,29,16
98,1,1:19.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by D. Bembry),29,18
99,1,1:02.0,Offensive foul by F. VanVleet (drawn by J. Lin),,29,18
100,1,1:02.0,Turnover by F. VanVleet (offensive foul),,29,18
101,1,1:02.0,D. Green enters the game for P. Siakam,,29,18
102,1,1:02.0,G. Monroe enters the game for F. VanVleet,,29,18
103,1,1:02.0,,J. Anderson enters the game for D. Bembry,29,18
104,1,1:02.0,,J. Collins enters the game for V. Carter,29,18
105,1,0:53.0,,J. Lin makes 2-pt jump shot from 14 ft,29,20
106,1,0:34.0,Turnover by L. Brown (lost ball; steal by D. Dedmon),,29,20
107,1,0:31.0,,J. Anderson makes 2-pt dunk from 1 ft (assist by D. Dedmon),29,22
108,1,0:16.0,Personal foul by J. Collins (drawn by D. Wright),,29,22
109,1,0:12.0,Offensive foul by D. Green (drawn by K. Huerter),,29,22
110,1,0:12.0,Turnover by D. Green (offensive foul),,29,22
111,1,0:12.0,,J. Lin makes 2-pt jump shot from 12 ft,29,24
112,2,11:41.0,,Turnover by K. Bazemore (bad pass; steal by G. Monroe),29,24
113,2,11:26.0,G. Monroe misses 2-pt hook shot from 6 ft,,29,24
114,2,11:22.0,Offensive rebound by G. Monroe,,29,24
115,2,11:22.0,G. Monroe makes 2-pt layup at rim,,31,24
116,2,11:14.0,,J. Collins misses 3-pt jump shot from 26 ft,31,24
117,2,11:10.0,Defensive rebound by G. Monroe,,31,24
118,2,11:03.0,Turnover by L. Brown (bad pass; steal by J. Anderson),,31,24
119,2,10:55.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by J. Collins),31,27
120,2,10:38.0,G. Monroe misses 2-pt layup from 1 ft,,31,27
121,2,10:36.0,,Defensive rebound by D. Dedmon,31,27
122,2,10:25.0,,D. Dedmon misses 3-pt jump shot from 25 ft,31,27
123,2,10:21.0,Defensive rebound by D. Green,,31,27
124,2,10:14.0,S. Ibaka misses 3-pt jump shot from 25 ft,,31,27
125,2,10:10.0,,Defensive rebound by K. Bazemore,31,27
126,2,10:10.0,K. Lowry enters the game for D. Green,,31,27
127,2,10:10.0,,T. Young enters the game for J. Lin,31,27
128,2,9:56.0,,J. Anderson misses 3-pt jump shot from 25 ft,31,27
129,2,9:53.0,Defensive rebound by L. Brown,,31,27
130,2,9:45.0,L. Brown misses 2-pt layup from 2 ft,,31,27
131,2,9:42.0,,Defensive rebound by K. Bazemore,31,27
132,2,9:42.0,,Turnover by K. Bazemore (bad pass),31,27
133,2,9:35.0,S. Ibaka misses 3-pt jump shot from 23 ft,,31,27
134,2,9:33.0,Offensive rebound by D. Wright,,31,27
135,2,9:32.0,Turnover by D. Wright (lost ball; steal by D. Dedmon),,31,27
136,2,9:26.0,,K. Bazemore makes 2-pt dunk from 1 ft (assist by T. Young),31,29
137,2,9:06.0,L. Brown makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,34,29
