,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:45.0,Turnover by D. Lillard (bad pass; steal by D. Bender),,0,0
1,1,11:38.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Booker),0,2
2,1,11:18.0,Turnover by J. Nurkić (traveling),,0,2
3,1,11:08.0,,Turnover by D. Booker (bad pass; steal by C. McCollum),0,2
4,1,10:51.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Harkless),,3,2
5,1,10:33.0,,Turnover by D. Bender (lost ball; steal by M. Harkless),3,2
6,1,10:29.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,2
7,1,10:27.0,,Defensive rebound by D. Bender,3,2
8,1,10:12.0,,D. Bender makes 2-pt hook shot from 2 ft (assist by M. Bridges),3,4
9,1,10:01.0,Shooting foul by D. Bender (drawn by J. Nurkić),,3,4
10,1,10:01.0,J. Nurkić makes free throw 1 of 2,,4,4
11,1,10:01.0,J. Nurkić makes free throw 2 of 2,,5,4
12,1,9:47.0,,D. Booker misses 2-pt jump shot from 4 ft,5,4
13,1,9:45.0,Defensive rebound by A. Aminu,,5,4
14,1,9:38.0,D. Lillard misses 2-pt jump shot from 9 ft,,5,4
15,1,9:34.0,Offensive rebound by A. Aminu,,5,4
16,1,9:34.0,A. Aminu misses 2-pt layup from 1 ft,,5,4
17,1,9:33.0,,Defensive rebound by J. Jackson,5,4
18,1,9:30.0,,Shooting foul by J. Nurkić (drawn by J. Jackson),5,4
19,1,9:30.0,,J. Jackson makes free throw 1 of 2,5,5
20,1,9:30.0,,J. Jackson makes free throw 2 of 2,5,6
21,1,9:22.0,D. Lillard misses 2-pt layup from 1 ft,,5,6
22,1,9:18.0,,Defensive rebound by M. Bridges,5,6
23,1,9:16.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Bridges),5,9
24,1,8:54.0,C. McCollum misses 2-pt layup at rim,,5,9
25,1,8:52.0,Offensive rebound by M. Harkless,,5,9
26,1,8:45.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),,8,9
27,1,8:31.0,,D. Bender misses 3-pt jump shot from 25 ft,8,9
28,1,8:29.0,Defensive rebound by M. Harkless,,8,9
29,1,8:16.0,J. Nurkić misses 2-pt jump shot from 3 ft,,8,9
30,1,8:14.0,,Defensive rebound by D. Bender,8,9
31,1,7:58.0,,D. Booker misses 3-pt jump shot from 22 ft,8,9
32,1,7:56.0,Defensive rebound by C. McCollum,,8,9
33,1,7:46.0,C. McCollum makes 3-pt jump shot from 25 ft,,11,9
34,1,7:32.0,,D. Bender misses 3-pt jump shot from 25 ft,11,9
35,1,7:31.0,Defensive rebound by D. Lillard,,11,9
36,1,7:27.0,D. Lillard makes 2-pt jump shot from 11 ft,,13,9
37,1,7:09.0,,D. Booker makes 2-pt layup from 1 ft,13,11
38,1,6:59.0,Turnover by D. Lillard (bad pass; steal by D. Booker),,13,11
39,1,6:57.0,,Turnover by D. Melton (bad pass),13,11
40,1,6:57.0,,Phoenix full timeout,13,11
41,1,6:57.0,,K. Oubre enters the game for M. Bridges,13,11
42,1,6:42.0,M. Harkless misses 2-pt layup from 2 ft,,13,11
43,1,6:40.0,Offensive rebound by J. Nurkić,,13,11
44,1,6:39.0,J. Nurkić misses 2-pt layup from 1 ft,,13,11
45,1,6:39.0,,Defensive rebound by K. Oubre,13,11
46,1,6:32.0,,D. Booker makes 2-pt jump shot from 14 ft (assist by K. Oubre),13,13
47,1,6:19.0,Shooting foul by D. Melton (drawn by D. Lillard),,13,13
48,1,6:19.0,D. Lillard makes free throw 1 of 2,,14,13
49,1,6:19.0,D. Lillard makes free throw 2 of 2,,15,13
50,1,6:07.0,,D. Booker makes 2-pt jump shot from 8 ft (assist by K. Oubre),15,15
51,1,5:57.0,D. Lillard makes 2-pt jump shot from 17 ft,,17,15
52,1,5:51.0,,Shooting foul by C. McCollum (drawn by D. Booker),17,15
53,1,5:51.0,,D. Booker makes free throw 1 of 2,17,16
54,1,5:51.0,,E. Okobo enters the game for D. Melton,17,16
55,1,5:51.0,,D. Booker makes free throw 2 of 2,17,17
56,1,5:35.0,D. Lillard misses 2-pt jump shot from 19 ft,,17,17
57,1,5:32.0,,Defensive rebound by J. Jackson,17,17
58,1,5:23.0,,D. Bender misses 2-pt layup from 1 ft,17,17
