,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft (assist by L. Shamet),,2,0
1,1,11:17.0,,K. Durant makes 2-pt jump shot from 8 ft,2,2
2,1,10:57.0,W. Chandler misses 3-pt jump shot from 30 ft,,2,2
3,1,10:55.0,,Defensive rebound by S. Curry,2,2
4,1,10:50.0,,Turnover by D. Green (bad pass; steal by L. Williams),2,2
5,1,10:40.0,L. Williams makes 2-pt jump shot from 20 ft (assist by M. Harrell),,4,2
6,1,10:28.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),4,4
7,1,10:06.0,W. Chandler misses 3-pt jump shot from 22 ft,,4,4
8,1,10:05.0,,Defensive rebound by S. Curry,4,4
9,1,10:02.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),4,6
10,1,9:45.0,W. Chandler misses 3-pt jump shot from 26 ft,,4,6
11,1,9:43.0,,Defensive rebound by K. Durant,4,6
12,1,9:30.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),4,8
13,1,9:17.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,4,8
14,1,9:16.0,,Defensive rebound by D. Cousins,4,8
15,1,9:10.0,,Turnover by K. Durant (bad pass; steal by L. Williams),4,8
16,1,9:03.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by L. Williams),,7,8
17,1,8:48.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Cousins),7,10
18,1,8:39.0,L. Williams misses 2-pt jump shot from 7 ft,,7,10
19,1,8:38.0,,Defensive rebound by D. Green,7,10
20,1,8:32.0,,Personal foul by L. Williams (drawn by D. Green),7,10
21,1,8:29.0,,Turnover by D. Cousins (bad pass; steal by M. Harrell),7,10
22,1,8:23.0,M. Harrell misses 2-pt jump shot from 11 ft,,7,10
23,1,8:22.0,,Defensive rebound by D. Cousins,7,10
24,1,8:07.0,,K. Durant makes 3-pt jump shot from 27 ft,7,13
25,1,7:51.0,L. Williams misses 2-pt jump shot from 12 ft,,7,13
26,1,7:50.0,,Defensive rebound by D. Green,7,13
27,1,7:35.0,,D. Cousins misses 3-pt jump shot from 27 ft,7,13
28,1,7:33.0,Defensive rebound by L. Williams,,7,13
29,1,7:27.0,Turnover by L. Williams (bad pass; steal by D. Cousins),,7,13
30,1,7:25.0,,Shooting foul by L. Shamet (drawn by D. Cousins),7,13
