,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,J. Randle misses 2-pt layup from 2 ft,0,0
1,1,11:44.0,Defensive rebound by K. Middleton,,0,0
2,1,11:37.0,E. Bledsoe misses 2-pt layup from 3 ft,,0,0
3,1,11:35.0,,Defensive rebound by E. Payton,0,0
4,1,11:24.0,,Turnover by F. Jackson (bad pass),0,0
5,1,11:11.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by K. Middleton),,2,0
6,1,10:59.0,,J. Randle makes 3-pt jump shot from 24 ft (assist by A. Davis),2,3
7,1,10:50.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,2,3
8,1,10:50.0,,Defensive rebound by A. Davis,2,3
9,1,10:44.0,,K. Williams misses 3-pt jump shot from 25 ft,2,3
10,1,10:41.0,Defensive rebound by B. Lopez,,2,3
11,1,10:30.0,K. Middleton misses 2-pt jump shot from 16 ft,,2,3
12,1,10:27.0,,Defensive rebound by E. Payton,2,3
13,1,10:25.0,,Turnover by A. Davis (step out of bounds),2,3
14,1,10:13.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),,4,3
15,1,10:05.0,,J. Randle misses 3-pt jump shot from 26 ft,4,3
16,1,10:02.0,Defensive rebound by K. Middleton,,4,3
17,1,9:56.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,4,3
18,1,9:52.0,,Defensive rebound by A. Davis,4,3
19,1,9:47.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),4,5
20,1,9:36.0,B. Lopez misses 3-pt jump shot from 27 ft,,4,5
21,1,9:34.0,,Defensive rebound by E. Payton,4,5
22,1,9:25.0,,Turnover by F. Jackson (out of bounds lost ball),4,5
23,1,9:13.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,4,5
24,1,9:13.0,G. Antetokounmpo makes free throw 1 of 2,,5,5
25,1,9:13.0,G. Antetokounmpo makes free throw 2 of 2,,6,5
26,1,8:55.0,,E. Payton makes 2-pt jump shot from 8 ft (assist by J. Randle),6,7
27,1,8:48.0,Offensive foul by G. Antetokounmpo (drawn by A. Davis),,6,7
28,1,8:48.0,Turnover by G. Antetokounmpo (offensive foul),,6,7
29,1,8:34.0,,Turnover by A. Davis (bad pass),6,7
30,1,8:21.0,K. Middleton makes 2-pt jump shot from 17 ft,,8,7
31,1,8:11.0,,F. Jackson misses 3-pt jump shot from 25 ft,8,7
32,1,8:08.0,,Offensive rebound by Team,8,7
33,1,8:06.0,,J. Randle makes 2-pt jump shot from 17 ft (assist by E. Payton),8,9
34,1,7:59.0,Turnover by K. Middleton (out of bounds lost ball),,8,9
35,1,7:43.0,,A. Davis misses 2-pt dunk from 1 ft,8,9
36,1,7:41.0,,Offensive rebound by E. Payton,8,9
37,1,7:39.0,,E. Payton makes 2-pt layup from 2 ft,8,11
38,1,7:25.0,B. Lopez misses 2-pt jump shot from 22 ft,,8,11
39,1,7:22.0,,Defensive rebound by A. Davis,8,11
40,1,7:16.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),8,13
41,1,7:16.0,Milwaukee full timeout,,8,13
42,1,7:16.0,N. Mirotić enters the game for M. Brogdon,,8,13
43,1,7:08.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,10,13
44,1,6:52.0,,J. Randle misses 3-pt jump shot from 26 ft,10,13
45,1,6:49.0,Defensive rebound by B. Lopez,,10,13
46,1,6:49.0,Personal foul by K. Williams (drawn by B. Lopez),,10,13
47,1,6:38.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,10,13
48,1,6:36.0,,Defensive rebound by A. Davis,10,13
49,1,6:34.0,,Shooting foul by B. Lopez (drawn by J. Randle),10,13
50,1,6:34.0,,J. Randle makes free throw 1 of 2,10,14
51,1,6:34.0,,J. Randle makes free throw 2 of 2,10,15
52,1,6:18.0,Shooting foul by J. Randle (drawn by K. Middleton),,10,15
53,1,6:18.0,K. Middleton makes free throw 1 of 2,,11,15
54,1,6:18.0,P. Connaughton enters the game for G. Antetokounmpo,,11,15
55,1,6:18.0,K. Middleton makes free throw 2 of 2,,12,15
56,1,6:09.0,,A. Davis misses 2-pt jump shot from 13 ft,12,15
57,1,6:06.0,Defensive rebound by P. Connaughton,,12,15
58,1,6:02.0,B. Lopez misses 3-pt jump shot from 26 ft,,12,15
59,1,5:57.0,,Defensive rebound by A. Davis,12,15
60,1,5:51.0,,E. Payton misses 3-pt jump shot from 25 ft,12,15
61,1,5:50.0,Defensive rebound by Team,,12,15
62,1,5:28.0,E. Bledsoe misses 2-pt jump shot from 7 ft,,12,15
63,1,5:26.0,,Defensive rebound by E. Payton,12,15
64,1,5:22.0,,F. Jackson misses 3-pt jump shot from 23 ft,12,15
65,1,5:19.0,Defensive rebound by E. Bledsoe,,12,15
66,1,5:15.0,E. Bledsoe misses 2-pt layup from 5 ft,,12,15
67,1,5:14.0,,Defensive rebound by Team,12,15
68,1,5:14.0,,D. Miller enters the game for A. Davis,12,15
69,1,5:03.0,,E. Payton makes 2-pt dunk from 1 ft (assist by J. Randle),12,17
70,1,4:50.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,12,17
71,1,4:47.0,,Defensive rebound by E. Payton,12,17
72,1,4:43.0,,J. Randle misses 2-pt jump shot from 6 ft,12,17
73,1,4:38.0,Defensive rebound by P. Connaughton,,12,17
74,1,4:29.0,N. Mirotić misses 2-pt layup from 4 ft,,12,17
75,1,4:23.0,Offensive rebound by P. Connaughton,,12,17
76,1,4:23.0,P. Connaughton misses 2-pt layup from 1 ft,,12,17
77,1,4:22.0,,Defensive rebound by E. Payton,12,17
78,1,4:20.0,,K. Williams misses 2-pt layup from 2 ft,12,17
79,1,4:18.0,Defensive rebound by B. Lopez,,12,17
80,1,4:11.0,K. Middleton misses 2-pt layup from 2 ft,,12,17
81,1,4:11.0,,Defensive rebound by E. Payton,12,17
82,1,4:07.0,,F. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),12,19
83,1,4:00.0,Offensive foul by K. Middleton (drawn by K. Williams),,12,19
84,1,4:00.0,Turnover by K. Middleton (offensive foul),,12,19
85,1,4:00.0,E. İlyasova enters the game for E. Bledsoe,,12,19
86,1,4:00.0,T. Snell enters the game for B. Lopez,,12,19
87,1,4:00.0,,I. Clark enters the game for F. Jackson,12,19
88,1,3:52.0,,I. Clark misses 3-pt jump shot from 23 ft,12,19
89,1,3:49.0,Defensive rebound by N. Mirotić,,12,19
90,1,3:41.0,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Snell),,14,19
91,1,3:31.0,,K. Williams misses 3-pt jump shot from 25 ft,14,19
92,1,3:29.0,Defensive rebound by T. Snell,,14,19
93,1,3:25.0,N. Mirotić makes 2-pt layup from 2 ft (assist by K. Middleton),,16,19
94,1,3:10.0,,E. Payton misses 3-pt jump shot from 25 ft,16,19
95,1,3:08.0,,Offensive rebound by J. Randle,16,19
96,1,3:08.0,,Turnover by J. Randle (offensive foul),16,19
97,1,3:08.0,,Offensive foul by J. Randle (drawn by E. İlyasova),16,19
98,1,3:08.0,,J. Smith enters the game for K. Williams,16,19
99,1,2:58.0,N. Mirotić misses 3-pt jump shot from 26 ft,,16,19
100,1,2:54.0,,Defensive rebound by J. Smith,16,19
101,1,2:47.0,,New Orleans full timeout,16,19
102,1,2:47.0,M. Brogdon enters the game for K. Middleton,,16,19
103,1,2:37.0,,J. Smith misses 3-pt jump shot from 24 ft,16,19
104,1,2:32.0,Defensive rebound by M. Brogdon,,16,19
105,1,2:19.0,T. Snell misses 2-pt layup from 2 ft,,16,19
106,1,2:11.0,Offensive rebound by N. Mirotić,,16,19
107,1,2:11.0,N. Mirotić misses 2-pt layup from 1 ft,,16,19
108,1,2:09.0,,Defensive rebound by E. Payton,16,19
109,1,2:02.0,,J. Smith misses 3-pt jump shot from 25 ft,16,19
110,1,1:58.0,Defensive rebound by T. Snell,,16,19
111,1,1:49.0,E. İlyasova misses 3-pt jump shot from 25 ft,,16,19
112,1,1:47.0,,Defensive rebound by J. Randle,16,19
113,1,1:38.0,,I. Clark misses 3-pt jump shot from 23 ft,16,19
114,1,1:33.0,Defensive rebound by T. Snell,,16,19
115,1,1:27.0,N. Mirotić makes 2-pt layup from 1 ft (assist by T. Snell),,18,19
116,1,1:13.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by E. Payton),18,22
117,1,1:13.0,,Shooting foul by N. Mirotić (drawn by D. Miller),18,22
118,1,1:13.0,G. Antetokounmpo enters the game for N. Mirotić,,18,22
119,1,1:13.0,,A. Davis enters the game for J. Randle,18,22
120,1,1:13.0,,D. Miller makes free throw 1 of 1,18,23
121,1,1:03.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,21,23
122,1,0:53.0,,J. Smith misses 3-pt jump shot from 26 ft,21,23
123,1,0:53.0,Defensive rebound by P. Connaughton,,21,23
124,1,0:39.0,G. Antetokounmpo makes 2-pt jump shot from 21 ft (assist by P. Connaughton),,23,23
125,1,0:30.0,,A. Davis misses 2-pt jump shot from 18 ft,23,23
126,1,0:30.0,Defensive rebound by E. İlyasova,,23,23
127,1,0:09.0,Offensive foul by G. Antetokounmpo (drawn by D. Miller),,23,23
128,1,0:09.0,Turnover by G. Antetokounmpo (offensive foul),,23,23
129,1,0:00.0,,A. Davis misses 3-pt jump shot from 25 ft,23,23
130,1,0:00.0,,Offensive rebound by Team,23,23
131,2,11:50.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by M. Brogdon),,25,23
132,2,11:35.0,,F. Jackson makes 2-pt layup from 2 ft,25,25
133,2,11:25.0,Shooting foul by I. Clark (drawn by N. Mirotić),,25,25
134,2,11:25.0,N. Mirotić misses free throw 1 of 2,,25,25
