,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by B. Beal),0,3
1,1,11:26.0,L. Markkanen misses 2-pt jump shot from 14 ft,,0,3
2,1,11:23.0,,Defensive rebound by T. Bryant,0,3
3,1,11:08.0,,Personal foul by W. Carter (drawn by T. Bryant),0,3
4,1,10:59.0,,B. Beal makes 2-pt jump shot from 10 ft (assist by T. Satoranský),0,5
5,1,10:45.0,J. Holiday misses 2-pt jump shot from 14 ft,,0,5
6,1,10:42.0,,Defensive rebound by B. Beal,0,5
7,1,10:35.0,,T. Satoranský misses 3-pt jump shot from 26 ft,0,5
8,1,10:31.0,Defensive rebound by J. Holiday,,0,5
9,1,10:16.0,Turnover by L. Markkanen (lost ball; steal by B. Beal),,0,5
10,1,10:11.0,,Turnover by J. Green (out of bounds lost ball),0,5
11,1,9:51.0,K. Dunn misses 2-pt hook shot from 10 ft,,0,5
12,1,9:48.0,,Defensive rebound by T. Bryant,0,5
13,1,9:41.0,,J. Green misses 3-pt jump shot from 26 ft,0,5
14,1,9:36.0,Defensive rebound by W. Carter,,0,5
15,1,9:26.0,L. Markkanen makes 2-pt dunk at rim (assist by K. Dunn),,2,5
16,1,9:06.0,Violation by Team (kicked ball),,2,5
17,1,8:59.0,,J. Green misses 2-pt jump shot from 20 ft,2,5
18,1,8:55.0,Defensive rebound by Z. LaVine,,2,5
19,1,8:46.0,W. Carter misses 2-pt hook shot from 11 ft,,2,5
20,1,8:43.0,,Defensive rebound by J. Green,2,5
21,1,8:37.0,,B. Beal makes 2-pt layup from 3 ft (assist by J. Green),2,7
22,1,8:13.0,W. Carter makes 2-pt layup from 2 ft (assist by K. Dunn),,4,7
23,1,7:47.0,,J. Green misses 2-pt jump shot from 16 ft,4,7
24,1,7:44.0,Defensive rebound by L. Markkanen,,4,7
25,1,7:35.0,Z. LaVine misses 3-pt jump shot from 24 ft,,4,7
26,1,7:32.0,,Defensive rebound by B. Beal,4,7
27,1,7:28.0,,T. Ariza misses 3-pt jump shot from 26 ft,4,7
28,1,7:25.0,Defensive rebound by W. Carter,,4,7
