,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,K. Towns misses 2-pt jump shot from 11 ft,0,0
1,1,11:46.0,Defensive rebound by E. Bledsoe,,0,0
2,1,11:30.0,G. Antetokounmpo misses 3-pt jump shot from 22 ft,,0,0
3,1,11:27.0,,Defensive rebound by J. Butler,0,0
4,1,11:19.0,,J. Teague misses 3-pt jump shot from 25 ft,0,0
5,1,11:15.0,Defensive rebound by G. Antetokounmpo,,0,0
6,1,11:05.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by G. Antetokounmpo),,2,0
7,1,10:38.0,,J. Teague misses 2-pt layup from 6 ft (block by B. Lopez),2,0
8,1,10:38.0,,Offensive rebound by Team,2,0
9,1,10:38.0,,Turnover by Team (shot clock),2,0
10,1,10:29.0,Turnover by K. Middleton (lost ball; steal by J. Butler),,2,0
11,1,10:25.0,,J. Butler misses 3-pt jump shot from 24 ft,2,0
12,1,10:24.0,Defensive rebound by G. Antetokounmpo,,2,0
13,1,10:17.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,5,0
14,1,10:08.0,,K. Towns misses 3-pt jump shot from 26 ft,5,0
15,1,10:08.0,Defensive rebound by G. Antetokounmpo,,5,0
16,1,10:01.0,G. Antetokounmpo misses 2-pt hook shot from 7 ft (block by T. Gibson),,5,0
17,1,10:01.0,,Defensive rebound by Team,5,0
18,1,9:55.0,,Personal foul by G. Antetokounmpo (drawn by T. Gibson),5,0
19,1,9:45.0,,J. Okogie misses 3-pt jump shot from 25 ft,5,0
20,1,9:42.0,Defensive rebound by G. Antetokounmpo,,5,0
21,1,9:33.0,M. Brogdon makes 2-pt layup from 6 ft,,7,0
22,1,9:19.0,,T. Gibson misses 2-pt layup from 5 ft (block by G. Antetokounmpo),7,0
23,1,9:17.0,,Offensive rebound by T. Gibson,7,0
24,1,9:10.0,,T. Gibson misses 2-pt jump shot from 11 ft,7,0
25,1,9:08.0,Defensive rebound by M. Brogdon,,7,0
26,1,8:57.0,M. Brogdon misses 3-pt jump shot from 26 ft,,7,0
27,1,8:54.0,,Defensive rebound by J. Butler,7,0
28,1,8:39.0,,J. Teague misses 3-pt jump shot from 26 ft,7,0
29,1,8:37.0,Defensive rebound by G. Antetokounmpo,,7,0
30,1,8:33.0,Offensive foul by E. Bledsoe (drawn by J. Okogie),,7,0
31,1,8:33.0,Turnover by E. Bledsoe (offensive foul),,7,0
32,1,8:17.0,,J. Butler misses 3-pt jump shot from 27 ft,7,0
33,1,8:15.0,Defensive rebound by B. Lopez,,7,0
34,1,7:57.0,B. Lopez misses 3-pt jump shot from 24 ft,,7,0
35,1,7:55.0,,Defensive rebound by T. Gibson,7,0
36,1,7:45.0,,K. Towns misses 2-pt hook shot from 9 ft,7,0
37,1,7:44.0,Defensive rebound by Team,,7,0
38,1,7:44.0,,Loose ball foul by T. Gibson (drawn by G. Antetokounmpo),7,0
39,1,7:36.0,Personal foul by K. Towns (drawn by B. Lopez),,7,0
