,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHOENIX_ACTION,LA CLIPPERS_SCORE,PHOENIX_SCORE
0,1,11:40.0,M. Gortat makes 2-pt jump shot from 13 ft (assist by T. Harris),,2,0
1,1,11:18.0,,D. Melton makes 3-pt jump shot from 26 ft (assist by D. Ayton),2,3
2,1,11:04.0,Turnover by M. Gortat (bad pass),,2,3
3,1,10:40.0,,D. Booker makes 2-pt layup at rim,2,5
4,1,10:19.0,D. Gallinari makes 2-pt dunk from 1 ft (assist by A. Bradley),,4,5
5,1,9:59.0,,Personal foul by S. Gilgeous-Alexander (drawn by D. Booker),4,5
6,1,9:45.0,,M. Bridges misses 2-pt jump shot from 7 ft,4,5
7,1,9:40.0,Defensive rebound by M. Gortat,,4,5
8,1,9:37.0,A. Bradley misses 2-pt jump shot from 22 ft,,4,5
9,1,9:33.0,Offensive rebound by M. Gortat,,4,5
10,1,9:31.0,M. Gortat misses 2-pt layup from 3 ft,,4,5
11,1,9:31.0,Offensive rebound by Team,,4,5
12,1,9:29.0,T. Harris makes 2-pt jump shot from 17 ft (assist by S. Gilgeous-Alexander),,6,5
13,1,9:14.0,,Personal foul by M. Gortat (drawn by D. Booker),6,5
14,1,9:10.0,,D. Melton makes 2-pt layup at rim,6,7
15,1,8:55.0,D. Gallinari makes 2-pt jump shot from 23 ft (assist by M. Gortat),,8,7
16,1,8:36.0,,D. Ayton makes 2-pt dunk at rim (assist by M. Bridges),8,9
17,1,8:28.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Melton),,8,9
18,1,8:22.0,,D. Booker makes 2-pt layup from 1 ft (assist by D. Melton),8,11
19,1,8:09.0,Personal foul by D. Booker (drawn by D. Gallinari),,8,11
20,1,8:01.0,Personal foul by T. Warren (drawn by D. Gallinari),,8,11
21,1,7:59.0,Turnover by M. Gortat (bad pass),,8,11
22,1,7:46.0,,Turnover by D. Ayton (traveling),8,11
23,1,7:31.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,8,11
24,1,7:29.0,,Defensive rebound by D. Ayton,8,11
25,1,7:17.0,,Turnover by D. Ayton (lost ball; steal by T. Harris),8,11
26,1,7:11.0,T. Harris makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,11,11
27,1,6:49.0,,D. Melton misses 2-pt jump shot from 17 ft,11,11
28,1,6:48.0,Defensive rebound by S. Gilgeous-Alexander,,11,11
29,1,6:45.0,T. Harris makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,13,11
30,1,6:45.0,,Phoenix full timeout,13,11
31,1,6:30.0,,Turnover by T. Warren (bad pass; steal by T. Harris),13,11
32,1,6:27.0,Turnover by T. Harris (bad pass),,13,11
33,1,6:15.0,,D. Booker makes 2-pt jump shot from 11 ft,13,13
34,1,6:00.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by D. Gallinari),,15,13
35,1,5:47.0,,Personal foul by S. Gilgeous-Alexander (drawn by D. Melton),15,13
36,1,5:47.0,P. Beverley enters the game for S. Gilgeous-Alexander,,15,13
37,1,5:37.0,,Personal foul by T. Harris (drawn by D. Booker),15,13
38,1,5:28.0,,M. Bridges misses 2-pt layup from 4 ft,15,13
39,1,5:26.0,,Offensive rebound by D. Ayton,15,13
40,1,5:24.0,,Offensive foul by T. Warren (drawn by M. Gortat),15,13
41,1,5:24.0,,Turnover by T. Warren (offensive foul),15,13
42,1,5:03.0,T. Harris makes 2-pt layup from 3 ft,,17,13
43,1,4:54.0,,T. Warren misses 3-pt jump shot from 27 ft,17,13
44,1,4:51.0,Defensive rebound by M. Gortat,,17,13
45,1,4:46.0,Turnover by T. Harris (bad pass; steal by T. Warren),,17,13
46,1,4:41.0,,D. Melton misses 2-pt jump shot from 6 ft,17,13
47,1,4:41.0,Defensive rebound by M. Gortat,,17,13
48,1,4:34.0,D. Gallinari makes 2-pt layup from 1 ft (assist by A. Bradley),,19,13
49,1,4:13.0,,T. Warren makes 2-pt jump shot from 9 ft (assist by M. Bridges),19,15
50,1,4:04.0,Def 3 sec tech foul by Team,,19,15
51,1,4:04.0,D. Gallinari makes technical free throw,,20,15
52,1,4:04.0,L. Williams enters the game for A. Bradley,,20,15
53,1,4:04.0,,J. Jackson enters the game for M. Bridges,20,15
54,1,4:04.0,,E. Okobo enters the game for D. Melton,20,15
55,1,3:58.0,T. Harris misses 2-pt jump shot from 15 ft,,20,15
56,1,3:56.0,,Defensive rebound by Team,20,15
57,1,3:38.0,,T. Warren misses 2-pt jump shot from 4 ft,20,15
58,1,3:36.0,Defensive rebound by M. Gortat,,20,15
59,1,3:27.0,M. Gortat makes 2-pt layup from 1 ft (assist by P. Beverley),,22,15
60,1,3:20.0,,T. Warren misses 2-pt layup from 5 ft (block by P. Beverley),22,15
61,1,3:17.0,Defensive rebound by P. Beverley,,22,15
62,1,3:13.0,T. Harris misses 2-pt jump shot from 13 ft,,22,15
63,1,3:12.0,Offensive rebound by T. Harris,,22,15
64,1,3:12.0,T. Harris makes 2-pt dunk at rim,,24,15
65,1,3:12.0,,Phoenix full timeout,24,15
66,1,3:12.0,M. Harrell enters the game for M. Gortat,,24,15
67,1,3:12.0,,R. Holmes enters the game for D. Ayton,24,15
68,1,3:12.0,,K. Oubre enters the game for T. Warren,24,15
69,1,3:00.0,,K. Oubre misses 2-pt layup from 1 ft (block by T. Harris),24,15
70,1,2:57.0,Defensive rebound by P. Beverley,,24,15
71,1,2:41.0,M. Harrell misses 2-pt hook shot from 9 ft (block by R. Holmes),,24,15
72,1,2:40.0,Offensive rebound by T. Harris,,24,15
73,1,2:39.0,T. Harris makes 3-pt jump shot from 23 ft,,27,15
74,1,2:17.0,,Turnover by R. Holmes (bad pass; steal by T. Harris),27,15
75,1,2:04.0,L. Williams makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,30,15
76,1,1:40.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by E. Okobo),30,18
77,1,1:31.0,Shooting foul by E. Okobo (drawn by L. Williams),,30,18
78,1,1:31.0,L. Williams makes free throw 1 of 2,,31,18
79,1,1:31.0,M. Scott enters the game for D. Gallinari,,31,18
80,1,1:31.0,T. Wallace enters the game for T. Harris,,31,18
81,1,1:31.0,,J. Crawford enters the game for D. Booker,31,18
82,1,1:31.0,L. Williams makes free throw 2 of 2,,32,18
83,1,1:15.0,,E. Okobo misses 2-pt jump shot from 3 ft,32,18
84,1,1:11.0,,Offensive rebound by J. Jackson,32,18
85,1,1:10.0,,E. Okobo misses 3-pt jump shot from 25 ft,32,18
86,1,1:06.0,,Offensive rebound by R. Holmes,32,18
87,1,1:04.0,,Shooting foul by M. Harrell (drawn by R. Holmes),32,18
88,1,1:04.0,,R. Holmes misses free throw 1 of 2,32,18
89,1,1:04.0,,Offensive rebound by Team,32,18
90,1,1:04.0,,R. Holmes makes free throw 2 of 2,32,19
91,1,0:53.0,P. Beverley misses 3-pt jump shot from 23 ft,,32,19
92,1,0:52.0,,Defensive rebound by Team,32,19
93,1,0:40.0,,J. Jackson misses 2-pt jump shot from 18 ft,32,19
94,1,0:37.0,Defensive rebound by L. Williams,,32,19
95,1,0:32.0,L. Williams makes 3-pt jump shot from 25 ft,,35,19
96,1,0:13.0,,J. Crawford misses 3-pt jump shot from 28 ft,35,19
97,1,0:09.0,Defensive rebound by M. Scott,,35,19
98,1,0:03.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by M. Scott),,38,19
99,2,11:46.0,,K. Oubre misses 2-pt layup from 3 ft (block by T. Wallace),38,19
100,2,11:46.0,,Offensive rebound by Team,38,19
101,2,11:36.0,,J. Crawford misses 2-pt jump shot from 19 ft,38,19
102,2,11:31.0,Defensive rebound by T. Wallace,,38,19
103,2,11:26.0,M. Harrell makes 2-pt layup from 2 ft (assist by T. Wallace),,40,19
104,2,11:08.0,,K. Oubre makes 3-pt jump shot from 25 ft,40,22
105,2,10:48.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,42,22
106,2,10:38.0,,J. Jackson makes 2-pt layup from 1 ft (assist by R. Holmes),42,24
107,2,10:29.0,P. Beverley makes 3-pt jump shot from 26 ft,,45,24
108,2,10:11.0,,J. Crawford misses 3-pt jump shot from 24 ft,45,24
109,2,10:07.0,,Offensive rebound by E. Okobo,45,24
110,2,9:56.0,,J. Jackson makes 2-pt layup from 1 ft,45,26
111,2,9:31.0,P. Beverley misses 3-pt jump shot from 26 ft,,45,26
112,2,9:28.0,Offensive rebound by T. Wallace,,45,26
113,2,9:24.0,Shooting foul by E. Okobo (drawn by L. Williams),,45,26
114,2,9:24.0,L. Williams makes free throw 1 of 2,,46,26
115,2,9:24.0,L. Williams misses free throw 2 of 2,,46,26
116,2,9:20.0,,Defensive rebound by K. Oubre,46,26
117,2,9:17.0,,Personal foul by P. Beverley (drawn by J. Crawford),46,26
118,2,9:12.0,,R. Holmes misses 2-pt jump shot from 11 ft,46,26
119,2,9:09.0,Defensive rebound by M. Scott,,46,26
120,2,9:05.0,T. Wallace makes 2-pt layup at rim (assist by P. Beverley),,48,26
121,2,9:05.0,,Phoenix full timeout,48,26
