,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:39.0,J. Richardson misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Žižić,0,0
2,1,11:24.0,,R. Hood misses 3-pt jump shot from 25 ft,0,0
3,1,11:21.0,,Offensive rebound by A. Žižić,0,0
4,1,11:15.0,,A. Burks makes 2-pt jump shot from 12 ft,0,2
5,1,11:03.0,Turnover by T. Johnson (bad pass; steal by A. Burks),,0,2
6,1,10:58.0,,A. Burks makes 2-pt dunk from 1 ft,0,4
7,1,10:51.0,Personal foul by R. Hood (drawn by J. Richardson),,0,4
8,1,10:45.0,J. Winslow misses 2-pt jump shot from 12 ft,,0,4
9,1,10:42.0,,Defensive rebound by A. Burks,0,4
10,1,10:26.0,,Shooting foul by H. Whiteside (drawn by A. Žižić),0,4
11,1,10:26.0,,A. Žižić makes free throw 1 of 2,0,5
12,1,10:26.0,,A. Žižić makes free throw 2 of 2,0,6
13,1,10:10.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,3,6
14,1,9:51.0,Violation by Team (kicked ball),,3,6
15,1,9:42.0,,C. Sexton misses 2-pt jump shot from 11 ft,3,6
16,1,9:40.0,Defensive rebound by H. Whiteside,,3,6
17,1,9:36.0,T. Johnson makes 2-pt layup from 2 ft (assist by J. Winslow),,5,6
18,1,9:24.0,,Personal foul by J. Richardson (drawn by C. Sexton),5,6
19,1,9:13.0,,R. Hood makes 3-pt jump shot from 24 ft,5,9
20,1,9:01.0,J. Richardson makes 2-pt jump shot from 11 ft,,7,9
21,1,8:48.0,,A. Žižić misses 2-pt layup from 1 ft (block by H. Whiteside),7,9
22,1,8:45.0,Defensive rebound by J. Winslow,,7,9
23,1,8:38.0,J. Winslow makes 2-pt layup from 2 ft,,9,9
24,1,8:20.0,,A. Burks misses 2-pt jump shot from 19 ft,9,9
25,1,8:17.0,Defensive rebound by H. Whiteside,,9,9
26,1,8:05.0,J. Winslow makes 2-pt jump shot from 8 ft,,11,9
27,1,7:49.0,,Shooting foul by T. Johnson (drawn by C. Sexton),11,9
28,1,7:49.0,,C. Sexton makes free throw 1 of 2,11,10
29,1,7:49.0,,C. Sexton makes free throw 2 of 2,11,11
30,1,7:36.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by T. Johnson),,13,11
31,1,7:18.0,,A. Žižić makes 2-pt jump shot from 13 ft (assist by C. Sexton),13,13
32,1,7:03.0,T. Johnson misses 3-pt jump shot from 26 ft,,13,13
33,1,7:00.0,,Defensive rebound by C. Osman,13,13
34,1,6:42.0,,C. Osman misses 3-pt jump shot from 27 ft,13,13
35,1,6:38.0,Defensive rebound by H. Whiteside,,13,13
36,1,6:32.0,H. Whiteside misses 2-pt jump shot from 7 ft (block by A. Žižić),,13,13
37,1,6:30.0,,Defensive rebound by A. Žižić,13,13
38,1,6:25.0,,C. Sexton misses 2-pt layup from 1 ft (block by J. Johnson),13,13
39,1,6:20.0,Defensive rebound by T. Johnson,,13,13
40,1,6:15.0,H. Whiteside misses 2-pt hook shot from 6 ft,,13,13
41,1,6:12.0,,Defensive rebound by A. Burks,13,13
42,1,6:12.0,,Turnover by A. Burks (lost ball; steal by H. Whiteside),13,13
43,1,6:12.0,Personal take foul by C. Osman (drawn by H. Whiteside),,13,13
44,1,6:12.0,,Cleveland full timeout,13,13
45,1,6:01.0,J. Winslow misses 2-pt jump shot from 6 ft,,13,13
46,1,5:59.0,,Defensive rebound by R. Hood,13,13
47,1,5:44.0,,Turnover by A. Burks (traveling),13,13
48,1,5:44.0,D. Wade enters the game for J. Richardson,,13,13
49,1,5:37.0,Offensive foul by H. Whiteside (drawn by C. Sexton),,13,13
50,1,5:37.0,Turnover by H. Whiteside (offensive foul),,13,13
51,1,5:37.0,,J. Clarkson enters the game for R. Hood,13,13
52,1,5:19.0,,C. Sexton misses 2-pt layup from 1 ft,13,13
53,1,5:17.0,Defensive rebound by D. Wade,,13,13
54,1,5:09.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),,15,13
55,1,4:58.0,,C. Sexton misses 3-pt jump shot from 24 ft,15,13
56,1,4:56.0,Defensive rebound by H. Whiteside,,15,13
57,1,4:48.0,J. Winslow makes 3-pt jump shot from 26 ft (assist by D. Wade),,18,13
58,1,4:47.0,,Cleveland full timeout,18,13
59,1,4:47.0,R. McGruder enters the game for T. Johnson,,18,13
60,1,4:47.0,,M. Dellavedova enters the game for C. Sexton,18,13
61,1,4:47.0,,L. Nance enters the game for A. Žižić,18,13
62,1,4:22.0,,L. Nance makes 2-pt hook shot from 9 ft,18,15
63,1,4:03.0,D. Wade makes 2-pt jump shot from 15 ft,,20,15
64,1,3:46.0,,J. Clarkson misses 2-pt jump shot from 6 ft,20,15
65,1,3:42.0,,Offensive rebound by L. Nance,20,15
66,1,3:42.0,,L. Nance misses 2-pt layup from 1 ft,20,15
67,1,3:39.0,Defensive rebound by J. Winslow,,20,15
68,1,3:36.0,J. Winslow makes 2-pt layup from 1 ft,,22,15
69,1,3:21.0,,Personal foul by J. Winslow (drawn by L. Nance),22,15
70,1,3:21.0,B. Adebayo enters the game for H. Whiteside,,22,15
71,1,3:21.0,,D. Adel enters the game for A. Burks,22,15
72,1,3:14.0,,C. Osman misses 2-pt jump shot from 12 ft,22,15
73,1,3:12.0,,Offensive rebound by C. Osman,22,15
74,1,3:03.0,,J. Clarkson misses 2-pt jump shot from 6 ft,22,15
75,1,3:01.0,,Offensive rebound by J. Clarkson,22,15
76,1,3:00.0,,J. Clarkson misses 2-pt jump shot from 5 ft (block by J. Winslow),22,15
77,1,3:00.0,,Offensive rebound by M. Dellavedova,22,15
78,1,2:54.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),22,18
79,1,2:38.0,R. McGruder misses 3-pt jump shot from 24 ft,,22,18
80,1,2:36.0,,Defensive rebound by J. Clarkson,22,18
81,1,2:31.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by J. Clarkson),22,21
82,1,2:10.0,Miami full timeout,,22,21
83,1,2:10.0,D. Jones enters the game for J. Johnson,,22,21
84,1,2:10.0,J. Richardson enters the game for J. Winslow,,22,21
85,1,2:03.0,D. Jones makes 2-pt jump shot from 10 ft (assist by D. Wade),,24,21
86,1,1:49.0,,J. Clarkson makes 2-pt layup from 1 ft,24,23
87,1,1:39.0,,Violation by Team (kicked ball),24,23
88,1,1:27.0,B. Adebayo misses 2-pt jump shot from 10 ft,,24,23
89,1,1:26.0,Offensive rebound by D. Jones,,24,23
90,1,1:25.0,D. Jones misses 2-pt layup at rim,,24,23
91,1,1:25.0,,Defensive rebound by D. Adel,24,23
92,1,1:21.0,,Turnover by C. Osman (traveling),24,23
93,1,1:03.0,D. Jones makes 3-pt jump shot from 23 ft (assist by J. Richardson),,27,23
94,1,0:42.0,,C. Osman misses 3-pt jump shot from 29 ft,27,23
95,1,0:39.0,Defensive rebound by D. Wade,,27,23
96,1,0:29.0,J. Richardson misses 2-pt jump shot from 15 ft,,27,23
97,1,0:27.0,,Defensive rebound by L. Nance,27,23
98,1,0:02.0,,C. Osman misses 3-pt jump shot from 22 ft,27,23
99,1,0:02.0,Defensive rebound by B. Adebayo,,27,23
100,2,11:44.0,,M. Dellavedova makes 2-pt jump shot from 4 ft,27,25
101,2,11:34.0,D. Jones makes 2-pt layup from 2 ft (assist by J. Richardson),,29,25
102,2,11:34.0,Shooting foul by L. Nance (drawn by D. Jones),,29,25
103,2,11:34.0,D. Jones misses free throw 1 of 1,,29,25
104,2,11:30.0,,Defensive rebound by J. Blossomgame,29,25
105,2,11:21.0,,Turnover by M. Dellavedova (out of bounds lost ball),29,25
106,2,11:06.0,D. Wade misses 2-pt jump shot from 14 ft,,29,25
107,2,11:03.0,,Defensive rebound by L. Nance,29,25
108,2,10:55.0,,J. Clarkson misses 2-pt jump shot from 1 ft (block by D. Jones),29,25
109,2,10:52.0,Defensive rebound by D. Jones,,29,25
110,2,10:46.0,D. Wade misses 3-pt jump shot from 25 ft,,29,25
111,2,10:42.0,Offensive rebound by B. Adebayo,,29,25
112,2,10:29.0,R. McGruder misses 2-pt jump shot from 13 ft,,29,25
113,2,10:27.0,,Defensive rebound by M. Dellavedova,29,25
114,2,10:20.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by M. Dellavedova),29,27
115,2,9:58.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by J. Richardson),,31,27
116,2,9:42.0,,J. Blossomgame misses 2-pt jump shot from 10 ft,31,27
117,2,9:39.0,Defensive rebound by B. Adebayo,,31,27
118,2,9:22.0,D. Jones misses 2-pt jump shot from 7 ft,,31,27
119,2,9:20.0,,Defensive rebound by J. Clarkson,31,27
120,2,9:01.0,,D. Adel makes 2-pt jump shot from 17 ft (assist by M. Dellavedova),31,29
121,2,9:01.0,T. Johnson enters the game for R. McGruder,,31,29
122,2,9:01.0,,R. Hood enters the game for J. Blossomgame,31,29
123,2,8:40.0,Personal foul by R. Hood (drawn by B. Adebayo),,31,29
124,2,8:35.0,Personal foul by M. Dellavedova (drawn by T. Johnson),,31,29
125,2,8:24.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by T. Johnson),,34,29
126,2,8:11.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,34,29
127,2,8:09.0,Defensive rebound by B. Adebayo,,34,29
128,2,7:58.0,Turnover by J. Richardson (step out of bounds),,34,29
129,2,7:58.0,,Cleveland full timeout,34,29
130,2,7:35.0,,R. Hood misses 2-pt jump shot from 5 ft,34,29
131,2,7:27.0,,Offensive rebound by L. Nance,34,29
