,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,K. Towns misses 3-pt jump shot from 27 ft,,0,0
1,1,11:38.0,Offensive rebound by J. Teague,,0,0
2,1,11:26.0,K. Towns makes 2-pt hook shot from 7 ft,,2,0
3,1,11:13.0,,Personal foul by J. Okogie (drawn by J. Embiid),2,0
4,1,11:05.0,,Shooting foul by K. Towns (drawn by J. Embiid),2,0
5,1,11:05.0,,J. Embiid makes free throw 1 of 2,2,1
6,1,11:05.0,,J. Embiid makes free throw 2 of 2,2,2
7,1,10:56.0,J. Teague misses 2-pt layup from 3 ft (block by J. Butler),,2,2
8,1,10:52.0,,Defensive rebound by B. Simmons,2,2
9,1,10:51.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by B. Simmons),2,5
10,1,10:33.0,K. Towns makes 3-pt jump shot from 27 ft (assist by J. Teague),,5,5
11,1,10:24.0,,B. Simmons misses 2-pt layup from 5 ft (block by T. Gibson),5,5
12,1,10:24.0,,Offensive rebound by Team,5,5
13,1,10:18.0,,J. Embiid makes 2-pt hook shot from 7 ft,5,7
14,1,10:07.0,J. Okogie misses 3-pt jump shot from 25 ft,,5,7
15,1,10:04.0,,Defensive rebound by J. Embiid,5,7
16,1,9:58.0,,B. Simmons makes 2-pt layup from 1 ft,5,9
17,1,9:43.0,A. Wiggins misses 2-pt jump shot from 19 ft,,5,9
18,1,9:41.0,Offensive rebound by T. Gibson,,5,9
19,1,9:40.0,Turnover by J. Teague (bad pass),,5,9
20,1,9:21.0,,Turnover by J. Embiid (lost ball; steal by J. Teague),5,9
21,1,9:01.0,J. Okogie misses 2-pt layup from 5 ft (block by B. Simmons),,5,9
22,1,9:00.0,,Defensive rebound by J. Butler,5,9
23,1,8:58.0,,Offensive foul by J. Butler (drawn by J. Teague),5,9
24,1,8:58.0,,Turnover by J. Butler (offensive foul),5,9
25,1,8:44.0,A. Wiggins misses 2-pt layup from 1 ft,,5,9
26,1,8:41.0,,Defensive rebound by J. Embiid,5,9
27,1,8:36.0,,Turnover by B. Simmons (bad pass; steal by K. Towns),5,9
28,1,8:31.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by T. Gibson),,7,9
29,1,8:19.0,,J. Embiid misses 2-pt layup from 2 ft,7,9
30,1,8:14.0,,Offensive rebound by J. Embiid,7,9
31,1,8:14.0,,J. Embiid makes 2-pt layup from 1 ft,7,11
32,1,7:55.0,T. Gibson makes 2-pt hook shot from 3 ft (assist by K. Towns),,9,11
33,1,7:47.0,,J. Redick misses 3-pt jump shot from 26 ft,9,11
34,1,7:43.0,Defensive rebound by K. Towns,,9,11
35,1,7:30.0,A. Wiggins misses 2-pt layup from 2 ft (block by J. Embiid),,9,11
36,1,7:30.0,Offensive rebound by A. Wiggins,,9,11
37,1,7:27.0,A. Wiggins makes 2-pt layup at rim,,11,11
38,1,7:20.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),11,14
39,1,7:07.0,J. Teague makes 2-pt layup from 2 ft,,13,14
40,1,6:49.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by J. Butler),13,17
41,1,6:33.0,Personal foul by W. Chandler (drawn by T. Gibson),,13,17
42,1,6:33.0,,Philadelphia full timeout,13,17
43,1,6:33.0,D. Rose enters the game for J. Okogie,,13,17
44,1,6:33.0,,J. Bolden enters the game for W. Chandler,13,17
45,1,6:33.0,,T. McConnell enters the game for J. Embiid,13,17
46,1,6:33.0,,L. Shamet enters the game for J. Redick,13,17
47,1,6:18.0,D. Rose misses 3-pt jump shot from 28 ft,,13,17
48,1,6:15.0,,Defensive rebound by B. Simmons,13,17
49,1,6:12.0,,B. Simmons makes 2-pt dunk at rim,13,19
50,1,6:02.0,D. Rose makes 2-pt layup from 2 ft,,15,19
51,1,5:43.0,,L. Shamet misses 3-pt jump shot from 27 ft,15,19
52,1,5:40.0,Defensive rebound by T. Gibson,,15,19
53,1,5:26.0,T. Gibson makes 2-pt layup from 3 ft,,17,19
54,1,5:04.0,,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Butler),17,22
55,1,4:52.0,J. Teague misses 2-pt jump shot from 3 ft (block by J. Bolden),,17,22
56,1,4:49.0,,Defensive rebound by B. Simmons,17,22
57,1,4:45.0,,L. Shamet misses 3-pt jump shot from 25 ft,17,22
58,1,4:41.0,Defensive rebound by A. Wiggins,,17,22
59,1,4:29.0,T. Gibson misses 2-pt hook shot from 4 ft (block by B. Simmons),,17,22
60,1,4:25.0,,Defensive rebound by T. McConnell,17,22
61,1,4:22.0,,J. Bolden makes 2-pt layup from 2 ft (assist by T. McConnell),17,24
62,1,4:21.0,Minnesota full timeout,,17,24
63,1,4:21.0,G. Dieng enters the game for T. Gibson,,17,24
64,1,4:21.0,T. Jones enters the game for J. Teague,,17,24
65,1,4:21.0,D. Šarić enters the game for K. Towns,,17,24
66,1,4:13.0,Turnover by T. Jones (bad pass; steal by B. Simmons),,17,24
67,1,4:09.0,,B. Simmons makes 2-pt layup from 1 ft,17,26
68,1,3:55.0,Personal foul by L. Shamet (drawn by G. Dieng),,17,26
69,1,3:51.0,D. Rose makes 2-pt jump shot from 23 ft (assist by T. Jones),,19,26
70,1,3:35.0,,T. McConnell makes 2-pt jump shot from 13 ft (assist by J. Bolden),19,28
71,1,3:20.0,D. Šarić makes 2-pt layup from 1 ft (assist by D. Rose),,21,28
72,1,3:11.0,,L. Shamet makes 2-pt jump shot from 21 ft (assist by B. Simmons),21,30
73,1,2:51.0,G. Dieng misses 2-pt dunk from 3 ft (block by L. Shamet),,21,30
74,1,2:48.0,,Defensive rebound by J. Bolden,21,30
75,1,2:41.0,,J. Butler misses 3-pt jump shot from 22 ft,21,30
76,1,2:39.0,Defensive rebound by Team,,21,30
77,1,2:39.0,,Loose ball foul by J. Butler (drawn by D. Šarić),21,30
78,1,2:39.0,,W. Chandler enters the game for J. Bolden,21,30
79,1,2:39.0,,J. Embiid enters the game for J. Butler,21,30
80,1,2:39.0,,M. Muscala enters the game for L. Shamet,21,30
81,1,2:39.0,,J. Redick enters the game for B. Simmons,21,30
82,1,2:26.0,D. Rose makes 2-pt hook shot from 12 ft,,23,30
83,1,2:15.0,,Shooting foul by D. Rose (drawn by J. Embiid),23,30
