,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:43.0,U. Haslem makes 2-pt jump shot from 11 ft (assist by J. Winslow),,2,0
1,1,11:25.0,,R. Kurucs misses 3-pt jump shot from 23 ft,2,0
2,1,11:22.0,Defensive rebound by K. Olynyk,,2,0
3,1,11:14.0,U. Haslem misses 2-pt jump shot from 13 ft,,2,0
4,1,11:10.0,,Defensive rebound by C. LeVert,2,0
5,1,11:04.0,,Turnover by C. LeVert (bad pass; steal by J. Winslow),2,0
6,1,10:55.0,D. Wade misses 3-pt jump shot from 25 ft,,2,0
7,1,10:52.0,,Defensive rebound by J. Allen,2,0
8,1,10:45.0,,T. Graham misses 3-pt jump shot from 25 ft,2,0
9,1,10:40.0,Defensive rebound by D. Wade,,2,0
10,1,10:25.0,J. Winslow misses 3-pt jump shot from 25 ft,,2,0
11,1,10:21.0,Offensive rebound by K. Olynyk,,2,0
12,1,10:20.0,Turnover by K. Olynyk (bad pass; steal by D. Russell),,2,0
13,1,10:13.0,,R. Kurucs misses 2-pt jump shot from 23 ft,2,0
14,1,10:10.0,Defensive rebound by D. Wade,,2,0
15,1,10:03.0,D. Wade misses 3-pt jump shot from 23 ft,,2,0
16,1,9:59.0,,Defensive rebound by J. Allen,2,0
17,1,9:53.0,,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),2,2
18,1,9:36.0,G. Dragić misses 2-pt jump shot from 16 ft,,2,2
19,1,9:34.0,Offensive rebound by U. Haslem,,2,2
20,1,9:33.0,U. Haslem makes 2-pt jump shot from 12 ft,,4,2
21,1,9:14.0,,T. Graham misses 3-pt jump shot from 26 ft,4,2
22,1,9:11.0,Defensive rebound by U. Haslem,,4,2
23,1,9:08.0,D. Wade misses 2-pt layup from 2 ft (block by J. Allen),,4,2
24,1,9:07.0,Offensive rebound by D. Wade,,4,2
25,1,9:07.0,Shooting foul by R. Kurucs (drawn by D. Wade),,4,2
26,1,9:07.0,D. Wade makes free throw 1 of 2,,5,2
27,1,9:07.0,D. Wade misses free throw 2 of 2,,5,2
28,1,9:05.0,,Defensive rebound by J. Allen,5,2
29,1,8:56.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by J. Allen),5,5
30,1,8:38.0,Turnover by K. Olynyk (traveling),,5,5
