,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:37.0,,L. Markkanen misses 3-pt jump shot from 25 ft,0,0
1,1,11:33.0,Defensive rebound by J. McGee,,0,0
2,1,11:22.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,2,0
3,1,11:04.0,,Turnover by K. Dunn (bad pass; steal by R. Bullock),2,0
4,1,10:58.0,Turnover by L. James (bad pass; steal by K. Dunn),,2,0
5,1,10:54.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),2,3
6,1,10:34.0,K. Kuzma misses 3-pt jump shot from 26 ft,,2,3
7,1,10:30.0,,Defensive rebound by R. Lopez,2,3
8,1,10:22.0,,L. Markkanen misses 2-pt layup from 3 ft,2,3
9,1,10:19.0,Defensive rebound by L. James,,2,3
10,1,10:12.0,L. James misses 3-pt jump shot from 25 ft,,2,3
11,1,10:09.0,,Defensive rebound by R. Arcidiacono,2,3
12,1,9:54.0,,R. Lopez makes 2-pt dunk from 2 ft,2,5
13,1,9:27.0,K. Kuzma misses 3-pt jump shot from 23 ft,,2,5
14,1,9:23.0,,Defensive rebound by K. Dunn,2,5
15,1,9:19.0,,R. Arcidiacono makes 2-pt layup from 1 ft (assist by K. Dunn),2,7
16,1,9:19.0,LA Lakers full timeout,,2,7
17,1,9:12.0,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),,4,7
18,1,8:53.0,,R. Lopez misses 2-pt hook shot from 6 ft,4,7
19,1,8:50.0,Defensive rebound by L. James,,4,7
20,1,8:35.0,J. McGee misses 2-pt hook shot from 7 ft,,4,7
21,1,8:33.0,,Defensive rebound by L. Markkanen,4,7
22,1,8:22.0,,K. Dunn misses 2-pt layup from 1 ft,4,7
23,1,8:22.0,,Offensive rebound by L. Markkanen,4,7
24,1,8:18.0,,L. Markkanen makes 2-pt layup at rim,4,9
25,1,8:05.0,R. Bullock misses 3-pt jump shot from 25 ft,,4,9
26,1,8:02.0,,Defensive rebound by O. Porter,4,9
27,1,7:59.0,,Shooting foul by R. Rondo (drawn by O. Porter),4,9
28,1,7:59.0,,O. Porter makes free throw 1 of 2,4,10
29,1,7:59.0,,O. Porter makes free throw 2 of 2,4,11
30,1,7:46.0,L. James misses 2-pt layup from 1 ft,,4,11
31,1,7:43.0,,Defensive rebound by O. Porter,4,11
32,1,7:39.0,,O. Porter misses 2-pt jump shot from 20 ft,4,11
33,1,7:37.0,Defensive rebound by L. James,,4,11
34,1,7:31.0,L. James makes 2-pt layup from 1 ft,,6,11
35,1,7:22.0,,K. Dunn misses 2-pt layup from 2 ft (block by J. McGee),6,11
36,1,7:22.0,,Offensive rebound by Team,6,11
37,1,7:10.0,,R. Arcidiacono misses 2-pt layup from 2 ft,6,11
38,1,7:08.0,,Offensive rebound by R. Lopez,6,11
39,1,7:06.0,,R. Lopez makes 2-pt layup from 2 ft,6,13
40,1,6:51.0,R. Rondo makes 2-pt layup from 2 ft,,8,13
41,1,6:36.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by R. Arcidiacono),8,16
42,1,6:19.0,R. Rondo makes 2-pt layup from 2 ft,,10,16
43,1,6:07.0,,K. Dunn misses 2-pt layup from 2 ft,10,16
44,1,6:03.0,,Offensive rebound by K. Dunn,10,16
45,1,6:03.0,,K. Dunn makes 2-pt layup at rim,10,18
46,1,6:03.0,,S. Harrison enters the game for R. Arcidiacono,10,18
47,1,5:49.0,R. Bullock makes 2-pt jump shot from 20 ft (assist by R. Rondo),,12,18
48,1,5:21.0,,S. Harrison makes 2-pt layup from 1 ft (assist by K. Dunn),12,20
49,1,5:12.0,Personal foul by S. Harrison (drawn by J. McGee),,12,20
50,1,4:57.0,Turnover by Team (shot clock),,12,20
51,1,4:45.0,,Turnover by R. Lopez (lost ball; steal by R. Rondo),12,20
52,1,4:39.0,R. Rondo makes 2-pt layup from 1 ft,,14,20
53,1,4:33.0,,K. Dunn makes 3-pt jump shot from 26 ft,14,23
54,1,4:19.0,Def 3 sec tech foul by Team,,14,23
55,1,4:19.0,R. Bullock makes technical free throw,,15,23
56,1,4:19.0,J. Hart enters the game for L. James,,15,23
57,1,4:19.0,M. Wagner enters the game for K. Kuzma,,15,23
58,1,4:19.0,J. Williams enters the game for J. McGee,,15,23
59,1,4:05.0,J. Williams misses 2-pt jump shot from 7 ft,,15,23
60,1,4:03.0,,Defensive rebound by O. Porter,15,23
61,1,4:00.0,,Chicago full timeout,15,23
62,1,4:00.0,K. Caldwell-Pope enters the game for R. Bullock,,15,23
63,1,4:00.0,,W. Selden enters the game for O. Porter,15,23
64,1,3:44.0,,K. Dunn makes 2-pt dunk from 1 ft (assist by S. Harrison),15,25
65,1,3:31.0,R. Rondo misses 3-pt jump shot from 26 ft,,15,25
66,1,3:28.0,,Defensive rebound by S. Harrison,15,25
67,1,3:17.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by S. Harrison),15,27
68,1,2:59.0,Offensive foul by J. Williams (drawn by R. Lopez),,15,27
69,1,2:59.0,Turnover by J. Williams (offensive foul),,15,27
70,1,2:49.0,,L. Markkanen misses 3-pt jump shot from 25 ft,15,27
71,1,2:46.0,Defensive rebound by K. Caldwell-Pope,,15,27
72,1,2:35.0,Shooting foul by L. Markkanen (drawn by J. Williams),,15,27
73,1,2:35.0,J. Williams misses free throw 1 of 2,,15,27
74,1,2:35.0,Offensive rebound by Team,,15,27
75,1,2:35.0,,R. Arcidiacono enters the game for K. Dunn,15,27
76,1,2:35.0,J. Williams makes free throw 2 of 2,,16,27
77,1,2:22.0,,R. Lopez makes 2-pt dunk at rim (assist by S. Harrison),16,29
78,1,2:12.0,Personal foul by W. Selden (drawn by J. Williams),,16,29
79,1,2:12.0,,T. Luwawu-Cabarrot enters the game for L. Markkanen,16,29
80,1,2:07.0,Offensive foul by J. Hart (drawn by S. Harrison),,16,29
81,1,2:07.0,Turnover by J. Hart (offensive foul),,16,29
