,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,3,0
1,1,11:21.0,,Shooting foul by D. Cousins (drawn by S. Adams),3,0
2,1,11:21.0,,S. Adams makes free throw 1 of 2,3,1
3,1,11:21.0,,S. Adams misses free throw 2 of 2,3,1
4,1,11:18.0,,Offensive rebound by P. George,3,1
5,1,11:17.0,,P. George makes 2-pt dunk from 1 ft,3,3
6,1,11:03.0,Turnover by S. Curry (out of bounds lost ball),,3,3
7,1,10:58.0,,S. Adams misses 2-pt layup from 2 ft,3,3
8,1,10:57.0,Defensive rebound by D. Green,,3,3
9,1,10:52.0,K. Thompson misses 3-pt jump shot from 23 ft,,3,3
10,1,10:46.0,,Defensive rebound by P. George,3,3
11,1,10:38.0,,T. Ferguson misses 3-pt jump shot from 23 ft,3,3
12,1,10:35.0,Defensive rebound by D. Cousins,,3,3
13,1,10:27.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Cousins),,6,3
14,1,10:09.0,,J. Grant misses 2-pt jump shot from 6 ft (block by A. Iguodala),6,3
15,1,10:07.0,Defensive rebound by A. Iguodala,,6,3
16,1,9:49.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),,8,3
17,1,9:36.0,,J. Grant misses 2-pt jump shot from 13 ft,8,3
18,1,9:32.0,,Offensive rebound by S. Adams,8,3
19,1,9:31.0,,S. Adams makes 2-pt layup from 1 ft,8,5
20,1,9:22.0,Shooting foul by R. Westbrook (drawn by K. Thompson),,8,5
21,1,9:22.0,K. Thompson makes free throw 1 of 2,,9,5
22,1,9:22.0,K. Thompson makes free throw 2 of 2,,10,5
23,1,9:10.0,,R. Westbrook misses 3-pt jump shot from 25 ft,10,5
24,1,9:08.0,Defensive rebound by S. Curry,,10,5
25,1,9:00.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Green),,13,5
