,QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,S. Adams makes 2-pt dunk at rim (assist by T. Ferguson),0,2
1,1,11:20.0,M. Turner misses 2-pt jump shot from 15 ft,,0,2
2,1,11:18.0,,Defensive rebound by R. Westbrook,0,2
3,1,11:13.0,,R. Westbrook makes 2-pt layup from 1 ft,0,4
4,1,11:08.0,Turnover by B. Bogdanović (step out of bounds),,0,4
5,1,10:53.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),0,6
6,1,10:34.0,T. Young makes 2-pt hook shot from 7 ft,,2,6
7,1,10:16.0,,P. George misses 2-pt jump shot from 17 ft,2,6
8,1,10:13.0,,Offensive rebound by S. Adams,2,6
9,1,10:04.0,,T. Ferguson misses 2-pt dunk from 2 ft,2,6
10,1,10:03.0,Defensive rebound by T. Young,,2,6
11,1,9:51.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,6
12,1,9:30.0,,S. Adams misses 2-pt layup from 1 ft (block by M. Turner),5,6
13,1,9:26.0,Defensive rebound by M. Turner,,5,6
14,1,9:23.0,W. Matthews misses 3-pt jump shot from 23 ft,,5,6
15,1,9:19.0,,Defensive rebound by T. Ferguson,5,6
16,1,9:16.0,,Shooting foul by B. Bogdanović (drawn by R. Westbrook),5,6
17,1,9:16.0,,R. Westbrook misses free throw 1 of 2,5,6
18,1,9:16.0,,Offensive rebound by Team,5,6
19,1,9:16.0,,R. Westbrook makes free throw 2 of 2,5,7
20,1,9:02.0,W. Matthews makes 2-pt jump shot from 12 ft,,7,7
21,1,8:50.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),7,9
22,1,8:27.0,D. Collison misses 2-pt layup from 5 ft,,7,9
23,1,8:26.0,,Defensive rebound by R. Westbrook,7,9
24,1,8:20.0,,T. Ferguson misses 3-pt jump shot from 25 ft,7,9
25,1,8:16.0,,Offensive rebound by J. Grant,7,9
26,1,8:15.0,,T. Ferguson misses 3-pt jump shot from 24 ft,7,9
27,1,8:13.0,Defensive rebound by M. Turner,,7,9
28,1,8:05.0,Shooting foul by T. Ferguson (drawn by M. Turner),,7,9
29,1,8:05.0,M. Turner misses free throw 1 of 2,,7,9
30,1,8:05.0,Offensive rebound by Team,,7,9
31,1,8:05.0,M. Turner makes free throw 2 of 2,,8,9
32,1,7:49.0,,P. George makes 2-pt jump shot from 3 ft,8,11
33,1,7:36.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,8,11
34,1,7:34.0,,Defensive rebound by R. Westbrook,8,11
35,1,7:28.0,,J. Grant misses 3-pt jump shot from 23 ft,8,11
36,1,7:24.0,,Offensive rebound by S. Adams,8,11
37,1,7:17.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),8,14
38,1,6:55.0,,Oklahoma City full timeout,8,14
39,1,6:50.0,D. Collison makes 3-pt jump shot from 26 ft (assist by M. Turner),,11,14
40,1,6:32.0,,J. Grant misses 2-pt jump shot from 9 ft,11,14
41,1,6:29.0,Defensive rebound by D. Collison,,11,14
42,1,6:22.0,Turnover by D. Collison (lost ball; steal by R. Westbrook),,11,14
43,1,6:20.0,,P. George misses 3-pt jump shot from 25 ft,11,14
44,1,6:17.0,Defensive rebound by Team,,11,14
45,1,6:07.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,13,14
46,1,5:56.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),13,17
47,1,5:56.0,,D. Schröder enters the game for P. George,13,17
