,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
0,1,11:42.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),,2,0
1,1,11:17.0,,R. Jackson misses 2-pt jump shot from 15 ft,2,0
2,1,11:14.0,,Offensive rebound by A. Drummond,2,0
3,1,11:13.0,,A. Drummond misses 2-pt layup from 1 ft,2,0
4,1,11:11.0,Defensive rebound by J. McGee,,2,0
5,1,11:01.0,K. Kuzma misses 2-pt jump shot from 19 ft,,2,0
6,1,10:57.0,,Defensive rebound by R. Jackson,2,0
7,1,10:50.0,,B. Griffin makes 3-pt jump shot from 23 ft,2,3
8,1,10:37.0,R. Bullock makes 2-pt layup from 1 ft (assist by R. Rondo),,4,3
9,1,10:23.0,,Personal foul by R. Bullock (drawn by W. Ellington),4,3
10,1,10:17.0,,A. Drummond misses 2-pt layup from 2 ft,4,3
11,1,10:15.0,Defensive rebound by M. Muscala,,4,3
12,1,10:10.0,R. Rondo misses 2-pt hook shot from 7 ft,,4,3
13,1,10:08.0,,Defensive rebound by A. Drummond,4,3
14,1,9:59.0,,R. Jackson misses 3-pt jump shot from 26 ft,4,3
15,1,9:58.0,,Offensive rebound by Team,4,3
16,1,9:49.0,,Shooting foul by M. Muscala (drawn by A. Drummond),4,3
17,1,9:49.0,,A. Drummond misses free throw 1 of 2,4,3
18,1,9:49.0,,Offensive rebound by Team,4,3
19,1,9:49.0,,A. Drummond makes free throw 2 of 2,4,4
20,1,9:33.0,J. McGee makes 2-pt dunk from 3 ft (assist by R. Rondo),,6,4
21,1,9:14.0,,W. Ellington misses 3-pt jump shot from 27 ft,6,4
22,1,9:12.0,Defensive rebound by R. Rondo,,6,4
23,1,9:07.0,R. Rondo misses 2-pt layup from 1 ft,,6,4
24,1,9:07.0,,Defensive rebound by Team,6,4
25,1,9:07.0,Loose ball foul by J. McGee (drawn by A. Drummond),,6,4
26,1,8:54.0,,B. Griffin misses 2-pt layup from 3 ft,6,4
27,1,8:49.0,Defensive rebound by M. Muscala,,6,4
28,1,8:45.0,Turnover by R. Rondo (bad pass; steal by B. Brown),,6,4
