,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,D. Green makes 3-pt jump shot from 24 ft (assist by K. Lowry),,3,0
1,1,11:23.0,,Def 3 sec tech foul by Team,3,0
2,1,11:23.0,,K. Walker makes technical free throw,3,1
3,1,11:16.0,,Turnover by B. Biyombo (bad pass; steal by D. Green),3,1
4,1,11:07.0,K. Lowry misses 3-pt jump shot from 26 ft,,3,1
5,1,11:03.0,,Defensive rebound by K. Walker,3,1
6,1,11:01.0,,Turnover by M. Kidd-Gilchrist (step out of bounds),3,1
7,1,10:37.0,K. Leonard makes 2-pt layup from 2 ft,,5,1
8,1,10:23.0,,K. Walker misses 2-pt jump shot from 5 ft (block by M. Gasol),5,1
9,1,10:23.0,Defensive rebound by Team,,5,1
10,1,10:11.0,Shooting foul by B. Biyombo (drawn by M. Gasol),,5,1
11,1,10:11.0,M. Gasol makes free throw 1 of 3,,6,1
12,1,10:11.0,M. Gasol makes free throw 2 of 3,,7,1
13,1,10:11.0,M. Gasol makes free throw 3 of 3,,8,1
14,1,9:55.0,,K. Walker misses 3-pt jump shot from 26 ft,8,1
15,1,9:51.0,Defensive rebound by M. Gasol,,8,1
16,1,9:42.0,Turnover by K. Lowry (bad pass; steal by M. Kidd-Gilchrist),,8,1
17,1,9:40.0,,D. Bacon makes 2-pt layup from 1 ft,8,3
18,1,9:26.0,P. Siakam misses 2-pt layup from 2 ft,,8,3
19,1,9:26.0,Offensive rebound by Team,,8,3
20,1,9:22.0,P. Siakam makes 3-pt jump shot from 22 ft (assist by K. Lowry),,11,3
21,1,9:09.0,,B. Biyombo misses 2-pt hook shot from 3 ft,11,3
22,1,9:07.0,Defensive rebound by K. Lowry,,11,3
23,1,9:01.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Lowry),,14,3
24,1,9:00.0,,Charlotte full timeout,14,3
25,1,9:00.0,,F. Kaminsky enters the game for B. Biyombo,14,3
26,1,9:00.0,,J. Lamb enters the game for M. Kidd-Gilchrist,14,3
27,1,8:45.0,,M. Bridges makes 2-pt layup from 2 ft (assist by F. Kaminsky),14,5
28,1,8:34.0,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),,16,5
29,1,8:18.0,,Personal foul by D. Green (drawn by K. Walker),16,5
30,1,8:04.0,,M. Bridges misses 3-pt jump shot from 25 ft,16,5
31,1,8:00.0,Defensive rebound by K. Lowry,,16,5
32,1,7:54.0,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),,19,5
33,1,7:38.0,,M. Bridges makes 2-pt layup at rim (assist by K. Walker),19,7
34,1,7:38.0,,Shooting foul by M. Gasol (drawn by M. Bridges),19,7
35,1,7:38.0,,M. Bridges makes free throw 1 of 1,19,8
