,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,,Violation by Team (kicked ball),0,0
1,1,11:34.0,Turnover by J. Green (bad pass; steal by J. Lamb),,0,0
2,1,11:26.0,,J. Lamb misses 2-pt layup from 7 ft,0,0
3,1,11:23.0,Defensive rebound by M. Gasol,,0,0
4,1,11:19.0,M. Gasol misses 3-pt jump shot from 24 ft,,0,0
5,1,11:15.0,,Defensive rebound by J. Lamb,0,0
6,1,11:00.0,,Turnover by K. Walker (bad pass),0,0
7,1,10:35.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by S. Mack),,3,0
8,1,10:18.0,,J. Lamb misses 3-pt jump shot from 25 ft,3,0
9,1,10:15.0,Defensive rebound by M. Gasol,,3,0
10,1,10:08.0,S. Mack makes 2-pt jump shot from 20 ft (assist by M. Gasol),,5,0
11,1,9:54.0,,K. Walker makes 2-pt layup from 2 ft,5,2
12,1,9:43.0,S. Mack misses 2-pt layup from 2 ft,,5,2
13,1,9:36.0,,Defensive rebound by N. Batum,5,2
14,1,9:30.0,,K. Walker makes 3-pt jump shot from 27 ft (assist by N. Batum),5,5
15,1,9:14.0,J. Carter misses 3-pt jump shot from 25 ft,,5,5
16,1,9:11.0,,Defensive rebound by M. Williams,5,5
17,1,8:57.0,,B. Biyombo misses 2-pt jump shot from 18 ft,5,5
18,1,8:53.0,Defensive rebound by J. Holiday,,5,5
19,1,8:43.0,J. Holiday makes 2-pt jump shot from 13 ft (assist by M. Gasol),,7,5
20,1,8:23.0,,J. Lamb misses 2-pt jump shot from 10 ft,7,5
21,1,8:20.0,Defensive rebound by M. Gasol,,7,5
22,1,8:10.0,M. Gasol misses 2-pt jump shot from 13 ft,,7,5
23,1,8:07.0,,Defensive rebound by J. Lamb,7,5
24,1,7:45.0,,J. Lamb misses 2-pt jump shot from 20 ft,7,5
25,1,7:42.0,Defensive rebound by S. Mack,,7,5
26,1,7:27.0,Personal foul by N. Batum (drawn by M. Gasol),,7,5
27,1,7:23.0,J. Holiday makes 2-pt jump shot from 18 ft (assist by S. Mack),,9,5
28,1,7:23.0,Shooting foul by B. Biyombo (drawn by J. Holiday),,9,5
29,1,7:23.0,J. Holiday makes free throw 1 of 1,,10,5
30,1,7:12.0,,K. Walker misses 2-pt layup from 2 ft,10,5
31,1,7:09.0,,Offensive rebound by N. Batum,10,5
32,1,7:09.0,,N. Batum misses 2-pt layup from 1 ft,10,5
33,1,7:08.0,Defensive rebound by M. Gasol,,10,5
34,1,7:00.0,J. Green makes 3-pt jump shot from 25 ft (assist by M. Gasol),,13,5
35,1,6:41.0,,M. Williams misses 3-pt jump shot from 26 ft,13,5
36,1,6:39.0,Defensive rebound by J. Holiday,,13,5
37,1,6:33.0,,Charlotte full timeout,13,5
38,1,6:33.0,,W. Hernangómez enters the game for B. Biyombo,13,5
39,1,6:33.0,,T. Parker enters the game for J. Lamb,13,5
40,1,6:29.0,Turnover by J. Holiday (bad pass),,13,5
41,1,6:15.0,,K. Walker misses 3-pt jump shot from 28 ft,13,5
42,1,6:13.0,Defensive rebound by Team,,13,5
43,1,5:49.0,J. Holiday misses 2-pt jump shot from 11 ft,,13,5
44,1,5:45.0,,Defensive rebound by T. Parker,13,5
45,1,5:41.0,,T. Parker makes 2-pt layup from 2 ft,13,7
46,1,5:41.0,,Shooting foul by S. Mack (drawn by T. Parker),13,7
47,1,5:41.0,,M. Kidd-Gilchrist enters the game for M. Williams,13,7
48,1,5:41.0,,T. Parker makes free throw 1 of 1,13,8
49,1,5:27.0,J. Green misses 3-pt jump shot from 26 ft,,13,8
50,1,5:22.0,,Defensive rebound by M. Kidd-Gilchrist,13,8
51,1,5:15.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by T. Parker),13,10
52,1,5:15.0,,Shooting foul by J. Green (drawn by W. Hernangómez),13,10
53,1,5:15.0,B. Caboclo enters the game for J. Carter,,13,10
54,1,5:15.0,I. Rabb enters the game for J. Green,,13,10
55,1,5:15.0,,W. Hernangómez misses free throw 1 of 1,13,10
56,1,5:12.0,Defensive rebound by M. Gasol,,13,10
