,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:47.0,,K. Irving misses 3-pt jump shot from 25 ft,0,0
1,1,11:46.0,Defensive rebound by Team,,0,0
2,1,11:27.0,T. Hardaway misses 2-pt jump shot from 5 ft (block by J. Brown),,0,0
3,1,11:24.0,,Defensive rebound by A. Horford,0,0
4,1,11:16.0,,A. Baynes misses 3-pt jump shot from 25 ft,0,0
5,1,11:14.0,Defensive rebound by N. Vonleh,,0,0
6,1,11:00.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,3,0
7,1,10:47.0,,J. Tatum misses 2-pt jump shot from 18 ft,3,0
8,1,10:43.0,Defensive rebound by N. Vonleh,,3,0
9,1,10:33.0,N. Vonleh misses 2-pt layup from 3 ft (block by A. Baynes),,3,0
10,1,10:30.0,Offensive rebound by N. Vonleh,,3,0
11,1,10:28.0,M. Hezonja misses 3-pt jump shot from 24 ft,,3,0
12,1,10:27.0,Offensive rebound by E. Freedom,,3,0
13,1,10:26.0,Shooting foul by A. Baynes (drawn by N. Vonleh),,3,0
14,1,10:26.0,N. Vonleh makes free throw 1 of 2,,4,0
15,1,10:26.0,N. Vonleh makes free throw 2 of 2,,5,0
16,1,10:15.0,,Shooting foul by E. Mudiay (drawn by J. Tatum),5,0
17,1,10:15.0,,J. Tatum makes free throw 1 of 2,5,1
18,1,10:15.0,,J. Tatum makes free throw 2 of 2,5,2
19,1,10:06.0,M. Hezonja makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,8,2
20,1,9:56.0,,K. Irving makes 2-pt jump shot from 11 ft,8,4
21,1,9:35.0,T. Hardaway misses 3-pt jump shot from 26 ft,,8,4
22,1,9:33.0,,Defensive rebound by K. Irving,8,4
23,1,9:24.0,,A. Horford makes 2-pt layup from 3 ft (assist by A. Baynes),8,6
24,1,9:06.0,N. Vonleh makes 2-pt layup from 5 ft,,10,6
25,1,8:53.0,,K. Irving misses 2-pt layup from 2 ft,10,6
26,1,8:51.0,Defensive rebound by E. Freedom,,10,6
27,1,8:46.0,M. Hezonja misses 3-pt jump shot from 27 ft,,10,6
28,1,8:43.0,,Defensive rebound by J. Brown,10,6
29,1,8:40.0,,J. Brown misses 2-pt layup from 4 ft,10,6
30,1,8:38.0,Defensive rebound by T. Hardaway,,10,6
31,1,8:30.0,M. Hezonja misses 3-pt jump shot from 24 ft,,10,6
32,1,8:30.0,Offensive rebound by Team,,10,6
33,1,8:30.0,,Loose ball foul by A. Baynes (drawn by E. Freedom),10,6
34,1,8:22.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by N. Vonleh),,13,6
35,1,7:59.0,,K. Irving misses 2-pt layup from 6 ft,13,6
36,1,7:57.0,Defensive rebound by M. Hezonja,,13,6
37,1,7:46.0,M. Hezonja misses 2-pt layup from 4 ft (block by A. Baynes),,13,6
38,1,7:45.0,,Defensive rebound by K. Irving,13,6
39,1,7:42.0,,J. Tatum makes 2-pt layup from 4 ft (assist by K. Irving),13,8
40,1,7:36.0,E. Mudiay misses 3-pt jump shot from 27 ft,,13,8
41,1,7:35.0,Offensive rebound by Team,,13,8
42,1,7:25.0,E. Freedom misses 2-pt jump shot from 7 ft (block by A. Horford),,13,8
43,1,7:24.0,,Defensive rebound by A. Baynes,13,8
44,1,7:15.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),13,10
45,1,6:59.0,Turnover by E. Mudiay (bad pass; steal by J. Brown),,13,10
