,QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
0,1,11:40.0,,L. Ball makes 3-pt jump shot from 25 ft,0,3
1,1,11:23.0,D. Mitchell misses 2-pt layup from 2 ft,,0,3
2,1,11:21.0,,Defensive rebound by L. James,0,3
3,1,11:09.0,,L. James makes 2-pt jump shot from 12 ft,0,5
4,1,10:47.0,D. Favors misses 2-pt hook shot from 2 ft,,0,5
5,1,10:45.0,,Defensive rebound by L. Ball,0,5
6,1,10:41.0,,L. James misses 3-pt jump shot from 25 ft,0,5
7,1,10:37.0,Defensive rebound by R. Rubio,,0,5
8,1,10:34.0,R. Rubio misses 3-pt jump shot from 25 ft,,0,5
9,1,10:29.0,,Defensive rebound by J. McGee,0,5
10,1,10:20.0,,B. Ingram misses 2-pt jump shot from 13 ft,0,5
11,1,10:19.0,Defensive rebound by Team,,0,5
12,1,10:04.0,Turnover by J. Ingles (bad pass),,0,5
13,1,9:54.0,,Turnover by L. Ball (out of bounds lost ball),0,5
14,1,9:45.0,Personal foul by L. Ball (drawn by R. Gobert),,0,5
15,1,9:40.0,D. Mitchell misses 3-pt jump shot from 26 ft,,0,5
16,1,9:35.0,,Defensive rebound by K. Kuzma,0,5
17,1,9:27.0,,B. Ingram makes 2-pt dunk from 1 ft,0,7
18,1,9:27.0,,Shooting foul by D. Mitchell (drawn by B. Ingram),0,7
19,1,9:27.0,,B. Ingram makes free throw 1 of 1,0,8
20,1,9:09.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,8
21,1,8:59.0,,J. McGee misses 2-pt jump shot from 16 ft,2,8
22,1,8:57.0,,Offensive rebound by Team,2,8
23,1,8:57.0,Loose ball foul by R. Rubio (drawn by L. Ball),,2,8
24,1,8:52.0,,Def 3 sec tech foul by Team,2,8
25,1,8:52.0,,K. Kuzma misses technical free throw,2,8
26,1,8:52.0,,Offensive rebound by Team,2,8
27,1,8:44.0,,L. Ball misses 3-pt jump shot from 26 ft,2,8
28,1,8:44.0,Defensive rebound by Team,,2,8
29,1,8:26.0,D. Mitchell misses 2-pt layup from 3 ft,,2,8
30,1,8:24.0,,Defensive rebound by J. McGee,2,8
31,1,8:15.0,,Turnover by B. Ingram (lost ball; steal by D. Mitchell),2,8
32,1,8:11.0,D. Mitchell misses 2-pt layup from 2 ft,,2,8
33,1,8:08.0,Offensive rebound by D. Favors,,2,8
34,1,8:02.0,D. Favors makes 2-pt hook shot from 6 ft,,4,8
35,1,7:42.0,,Turnover by K. Kuzma (lost ball; steal by R. Rubio),4,8
36,1,7:37.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),,7,8
37,1,7:36.0,,LA Lakers full timeout,7,8
38,1,7:17.0,,L. Ball misses 2-pt jump shot from 4 ft,7,8
39,1,7:14.0,Defensive rebound by D. Mitchell,,7,8
40,1,6:58.0,D. Mitchell misses 3-pt jump shot from 28 ft,,7,8
41,1,6:54.0,,Defensive rebound by L. Ball,7,8
42,1,6:47.0,,B. Ingram makes 2-pt layup from 2 ft,7,10
43,1,6:28.0,J. Ingles misses 3-pt jump shot from 23 ft,,7,10
44,1,6:23.0,,Defensive rebound by L. James,7,10
45,1,6:23.0,A. Burks enters the game for D. Favors,,7,10
46,1,6:23.0,J. Crowder enters the game for D. Mitchell,,7,10
47,1,6:23.0,,T. Chandler enters the game for J. McGee,7,10
48,1,6:11.0,,L. Ball makes 2-pt layup from 2 ft,7,12
49,1,5:52.0,A. Burks misses 3-pt jump shot from 26 ft,,7,12
50,1,5:50.0,,Defensive rebound by L. Ball,7,12
51,1,5:43.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by L. James),7,14
52,1,5:43.0,Utah full timeout,,7,14
53,1,5:31.0,R. Rubio misses 2-pt jump shot from 12 ft,,7,14
54,1,5:29.0,,Defensive rebound by L. James,7,14
55,1,5:21.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by L. James),7,17
56,1,5:07.0,Def 3 sec tech foul by Team,,7,17
57,1,5:07.0,R. Rubio makes technical free throw,,8,17
58,1,4:59.0,Turnover by J. Ingles (bad pass; steal by K. Kuzma),,8,17
59,1,4:54.0,,L. Ball misses 2-pt layup from 1 ft,8,17
60,1,4:48.0,,Offensive rebound by L. James,8,17
61,1,4:48.0,,L. James makes 2-pt layup at rim,8,19
62,1,4:44.0,A. Burks misses 2-pt jump shot from 8 ft,,8,19
63,1,4:39.0,,Defensive rebound by T. Chandler,8,19
64,1,4:22.0,,K. Kuzma misses 2-pt layup from 3 ft,8,19
65,1,4:19.0,Defensive rebound by A. Burks,,8,19
66,1,4:05.0,R. Rubio misses 3-pt jump shot from 25 ft,,8,19
67,1,4:03.0,,Defensive rebound by L. James,8,19
68,1,3:58.0,,L. James misses 2-pt jump shot from 20 ft,8,19
69,1,3:54.0,Defensive rebound by J. Ingles,,8,19
70,1,3:49.0,A. Burks misses 3-pt jump shot from 24 ft,,8,19
71,1,3:47.0,,Defensive rebound by K. Kuzma,8,19
72,1,3:42.0,,L. Ball misses 2-pt layup from 2 ft,8,19
73,1,3:40.0,Defensive rebound by R. Gobert,,8,19
74,1,3:36.0,J. Crowder misses 2-pt layup from 3 ft (block by L. Ball),,8,19
75,1,3:36.0,Offensive rebound by Team,,8,19
76,1,3:36.0,D. Exum enters the game for R. Rubio,,8,19
77,1,3:36.0,,K. Caldwell-Pope enters the game for B. Ingram,8,19
78,1,3:29.0,J. Ingles misses 2-pt layup from 4 ft,,8,19
79,1,3:24.0,Offensive rebound by J. Ingles,,8,19
80,1,3:24.0,J. Ingles makes 2-pt layup from 1 ft,,10,19
81,1,3:08.0,,L. James misses 2-pt layup from 2 ft,10,19
82,1,3:05.0,Defensive rebound by R. Gobert,,10,19
83,1,2:58.0,J. Ingles makes 2-pt layup from 2 ft,,12,19
84,1,2:58.0,,LA Lakers full timeout,12,19
85,1,2:58.0,D. Favors enters the game for A. Burks,,12,19
86,1,2:58.0,D. Mitchell enters the game for R. Gobert,,12,19
87,1,2:58.0,R. O'Neale enters the game for J. Ingles,,12,19
88,1,2:58.0,,J. Hart enters the game for L. Ball,12,19
89,1,2:58.0,,B. Ingram enters the game for L. James,12,19
90,1,2:58.0,,L. Stephenson enters the game for K. Kuzma,12,19
91,1,2:45.0,,Personal foul by D. Exum (drawn by B. Ingram),12,19
92,1,2:40.0,,Turnover by L. Stephenson (bad pass; steal by J. Crowder),12,19
93,1,2:34.0,D. Mitchell misses 3-pt jump shot from 26 ft,,12,19
94,1,2:31.0,,Defensive rebound by J. Hart,12,19
95,1,2:19.0,,B. Ingram misses 2-pt jump shot from 10 ft,12,19
96,1,2:15.0,Defensive rebound by R. O'Neale,,12,19
97,1,2:08.0,Turnover by R. O'Neale (bad pass; steal by B. Ingram),,12,19
98,1,2:05.0,,Shooting foul by D. Exum (drawn by B. Ingram),12,19
99,1,2:05.0,,B. Ingram makes free throw 1 of 2,12,20
100,1,2:05.0,,B. Ingram misses free throw 2 of 2,12,20
101,1,2:02.0,,Offensive rebound by K. Caldwell-Pope,12,20
102,1,1:59.0,,J. Hart misses 3-pt jump shot from 23 ft,12,20
103,1,1:54.0,Defensive rebound by D. Mitchell,,12,20
104,1,1:46.0,D. Mitchell makes 2-pt jump shot from 16 ft,,14,20
105,1,1:23.0,,L. Stephenson misses 3-pt jump shot from 22 ft,14,20
106,1,1:20.0,Defensive rebound by D. Favors,,14,20
107,1,1:15.0,R. O'Neale misses 3-pt jump shot from 24 ft,,14,20
108,1,1:10.0,Offensive rebound by D. Exum,,14,20
109,1,1:04.0,D. Exum makes 2-pt hook shot from 6 ft (assist by D. Mitchell),,16,20
110,1,0:51.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,16,20
111,1,0:48.0,Defensive rebound by D. Mitchell,,16,20
112,1,0:37.0,D. Mitchell misses 3-pt jump shot from 27 ft,,16,20
113,1,0:33.0,,Defensive rebound by B. Ingram,16,20
114,1,0:15.0,,B. Ingram makes 2-pt dunk from 1 ft,16,22
115,1,0:08.0,Personal foul by K. Caldwell-Pope (drawn by D. Mitchell),,16,22
116,1,0:00.0,J. Crowder misses 2-pt jump shot from 18 ft,,16,22
117,1,0:00.0,Offensive rebound by Team,,16,22
118,2,11:48.0,J. Crowder misses 2-pt jump shot from 22 ft,,16,22
119,2,11:45.0,,Defensive rebound by B. Ingram,16,22
120,2,11:36.0,,J. McGee makes 2-pt jump shot from 8 ft,16,24
121,2,11:24.0,Turnover by D. Mitchell (out of bounds lost ball),,16,24
122,2,11:08.0,,Offensive foul by L. Stephenson (drawn by D. Exum),16,24
123,2,11:08.0,,Turnover by L. Stephenson (offensive foul),16,24
124,2,10:44.0,D. Mitchell makes 2-pt jump shot from 20 ft (assist by D. Exum),,18,24
125,2,10:33.0,,Turnover by L. Stephenson (bad pass; steal by D. Mitchell),18,24
126,2,10:27.0,R. O'Neale makes 2-pt dunk from 1 ft (assist by D. Exum),,20,24
127,2,10:05.0,,Turnover by B. Ingram (lost ball; steal by J. Crowder),20,24
128,2,9:58.0,Personal foul by B. Ingram (drawn by D. Mitchell),,20,24
129,2,9:49.0,Turnover by D. Mitchell (bad pass; steal by L. Stephenson),,20,24
130,2,9:37.0,,Turnover by B. Ingram (bad pass),20,24
131,2,9:15.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,24
132,2,9:10.0,,Defensive rebound by J. Hart,20,24
133,2,9:05.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,20,26
134,2,9:05.0,Utah full timeout,,20,26
135,2,9:05.0,A. Burks enters the game for J. Crowder,,20,26
136,2,9:05.0,J. Ingles enters the game for D. Mitchell,,20,26
137,2,9:05.0,T. Sefolosha enters the game for R. O'Neale,,20,26
138,2,9:05.0,,L. Ball enters the game for B. Ingram,20,26
139,2,8:55.0,J. Ingles makes 2-pt layup from 4 ft (assist by D. Favors),,22,26
140,2,8:55.0,,Violation by Team (def goaltending),22,26
141,2,8:39.0,,J. McGee makes 2-pt dunk from 1 ft,22,28
142,2,8:37.0,,Violation by Team (delay of game),22,28
143,2,8:28.0,D. Exum misses 2-pt layup from 2 ft,,22,28
144,2,8:25.0,,Defensive rebound by L. Ball,22,28
145,2,8:22.0,,L. Ball makes 2-pt layup from 2 ft,22,30
146,2,8:10.0,A. Burks misses 2-pt jump shot from 13 ft,,22,30
147,2,8:09.0,Offensive rebound by A. Burks,,22,30
148,2,7:58.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by D. Favors),,25,30
149,2,7:38.0,,L. Ball misses 2-pt jump shot from 17 ft,25,30
150,2,7:36.0,,Offensive rebound by L. Stephenson,25,30
151,2,7:34.0,,L. Stephenson misses 2-pt layup from 2 ft,25,30
152,2,7:34.0,Defensive rebound by J. Ingles,,25,30
153,2,7:16.0,T. Sefolosha makes 2-pt jump shot from 13 ft (assist by J. Ingles),,27,30
154,2,7:16.0,,LA Lakers full timeout,27,30
155,2,7:16.0,G. Allen enters the game for A. Burks,,27,30
156,2,7:16.0,R. Gobert enters the game for D. Exum,,27,30
