,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Embiid,0,0
2,1,11:23.0,,Shooting foul by J. Allen (drawn by J. Embiid),0,0
3,1,11:23.0,,J. Embiid makes free throw 1 of 2,0,1
4,1,11:23.0,,J. Embiid makes free throw 2 of 2,0,2
5,1,11:12.0,A. Crabbe misses 3-pt jump shot from 26 ft,,0,2
6,1,11:09.0,,Defensive rebound by J. Embiid,0,2
7,1,10:58.0,,F. Korkmaz makes 3-pt jump shot from 28 ft (assist by J. Embiid),0,5
8,1,10:40.0,D. Russell misses 3-pt jump shot from 26 ft,,0,5
9,1,10:38.0,Offensive rebound by J. Allen,,0,5
10,1,10:36.0,J. Harris misses 2-pt jump shot from 10 ft,,0,5
11,1,10:32.0,,Defensive rebound by F. Korkmaz,0,5
12,1,10:22.0,,J. Embiid misses 2-pt jump shot from 2 ft,0,5
13,1,10:19.0,Defensive rebound by J. Allen,,0,5
14,1,10:18.0,Turnover by J. Allen (lost ball; steal by B. Simmons),,0,5
15,1,10:14.0,,Turnover by B. Simmons (bad pass; steal by A. Crabbe),0,5
16,1,10:11.0,R. Hollis-Jefferson makes 2-pt layup from 4 ft (assist by D. Russell),,2,5
17,1,10:11.0,Shooting foul by J. Redick (drawn by R. Hollis-Jefferson),,2,5
18,1,10:11.0,R. Hollis-Jefferson makes free throw 1 of 1,,3,5
19,1,9:51.0,,W. Chandler misses 2-pt jump shot from 8 ft (block by J. Harris),3,5
20,1,9:48.0,,Offensive rebound by B. Simmons,3,5
21,1,9:45.0,,B. Simmons makes 2-pt layup from 3 ft,3,7
22,1,9:37.0,D. Russell makes 3-pt jump shot from 26 ft,,6,7
23,1,9:19.0,,W. Chandler makes 3-pt jump shot from 23 ft (assist by F. Korkmaz),6,10
24,1,9:07.0,Shooting foul by F. Korkmaz (drawn by J. Allen),,6,10
25,1,9:07.0,J. Allen makes free throw 1 of 2,,7,10
26,1,9:07.0,J. Allen makes free throw 2 of 2,,8,10
27,1,8:57.0,,B. Simmons misses 2-pt layup from 1 ft,8,10
28,1,8:57.0,,Offensive rebound by B. Simmons,8,10
29,1,8:56.0,,B. Simmons misses 2-pt layup at rim,8,10
30,1,8:53.0,Defensive rebound by J. Harris,,8,10
31,1,8:44.0,J. Allen makes 2-pt dunk at rim (assist by J. Harris),,10,10
32,1,8:27.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,10,10
33,1,8:25.0,Defensive rebound by A. Crabbe,,10,10
34,1,8:15.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,10,10
35,1,8:13.0,,Defensive rebound by J. Embiid,10,10
36,1,8:07.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),10,13
37,1,8:06.0,Brooklyn full timeout,,10,13
38,1,7:55.0,A. Crabbe makes 2-pt jump shot from 16 ft (assist by D. Russell),,12,13
39,1,7:36.0,,J. Embiid misses 2-pt jump shot from 4 ft,12,13
40,1,7:31.0,,Offensive rebound by J. Embiid,12,13
41,1,7:31.0,,J. Embiid makes 2-pt layup at rim,12,15
42,1,7:25.0,A. Crabbe misses 3-pt jump shot from 26 ft,,12,15
43,1,7:21.0,,Defensive rebound by W. Chandler,12,15
44,1,7:17.0,,F. Korkmaz makes 2-pt jump shot from 8 ft (assist by W. Chandler),12,17
45,1,7:05.0,D. Russell makes 2-pt layup at rim,,14,17
46,1,6:55.0,,J. Redick misses 3-pt jump shot from 26 ft,14,17
47,1,6:53.0,,Offensive rebound by J. Redick,14,17
48,1,6:41.0,,J. Embiid makes 2-pt layup from 2 ft,14,19
49,1,6:32.0,Turnover by D. Russell (bad pass; steal by B. Simmons),,14,19
50,1,6:18.0,,Turnover by J. Embiid (lost ball; steal by A. Crabbe),14,19
51,1,6:08.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Simmons),,14,19
52,1,6:03.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),14,21
53,1,5:49.0,J. Allen makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),,16,21
54,1,5:35.0,,Turnover by W. Chandler (bad pass; steal by R. Hollis-Jefferson),16,21
55,1,5:32.0,Turnover by R. Hollis-Jefferson (lost ball; steal by F. Korkmaz),,16,21
56,1,5:26.0,,F. Korkmaz makes 2-pt dunk from 2 ft,16,23
57,1,5:09.0,D. Russell misses 2-pt jump shot from 16 ft,,16,23
58,1,5:07.0,,Defensive rebound by J. Embiid,16,23
59,1,5:02.0,,B. Simmons misses 2-pt jump shot from 5 ft,16,23
60,1,5:01.0,,Offensive rebound by B. Simmons,16,23
61,1,5:01.0,,B. Simmons makes 2-pt layup from 3 ft,16,25
62,1,5:01.0,Brooklyn full timeout,,16,25
63,1,5:01.0,E. Davis enters the game for J. Allen,,16,25
64,1,5:01.0,S. Dinwiddie enters the game for D. Russell,,16,25
65,1,5:01.0,,A. Johnson enters the game for W. Chandler,16,25
66,1,5:01.0,,T. McConnell enters the game for J. Embiid,16,25
67,1,5:01.0,,L. Shamet enters the game for J. Redick,16,25
68,1,4:57.0,Personal foul by L. Shamet (drawn by J. Harris),,16,25
69,1,4:40.0,S. Dinwiddie misses 2-pt layup from 4 ft,,16,25
70,1,4:38.0,Offensive rebound by E. Davis,,16,25
71,1,4:36.0,E. Davis misses 2-pt layup from 3 ft,,16,25
72,1,4:34.0,,Defensive rebound by B. Simmons,16,25
73,1,4:30.0,,B. Simmons misses 2-pt layup from 1 ft,16,25
74,1,4:28.0,Defensive rebound by R. Hollis-Jefferson,,16,25
75,1,4:20.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,19,25
76,1,4:04.0,,Personal foul by J. Harris (drawn by F. Korkmaz),19,25
77,1,4:04.0,D. Carroll enters the game for J. Harris,,19,25
78,1,4:04.0,R. Kurucs enters the game for R. Hollis-Jefferson,,19,25
79,1,4:04.0,,S. Milton enters the game for F. Korkmaz,19,25
80,1,3:56.0,,T. McConnell misses 2-pt jump shot from 8 ft,19,25
81,1,3:53.0,Defensive rebound by R. Kurucs,,19,25
82,1,3:42.0,S. Dinwiddie makes 2-pt jump shot from 4 ft,,21,25
83,1,3:28.0,,T. McConnell makes 2-pt jump shot from 11 ft,21,27
84,1,3:14.0,A. Crabbe misses 3-pt jump shot from 27 ft,,21,27
85,1,3:12.0,,Defensive rebound by B. Simmons,21,27
86,1,3:05.0,,L. Shamet misses 2-pt jump shot from 14 ft,21,27
87,1,3:01.0,Defensive rebound by D. Carroll,,21,27
88,1,2:53.0,Shooting foul by A. Johnson (drawn by S. Dinwiddie),,21,27
89,1,2:53.0,S. Dinwiddie misses free throw 1 of 2,,21,27
90,1,2:53.0,Offensive rebound by Team,,21,27
91,1,2:53.0,D. Russell enters the game for A. Crabbe,,21,27
92,1,2:53.0,,W. Chandler enters the game for A. Johnson,21,27
93,1,2:53.0,,J. Embiid enters the game for L. Shamet,21,27
94,1,2:53.0,,J. Redick enters the game for B. Simmons,21,27
95,1,2:53.0,S. Dinwiddie makes free throw 2 of 2,,22,27
96,1,2:42.0,,J. Redick misses 2-pt jump shot from 18 ft,22,27
97,1,2:40.0,,Offensive rebound by Team,22,27
98,1,2:40.0,Loose ball foul by E. Davis (drawn by J. Embiid),,22,27
99,1,2:27.0,,J. Embiid misses 2-pt hook shot from 7 ft,22,27
