,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:43.0,,N. Jokić makes 2-pt layup from 2 ft (assist by P. Millsap),0,2
1,1,11:21.0,K. Faried makes 2-pt jump shot from 4 ft (assist by P. Tucker),,2,2
2,1,11:05.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by W. Barton),2,5
3,1,10:45.0,J. Harden makes 3-pt jump shot from 25 ft,,5,5
4,1,10:30.0,,M. Beasley misses 3-pt jump shot from 25 ft,5,5
5,1,10:27.0,Defensive rebound by C. Paul,,5,5
6,1,10:16.0,J. Harden makes 2-pt layup from 1 ft,,7,5
7,1,9:57.0,,M. Morris misses 3-pt jump shot from 24 ft,7,5
8,1,9:55.0,Defensive rebound by J. Harden,,7,5
9,1,9:49.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,9,5
10,1,9:25.0,,M. Morris misses 3-pt jump shot from 25 ft,9,5
11,1,9:24.0,,Offensive rebound by N. Jokić,9,5
12,1,9:23.0,,N. Jokić misses 2-pt layup from 3 ft,9,5
13,1,9:23.0,,Offensive rebound by W. Barton,9,5
14,1,9:13.0,,P. Millsap makes 2-pt jump shot from 3 ft (assist by M. Morris),9,7
15,1,8:50.0,Turnover by K. Faried (lost ball; steal by N. Jokić),,9,7
16,1,8:45.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),9,10
17,1,8:26.0,P. Tucker misses 3-pt jump shot from 25 ft,,9,10
18,1,8:24.0,,Defensive rebound by Team,9,10
19,1,8:06.0,,W. Barton makes 2-pt jump shot from 17 ft (assist by N. Jokić),9,12
20,1,8:00.0,Turnover by J. Harden (bad pass),,9,12
21,1,7:47.0,,W. Barton misses 2-pt jump shot from 15 ft,9,12
22,1,7:45.0,,Offensive rebound by N. Jokić,9,12
23,1,7:44.0,,N. Jokić makes 2-pt layup from 1 ft,9,14
24,1,7:32.0,C. Paul misses 3-pt jump shot from 26 ft,,9,14
25,1,7:28.0,Offensive rebound by K. Faried,,9,14
26,1,7:27.0,C. Paul makes 3-pt jump shot from 24 ft (assist by K. Faried),,12,14
27,1,7:18.0,,Turnover by N. Jokić (lost ball),12,14
28,1,7:17.0,,Loose ball foul by N. Jokić (drawn by P. Tucker),12,14
29,1,6:58.0,Shooting foul by M. Beasley (drawn by J. Harden),,12,14
30,1,6:58.0,,Denver full timeout,12,14
31,1,6:58.0,J. Ennis enters the game for K. Faried,,12,14
32,1,6:58.0,A. Rivers enters the game for C. Paul,,12,14
33,1,6:58.0,J. Harden makes free throw 1 of 3,,13,14
34,1,6:58.0,J. Harden misses free throw 2 of 3,,13,14
35,1,6:58.0,Offensive rebound by Team,,13,14
36,1,6:58.0,J. Harden makes free throw 3 of 3,,14,14
37,1,6:42.0,,Personal foul by P. Tucker (drawn by N. Jokić),14,14
38,1,6:35.0,,N. Jokić makes 2-pt jump shot from 8 ft (assist by W. Barton),14,16
39,1,6:10.0,J. Harden makes 3-pt jump shot from 25 ft,,17,16
40,1,6:00.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by M. Morris),17,18
41,1,5:47.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by J. Harden),,20,18
42,1,5:46.0,,Denver full timeout,20,18
43,1,5:46.0,G. Green enters the game for E. Gordon,,20,18
44,1,5:46.0,,T. Craig enters the game for W. Barton,20,18
45,1,5:25.0,,P. Millsap misses 2-pt jump shot from 4 ft,20,18
46,1,5:23.0,Defensive rebound by J. Harden,,20,18
47,1,5:19.0,J. Ennis makes 2-pt layup from 2 ft (assist by J. Harden),,22,18
48,1,5:08.0,,Personal foul by A. Rivers (drawn by N. Jokić),22,18
49,1,5:08.0,,M. Plumlee enters the game for P. Millsap,22,18
50,1,5:08.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Morris),22,21
51,1,4:38.0,J. Harden makes 3-pt jump shot from 26 ft,,25,21
52,1,4:27.0,,M. Morris makes 2-pt layup from 3 ft,25,23
53,1,4:11.0,A. Rivers misses 3-pt jump shot from 25 ft,,25,23
54,1,4:09.0,Offensive rebound by P. Tucker,,25,23
55,1,4:09.0,A. Rivers makes 3-pt jump shot from 24 ft,,28,23
56,1,3:49.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by N. Jokić),28,25
57,1,3:39.0,J. Harden misses 2-pt layup from 3 ft,,28,25
58,1,3:37.0,,Defensive rebound by M. Plumlee,28,25
59,1,3:37.0,,Personal foul by A. Rivers (drawn by M. Plumlee),28,25
60,1,3:19.0,,T. Craig misses 3-pt jump shot from 23 ft,28,25
61,1,3:14.0,,Offensive rebound by N. Jokić,28,25
62,1,3:14.0,,N. Jokić makes 2-pt layup from 1 ft,28,27
63,1,3:03.0,J. Harden makes 2-pt layup from 2 ft,,30,27
64,1,2:50.0,,M. Beasley misses 3-pt jump shot from 25 ft,30,27
65,1,2:46.0,,Offensive rebound by N. Jokić,30,27
66,1,2:42.0,,M. Beasley misses 3-pt jump shot from 23 ft,30,27
67,1,2:39.0,Defensive rebound by P. Tucker,,30,27
68,1,2:27.0,P. Tucker makes 2-pt hook shot from 6 ft (assist by J. Harden),,32,27
69,1,2:15.0,,M. Morris makes 2-pt jump shot from 13 ft,32,29
70,1,2:14.0,Houston full timeout,,32,29
71,1,2:14.0,K. Faried enters the game for J. Harden,,32,29
72,1,2:14.0,C. Paul enters the game for P. Tucker,,32,29
73,1,2:14.0,,W. Barton enters the game for N. Jokić,32,29
74,1,2:14.0,,T. Lyles enters the game for M. Morris,32,29
75,1,1:56.0,K. Faried misses 2-pt layup from 1 ft (block by W. Barton),,32,29
76,1,1:53.0,,Defensive rebound by T. Craig,32,29
77,1,1:47.0,,Shooting foul by A. Rivers (drawn by M. Plumlee),32,29
78,1,1:47.0,,M. Plumlee makes free throw 1 of 2,32,30
79,1,1:47.0,E. Gordon enters the game for A. Rivers,,32,30
80,1,1:47.0,,M. Plumlee makes free throw 2 of 2,32,31
81,1,1:37.0,G. Green misses 3-pt jump shot from 23 ft,,32,31
82,1,1:34.0,Offensive rebound by J. Ennis,,32,31
83,1,1:30.0,K. Faried makes 2-pt dunk from 1 ft (assist by E. Gordon),,34,31
84,1,1:09.0,,W. Barton makes 2-pt jump shot from 9 ft,34,33
