,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHARLOTTE_ACTION,HOUSTON_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,2,0
1,1,11:15.0,,M. Bridges misses 2-pt jump shot from 17 ft,2,0
2,1,11:11.0,Defensive rebound by J. Harden,,2,0
3,1,11:04.0,C. Capela misses 2-pt layup from 2 ft,,2,0
4,1,11:01.0,,Defensive rebound by M. Bridges,2,0
5,1,10:55.0,,N. Batum makes 3-pt jump shot from 27 ft (assist by M. Bridges),2,3
6,1,10:35.0,J. Harden misses 2-pt layup from 2 ft,,2,3
7,1,10:33.0,,Defensive rebound by N. Batum,2,3
8,1,10:28.0,,M. Williams makes 3-pt jump shot from 28 ft (assist by N. Batum),2,6
9,1,10:16.0,C. Paul makes 2-pt jump shot from 12 ft,,4,6
10,1,10:00.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by M. Williams),4,9
11,1,9:49.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by C. Paul),,7,9
12,1,9:37.0,,Turnover by N. Batum (bad pass; steal by P. Tucker),7,9
13,1,9:28.0,E. Gordon misses 3-pt jump shot from 28 ft,,7,9
14,1,9:26.0,,Defensive rebound by N. Batum,7,9
15,1,9:19.0,,M. Bridges misses 3-pt jump shot from 26 ft,7,9
16,1,9:17.0,Defensive rebound by C. Capela,,7,9
17,1,9:11.0,C. Capela misses 2-pt layup from 3 ft,,7,9
18,1,9:06.0,Offensive rebound by C. Capela,,7,9
19,1,9:06.0,C. Capela misses 2-pt layup at rim,,7,9
20,1,9:05.0,,Defensive rebound by K. Walker,7,9
21,1,8:59.0,,N. Batum misses 2-pt jump shot from 12 ft,7,9
22,1,8:57.0,Defensive rebound by C. Paul,,7,9
23,1,8:46.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,9,9
24,1,8:26.0,,Personal foul by C. Paul (drawn by C. Zeller),9,9
25,1,8:11.0,,M. Bridges makes 2-pt jump shot from 12 ft (assist by N. Batum),9,11
26,1,8:01.0,Turnover by J. Harden (lost ball; steal by K. Walker),,9,11
27,1,7:58.0,,N. Batum makes 2-pt dunk from 1 ft (assist by K. Walker),9,13
28,1,7:38.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,11,13
29,1,7:26.0,,Turnover by K. Walker (bad pass),11,13
30,1,7:18.0,J. Harden misses 3-pt jump shot from 26 ft,,11,13
31,1,7:16.0,,Defensive rebound by M. Bridges,11,13
32,1,6:53.0,,N. Batum misses 2-pt jump shot from 17 ft,11,13
33,1,6:51.0,Defensive rebound by C. Paul,,11,13
34,1,6:50.0,Shooting foul by K. Walker (drawn by C. Capela),,11,13
35,1,6:50.0,,Charlotte full timeout,11,13
36,1,6:50.0,K. Faried enters the game for C. Capela,,11,13
37,1,6:50.0,G. Green enters the game for E. Gordon,,11,13
38,1,6:50.0,A. Rivers enters the game for C. Paul,,11,13
39,1,6:50.0,,J. Lamb enters the game for M. Bridges,11,13
40,1,6:38.0,Turnover by A. Rivers (bad pass; steal by C. Zeller),,11,13
41,1,6:32.0,,K. Walker makes 2-pt layup from 2 ft,11,15
42,1,6:14.0,J. Harden makes 2-pt layup from 5 ft,,13,15
43,1,6:14.0,Shooting foul by K. Walker (drawn by J. Harden),,13,15
44,1,6:14.0,J. Harden makes free throw 1 of 1,,14,15
45,1,6:02.0,,Shooting foul by P. Tucker (drawn by C. Zeller),14,15
46,1,6:02.0,,C. Zeller makes free throw 1 of 2,14,16
47,1,6:02.0,,C. Zeller makes free throw 2 of 2,14,17
48,1,5:43.0,J. Harden misses 3-pt jump shot from 26 ft,,14,17
49,1,5:41.0,,Defensive rebound by M. Williams,14,17
50,1,5:34.0,,J. Lamb misses 2-pt layup from 5 ft,14,17
51,1,5:34.0,,Offensive rebound by J. Lamb,14,17
52,1,5:33.0,,J. Lamb misses 2-pt layup from 2 ft,14,17
53,1,5:33.0,Defensive rebound by G. Green,,14,17
54,1,5:21.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by J. Harden),,17,17
55,1,5:09.0,,K. Walker makes 2-pt layup from 3 ft (assist by J. Lamb),17,19
56,1,4:53.0,Shooting foul by C. Zeller (drawn by G. Green),,17,19
57,1,4:53.0,G. Green makes free throw 1 of 2,,18,19
58,1,4:53.0,,M. Kidd-Gilchrist enters the game for C. Zeller,18,19
59,1,4:53.0,G. Green makes free throw 2 of 2,,19,19
60,1,4:46.0,,Personal foul by J. Harden (drawn by K. Walker),19,19
61,1,4:36.0,,K. Walker makes 3-pt jump shot from 26 ft,19,22
62,1,4:19.0,J. Harden makes 2-pt jump shot from 3 ft,,21,22
63,1,4:06.0,,Turnover by K. Walker (bad pass),21,22
64,1,3:51.0,A. Rivers makes 3-pt jump shot from 25 ft,,24,22
65,1,3:36.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),24,25
66,1,3:22.0,J. Harden makes 2-pt jump shot from 4 ft,,26,25
67,1,3:15.0,,K. Walker makes 2-pt layup from 3 ft,26,27
68,1,3:03.0,J. Harden misses 3-pt jump shot from 26 ft,,26,27
69,1,3:00.0,,Defensive rebound by J. Lamb,26,27
70,1,2:58.0,,Personal foul by K. Faried (drawn by M. Williams),26,27
71,1,2:58.0,Houston full timeout,,26,27
72,1,2:58.0,C. Capela enters the game for J. Harden,,26,27
73,1,2:58.0,C. Paul enters the game for P. Tucker,,26,27
74,1,2:58.0,,M. Monk enters the game for N. Batum,26,27
75,1,2:58.0,,T. Parker enters the game for K. Walker,26,27
76,1,2:50.0,,Shooting foul by A. Rivers (drawn by J. Lamb),26,27
77,1,2:50.0,,J. Lamb makes free throw 1 of 2,26,28
78,1,2:50.0,,B. Biyombo enters the game for M. Williams,26,28
79,1,2:50.0,,J. Lamb makes free throw 2 of 2,26,29
80,1,2:34.0,G. Green makes 3-pt jump shot from 26 ft (assist by A. Rivers),,29,29
81,1,2:16.0,,J. Lamb misses 3-pt jump shot from 26 ft,29,29
82,1,2:13.0,Defensive rebound by G. Green,,29,29
83,1,2:01.0,C. Capela misses 2-pt layup from 2 ft,,29,29
84,1,2:00.0,Offensive rebound by K. Faried,,29,29
85,1,2:00.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Faried),,29,29
86,1,2:00.0,K. Faried makes free throw 1 of 2,,30,29
87,1,2:00.0,K. Faried makes free throw 2 of 2,,31,29
88,1,1:46.0,,M. Monk misses 3-pt jump shot from 24 ft,31,29
89,1,1:44.0,Defensive rebound by K. Faried,,31,29
90,1,1:38.0,Personal foul by M. Kidd-Gilchrist (drawn by C. Capela),,31,29
91,1,1:38.0,C. Capela makes free throw 1 of 2,,32,29
92,1,1:38.0,C. Capela misses free throw 2 of 2,,32,29
93,1,1:35.0,,Defensive rebound by B. Biyombo,32,29
94,1,1:28.0,,T. Parker misses 2-pt layup from 2 ft,32,29
95,1,1:25.0,,Offensive rebound by B. Biyombo,32,29
96,1,1:25.0,,Shooting foul by C. Capela (drawn by B. Biyombo),32,29
97,1,1:25.0,,B. Biyombo makes free throw 1 of 2,32,30
98,1,1:25.0,,B. Biyombo makes free throw 2 of 2,32,31
99,1,1:17.0,Personal foul by M. Monk (drawn by C. Paul),,32,31
100,1,1:17.0,C. Paul misses free throw 1 of 2,,32,31
101,1,1:17.0,Offensive rebound by Team,,32,31
102,1,1:17.0,C. Paul makes free throw 2 of 2,,33,31
103,1,0:58.0,,Turnover by T. Parker (bad pass),33,31
104,1,0:47.0,C. Paul makes 2-pt jump shot from 11 ft,,35,31
105,1,0:36.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 20 ft (assist by T. Parker),35,33
106,1,0:32.0,C. Paul makes 3-pt jump shot from 27 ft,,38,33
107,1,0:26.0,,Turnover by T. Parker (bad pass; steal by G. Green),38,33
108,1,0:03.0,C. Paul makes 3-pt jump shot from 26 ft,,41,33
109,2,11:50.0,,Shooting foul by K. Faried (drawn by M. Bridges),41,33
110,2,11:50.0,,M. Bridges makes free throw 1 of 2,41,34
111,2,11:50.0,,M. Bridges makes free throw 2 of 2,41,35
112,2,11:41.0,Offensive foul by K. Faried (drawn by T. Parker),,41,35
113,2,11:41.0,Turnover by K. Faried (offensive foul),,41,35
114,2,11:22.0,,M. Monk misses 2-pt layup from 5 ft (block by C. Capela),41,35
115,2,11:19.0,,Offensive rebound by B. Biyombo,41,35
116,2,11:13.0,,B. Biyombo makes 2-pt jump shot from 17 ft,41,37
117,2,10:53.0,C. Capela misses 2-pt layup from 2 ft,,41,37
118,2,10:51.0,Offensive rebound by Team,,41,37
119,2,10:51.0,I. Shumpert enters the game for K. Faried,,41,37
120,2,10:49.0,G. Green makes 2-pt layup from 3 ft (assist by C. Paul),,43,37
121,2,10:38.0,,T. Parker makes 2-pt layup from 2 ft,43,39
122,2,10:38.0,,Shooting foul by G. Green (drawn by T. Parker),43,39
123,2,10:38.0,,T. Parker makes free throw 1 of 1,43,40
124,2,10:18.0,G. Green misses 3-pt jump shot from 26 ft,,43,40
125,2,10:18.0,Offensive rebound by Team,,43,40
126,2,10:18.0,,Loose ball foul by T. Parker (drawn by I. Shumpert),43,40
127,2,10:07.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,45,40
128,2,9:58.0,,Turnover by T. Parker (bad pass; steal by C. Paul),45,40
129,2,9:53.0,C. Capela makes 2-pt layup from 1 ft (assist by E. Gordon),,47,40
130,2,9:36.0,,Turnover by M. Monk (bad pass),47,40
131,2,9:31.0,C. Capela makes 2-pt dunk from 2 ft (assist by C. Paul),,49,40
132,2,9:31.0,,Charlotte full timeout,49,40
133,2,9:31.0,J. Harden enters the game for G. Green,,49,40
134,2,9:31.0,,K. Walker enters the game for B. Biyombo,49,40
135,2,9:31.0,,M. Williams enters the game for M. Monk,49,40
136,2,9:31.0,,C. Zeller enters the game for T. Parker,49,40
137,2,9:18.0,,N. Batum misses 2-pt jump shot from 17 ft,49,40
138,2,9:18.0,Defensive rebound by Team,,49,40
139,2,9:18.0,,C. Zeller misses 2-pt layup from 4 ft,49,40
140,2,9:18.0,,Offensive rebound by C. Zeller,49,40
141,2,9:02.0,Turnover by C. Paul (bad pass; steal by K. Walker),,49,40
142,2,8:49.0,,M. Williams misses 2-pt layup from 6 ft,49,40
143,2,8:47.0,Defensive rebound by I. Shumpert,,49,40
144,2,8:38.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by C. Capela),,52,40
145,2,8:21.0,,Turnover by K. Walker (bad pass; steal by J. Harden),52,40
146,2,8:17.0,J. Harden makes 2-pt dunk from 2 ft,,54,40
147,2,8:05.0,,M. Williams misses 3-pt jump shot from 24 ft,54,40
148,2,8:05.0,,Offensive rebound by Team,54,40
149,2,8:05.0,Loose ball foul by C. Capela (drawn by C. Zeller),,54,40
150,2,8:05.0,P. Tucker enters the game for C. Paul,,54,40
151,2,7:57.0,,Shooting foul by P. Tucker (drawn by C. Zeller),54,40
152,2,7:57.0,,C. Zeller makes free throw 1 of 2,54,41
153,2,7:57.0,,C. Zeller misses free throw 2 of 2,54,41
154,2,7:54.0,Defensive rebound by C. Capela,,54,41
155,2,7:34.0,E. Gordon misses 3-pt jump shot from 27 ft,,54,41
156,2,7:32.0,,Defensive rebound by M. Bridges,54,41
157,2,7:26.0,,M. Williams misses 3-pt jump shot from 23 ft,54,41
158,2,7:24.0,,Offensive rebound by M. Bridges,54,41
159,2,7:15.0,,Turnover by C. Zeller (traveling),54,41
160,2,7:02.0,J. Harden makes 2-pt layup from 10 ft,,56,41
161,2,6:48.0,,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),56,43
162,2,6:41.0,Personal foul by N. Batum (drawn by J. Harden),,56,43
163,2,6:41.0,K. Faried enters the game for C. Capela,,56,43
164,2,6:41.0,,J. Lamb enters the game for M. Bridges,56,43
165,2,6:34.0,I. Shumpert misses 3-pt jump shot from 23 ft,,56,43
166,2,6:32.0,,Defensive rebound by M. Williams,56,43
167,2,6:24.0,,Shooting foul by K. Faried (drawn by K. Walker),56,43
168,2,6:24.0,,K. Walker makes free throw 1 of 2,56,44
169,2,6:24.0,T. Jones enters the game for K. Faried,,56,44
170,2,6:24.0,,K. Walker makes free throw 2 of 2,56,45
171,2,6:12.0,J. Harden misses 2-pt layup from 10 ft,,56,45
172,2,6:10.0,,Defensive rebound by C. Zeller,56,45
173,2,6:08.0,,Turnover by C. Zeller (bad pass; steal by J. Harden),56,45
174,2,5:53.0,J. Harden misses 3-pt jump shot from 27 ft,,56,45
175,2,5:51.0,,Defensive rebound by J. Lamb,56,45
176,2,5:47.0,,N. Batum makes 2-pt layup from 1 ft (assist by J. Lamb),56,47
177,2,5:32.0,T. Jones misses 2-pt hook shot from 3 ft,,56,47
178,2,5:28.0,,Defensive rebound by K. Walker,56,47
