,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),0,2
1,1,11:21.0,O. Porter makes 2-pt jump shot from 13 ft (assist by J. Smith),,2,2
2,1,11:14.0,,Turnover by D. Green (bad pass; steal by O. Porter),2,2
3,1,11:08.0,J. Wall misses 3-pt jump shot from 26 ft,,2,2
4,1,11:06.0,,Defensive rebound by S. Curry,2,2
5,1,11:01.0,,Shooting foul by J. Smith (drawn by D. Jones),2,2
6,1,11:01.0,,D. Jones misses free throw 1 of 2,2,2
7,1,11:01.0,,Offensive rebound by Team,2,2
8,1,11:01.0,,D. Jones makes free throw 2 of 2,2,3
9,1,10:54.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,4,3
10,1,10:42.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),4,5
11,1,10:32.0,J. Smith misses 2-pt jump shot from 18 ft,,4,5
12,1,10:31.0,,Defensive rebound by K. Durant,4,5
13,1,10:20.0,,K. Thompson misses 2-pt jump shot from 22 ft,4,5
14,1,10:19.0,Defensive rebound by J. Wall,,4,5
15,1,10:09.0,J. Smith misses 2-pt jump shot from 22 ft (block by K. Durant),,4,5
16,1,10:07.0,Offensive rebound by J. Smith,,4,5
17,1,10:02.0,J. Wall misses 3-pt jump shot from 27 ft,,4,5
18,1,10:00.0,,Defensive rebound by D. Green,4,5
19,1,9:56.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),4,7
20,1,9:43.0,O. Porter misses 3-pt jump shot from 26 ft,,4,7
21,1,9:41.0,Offensive rebound by J. Smith,,4,7
22,1,9:40.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Smith),,6,7
23,1,9:37.0,,Turnover by D. Green (bad pass; steal by B. Beal),6,7
24,1,9:35.0,B. Beal makes 2-pt jump shot from 11 ft,,8,7
25,1,9:17.0,,S. Curry makes 3-pt jump shot from 25 ft,8,10
26,1,9:08.0,M. Morris makes 2-pt jump shot from 13 ft (assist by B. Beal),,10,10
27,1,9:00.0,,Personal foul by O. Porter (drawn by K. Thompson),10,10
28,1,9:00.0,K. Oubre enters the game for B. Beal,,10,10
29,1,8:51.0,,K. Thompson misses 2-pt jump shot from 17 ft,10,10
30,1,8:50.0,,Offensive rebound by D. Jones,10,10
31,1,8:43.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by S. Curry),10,12
32,1,8:27.0,M. Morris misses 3-pt jump shot from 26 ft,,10,12
33,1,8:25.0,,Defensive rebound by K. Durant,10,12
34,1,8:21.0,,K. Thompson misses 3-pt jump shot from 26 ft,10,12
35,1,8:19.0,Defensive rebound by M. Morris,,10,12
36,1,8:07.0,J. Smith makes 2-pt jump shot from 18 ft (assist by J. Wall),,12,12
37,1,7:53.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Jones),12,14
38,1,7:38.0,J. Wall makes 2-pt layup from 10 ft,,14,14
39,1,7:31.0,,Personal foul by M. Morris (drawn by D. Jones),14,14
40,1,7:27.0,,Shooting foul by K. Oubre (drawn by D. Jones),14,14
41,1,7:27.0,,D. Jones makes free throw 1 of 2,14,15
42,1,7:27.0,,D. Jones makes free throw 2 of 2,14,16
43,1,7:17.0,Turnover by J. Wall (bad pass; steal by K. Durant),,14,16
44,1,7:14.0,,Shooting foul by O. Porter (drawn by K. Thompson),14,16
45,1,7:14.0,,K. Thompson makes free throw 1 of 2,14,17
46,1,7:14.0,A. Rivers enters the game for O. Porter,,14,17
47,1,7:14.0,,K. Thompson makes free throw 2 of 2,14,18
48,1,7:08.0,Personal foul by D. Green (drawn by M. Morris),,14,18
49,1,6:59.0,K. Oubre misses 3-pt jump shot from 25 ft,,14,18
50,1,6:57.0,,Defensive rebound by D. Green,14,18
51,1,6:51.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),14,20
52,1,6:48.0,Washington full timeout,,14,20
53,1,6:48.0,,K. Looney enters the game for D. Jones,14,20
54,1,6:37.0,Offensive foul by A. Rivers (drawn by K. Thompson),,14,20
55,1,6:37.0,Turnover by A. Rivers (offensive foul),,14,20
56,1,6:27.0,,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),14,22
57,1,6:10.0,K. Oubre misses 3-pt jump shot from 27 ft,,14,22
58,1,6:08.0,,Defensive rebound by K. Looney,14,22
59,1,5:58.0,,K. Looney misses 2-pt layup from 2 ft (block by J. Smith),14,22
60,1,5:57.0,Defensive rebound by A. Rivers,,14,22
61,1,5:50.0,A. Rivers misses 2-pt jump shot from 8 ft,,14,22
62,1,5:49.0,Offensive rebound by J. Smith,,14,22
63,1,5:45.0,J. Smith makes 2-pt layup at rim,,16,22
64,1,5:34.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Green),16,24
65,1,5:14.0,M. Morris makes 2-pt layup from 2 ft,,18,24
66,1,5:00.0,,Turnover by D. Green (bad pass),18,24
67,1,5:00.0,J. Green enters the game for J. Smith,,18,24
68,1,4:52.0,Shooting foul by K. Looney (drawn by J. Wall),,18,24
69,1,4:52.0,J. Wall misses free throw 1 of 2,,18,24
70,1,4:52.0,Offensive rebound by Team,,18,24
71,1,4:52.0,J. Wall makes free throw 2 of 2,,19,24
72,1,4:43.0,,Personal foul by A. Rivers (drawn by K. Looney),19,24
73,1,4:43.0,,K. Looney makes free throw 1 of 2,19,25
74,1,4:43.0,,A. Iguodala enters the game for D. Green,19,25
75,1,4:43.0,,J. Jerebko enters the game for K. Thompson,19,25
76,1,4:43.0,,K. Looney makes free throw 2 of 2,19,26
77,1,4:31.0,J. Wall makes 3-pt jump shot from 23 ft (assist by A. Rivers),,22,26
78,1,4:22.0,,S. Curry makes 3-pt jump shot from 28 ft,22,29
79,1,4:12.0,Offensive foul by J. Wall (drawn by A. Iguodala),,22,29
80,1,4:12.0,Turnover by J. Wall (offensive foul),,22,29
81,1,4:05.0,,S. Curry misses 2-pt layup from 2 ft,22,29
82,1,4:04.0,Defensive rebound by J. Green,,22,29
83,1,3:50.0,Turnover by K. Oubre (lost ball; steal by J. Jerebko),,22,29
84,1,3:45.0,,J. Jerebko misses 2-pt layup from 2 ft,22,29
85,1,3:44.0,,Offensive rebound by J. Jerebko,22,29
86,1,3:44.0,,J. Jerebko misses 2-pt layup from 1 ft,22,29
87,1,3:43.0,Defensive rebound by K. Oubre,,22,29
88,1,3:36.0,J. Wall misses 3-pt jump shot from 22 ft,,22,29
89,1,3:34.0,,Defensive rebound by J. Jerebko,22,29
90,1,3:30.0,,S. Curry makes 3-pt jump shot from 31 ft (assist by J. Jerebko),22,32
91,1,3:17.0,M. Morris makes 3-pt jump shot from 28 ft (assist by J. Wall),,25,32
92,1,3:04.0,,S. Curry makes 2-pt layup from 6 ft,25,34
93,1,2:53.0,A. Rivers misses 3-pt jump shot from 26 ft,,25,34
94,1,2:51.0,,Defensive rebound by K. Looney,25,34
95,1,2:48.0,,S. Curry makes 3-pt jump shot from 33 ft,25,37
96,1,2:44.0,Washington full timeout,,25,37
97,1,2:44.0,T. Satoranský enters the game for J. Wall,,25,37
98,1,2:44.0,,S. Livingston enters the game for K. Durant,25,37
99,1,2:24.0,M. Morris misses 2-pt layup from 4 ft,,25,37
100,1,2:23.0,,Defensive rebound by K. Looney,25,37
101,1,2:17.0,,S. Curry makes 3-pt jump shot from 29 ft,25,40
102,1,2:03.0,K. Oubre makes 3-pt jump shot from 27 ft (assist by M. Morris),,28,40
103,1,1:53.0,,Shooting foul by T. Satoranský (drawn by S. Curry),28,40
104,1,1:53.0,,S. Curry makes free throw 1 of 2,28,41
105,1,1:53.0,,S. Curry makes free throw 2 of 2,28,42
106,1,1:42.0,Shooting foul by S. Curry (drawn by T. Satoranský),,28,42
107,1,1:42.0,T. Satoranský makes free throw 1 of 2,,29,42
108,1,1:42.0,T. Satoranský makes free throw 2 of 2,,30,42
109,1,1:30.0,,S. Curry misses 2-pt layup from 2 ft,30,42
110,1,1:29.0,Defensive rebound by K. Oubre,,30,42
111,1,1:26.0,K. Oubre makes 3-pt jump shot from 26 ft,,33,42
112,1,1:01.0,,S. Curry makes 2-pt layup from 5 ft (assist by K. Looney),33,44
113,1,0:50.0,,Loose ball foul by K. Looney (drawn by T. Satoranský),33,44
114,1,0:50.0,T. Satoranský makes free throw 1 of 2,,34,44
115,1,0:50.0,T. Satoranský makes free throw 2 of 2,,35,44
116,1,0:38.0,,J. Jerebko misses 3-pt jump shot from 27 ft,35,44
117,1,0:36.0,,Offensive rebound by S. Livingston,35,44
118,1,0:35.0,,S. Livingston misses 2-pt layup from 1 ft,35,44
119,1,0:34.0,,Offensive rebound by S. Livingston,35,44
120,1,0:33.0,,S. Livingston makes 2-pt layup from 1 ft,35,46
121,1,0:29.0,A. Rivers misses 3-pt jump shot from 26 ft,,35,46
122,1,0:27.0,,Defensive rebound by S. Livingston,35,46
123,1,0:08.0,,S. Curry misses 3-pt jump shot from 27 ft,35,46
124,1,0:06.0,Defensive rebound by M. Morris,,35,46
125,1,0:00.0,K. Oubre makes 2-pt jump shot from 8 ft (assist by M. Morris),,37,46
126,2,11:43.0,Personal foul by S. Livingston (drawn by K. Oubre),,37,46
127,2,11:32.0,Turnover by J. Green (bad pass),,37,46
128,2,11:13.0,,S. Livingston makes 2-pt jump shot from 19 ft (assist by D. Green),37,48
129,2,10:57.0,Shooting foul by J. Jerebko (drawn by T. Satoranský),,37,48
130,2,10:57.0,T. Satoranský makes free throw 1 of 2,,38,48
131,2,10:57.0,T. Satoranský makes free throw 2 of 2,,39,48
