,QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
0,1,11:46.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),0,3
1,1,11:20.0,P. Millsap misses 2-pt layup from 3 ft (block by R. Gobert),,0,3
2,1,11:18.0,,Defensive rebound by D. Favors,0,3
3,1,11:14.0,,R. Rubio makes 2-pt layup from 2 ft (assist by D. Mitchell),0,5
4,1,11:14.0,,Shooting foul by J. Murray (drawn by R. Rubio),0,5
5,1,11:14.0,,R. Rubio makes free throw 1 of 1,0,6
6,1,11:02.0,T. Craig misses 3-pt jump shot from 25 ft,,0,6
7,1,10:58.0,,Defensive rebound by R. Gobert,0,6
8,1,10:47.0,,R. Gobert makes 2-pt layup from 2 ft (assist by R. Rubio),0,8
9,1,10:28.0,J. Murray misses 2-pt jump shot from 14 ft,,0,8
10,1,10:25.0,,Defensive rebound by R. Rubio,0,8
11,1,10:15.0,,D. Mitchell misses 2-pt jump shot from 11 ft,0,8
12,1,10:12.0,Defensive rebound by P. Millsap,,0,8
13,1,9:56.0,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),,2,8
14,1,9:39.0,,J. Ingles misses 3-pt jump shot from 26 ft,2,8
15,1,9:34.0,Defensive rebound by N. Jokić,,2,8
16,1,9:20.0,P. Millsap misses 3-pt jump shot from 25 ft,,2,8
17,1,9:17.0,,Defensive rebound by D. Favors,2,8
18,1,9:14.0,,R. Rubio makes 2-pt jump shot from 17 ft,2,10
19,1,8:47.0,J. Murray makes 2-pt jump shot from 17 ft,,4,10
20,1,8:34.0,,Turnover by R. Rubio (out of bounds lost ball),4,10
21,1,8:16.0,J. Murray makes 2-pt jump shot from 12 ft (assist by T. Craig),,6,10
22,1,8:00.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),6,13
23,1,7:47.0,Personal foul by D. Favors (drawn by J. Murray),,6,13
24,1,7:38.0,N. Jokić misses 3-pt jump shot from 25 ft,,6,13
25,1,7:34.0,Offensive rebound by P. Millsap,,6,13
26,1,7:31.0,P. Millsap makes 2-pt dunk from 2 ft,,8,13
27,1,7:18.0,,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Mitchell),8,16
28,1,7:00.0,Offensive foul by G. Harris (drawn by R. Gobert),,8,16
29,1,7:00.0,Turnover by G. Harris (offensive foul),,8,16
30,1,7:00.0,,Utah full timeout,8,16
31,1,7:00.0,,J. Crowder enters the game for D. Favors,8,16
32,1,7:00.0,,K. Korver enters the game for J. Ingles,8,16
33,1,7:00.0,,R. O'Neale enters the game for R. Rubio,8,16
34,1,6:49.0,,J. Crowder misses 3-pt jump shot from 23 ft,8,16
35,1,6:46.0,Defensive rebound by N. Jokić,,8,16
36,1,6:40.0,Turnover by (5 sec),,8,16
37,1,6:30.0,,Shooting foul by J. Murray (drawn by D. Mitchell),8,16
38,1,6:30.0,,D. Mitchell misses free throw 1 of 2,8,16
39,1,6:30.0,,Offensive rebound by Team,8,16
40,1,6:30.0,,D. Mitchell misses free throw 2 of 2,8,16
41,1,6:29.0,Defensive rebound by P. Millsap,,8,16
42,1,6:19.0,Personal foul by R. Gobert (drawn by N. Jokić),,8,16
43,1,6:19.0,M. Morris enters the game for P. Millsap,,8,16
44,1,6:19.0,M. Plumlee enters the game for J. Murray,,8,16
45,1,6:04.0,Turnover by M. Plumlee (lost ball; steal by K. Korver),,8,16
46,1,6:00.0,,D. Mitchell misses 2-pt layup from 2 ft (block by M. Plumlee),8,16
47,1,5:56.0,Defensive rebound by N. Jokić,,8,16
48,1,5:51.0,G. Harris misses 3-pt jump shot from 25 ft,,8,16
49,1,5:48.0,Offensive rebound by T. Craig,,8,16
50,1,5:39.0,G. Harris makes 2-pt layup from 2 ft,,10,16
51,1,5:25.0,,Turnover by J. Crowder (traveling),10,16
52,1,5:25.0,W. Barton enters the game for G. Harris,,10,16
53,1,5:08.0,Turnover by M. Morris (lost ball; steal by J. Crowder),,10,16
54,1,5:04.0,,J. Crowder makes 2-pt layup from 2 ft,10,18
55,1,4:57.0,Personal foul by J. Crowder (drawn by N. Jokić),,10,18
56,1,4:40.0,M. Plumlee makes 2-pt hook shot from 7 ft (assist by W. Barton),,12,18
57,1,4:24.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by R. O'Neale),12,20
58,1,4:06.0,N. Jokić misses 2-pt hook shot from 5 ft (block by R. Gobert),,12,20
59,1,4:03.0,Offensive rebound by W. Barton,,12,20
60,1,4:02.0,W. Barton makes 2-pt jump shot from 16 ft,,14,20
61,1,3:44.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell),14,23
