,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:44.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
1,1,11:44.0,Shooting foul by D. Bender (drawn by G. Antetokounmpo),,2,0
2,1,11:44.0,G. Antetokounmpo misses free throw 1 of 1,,2,0
3,1,11:42.0,,Defensive rebound by D. Ayton,2,0
4,1,11:27.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by T. Johnson),2,2
5,1,11:05.0,M. Brogdon makes 3-pt jump shot from 25 ft,,5,2
6,1,10:39.0,,D. Booker makes 2-pt jump shot from 17 ft,5,4
7,1,10:27.0,M. Brogdon makes 2-pt layup at rim (assist by K. Middleton),,7,4
8,1,10:14.0,,D. Booker misses 2-pt jump shot from 21 ft,7,4
9,1,10:09.0,Defensive rebound by B. Lopez,,7,4
10,1,10:06.0,Shooting foul by D. Bender (drawn by G. Antetokounmpo),,7,4
11,1,10:06.0,G. Antetokounmpo makes free throw 1 of 2,,8,4
12,1,10:06.0,G. Antetokounmpo makes free throw 2 of 2,,9,4
13,1,9:55.0,,K. Oubre misses 2-pt jump shot from 9 ft,9,4
14,1,9:53.0,Defensive rebound by B. Lopez,,9,4
15,1,9:43.0,B. Lopez makes 2-pt layup at rim (assist by K. Middleton),,11,4
16,1,9:31.0,,T. Johnson makes 2-pt jump shot from 13 ft,11,6
17,1,9:17.0,G. Antetokounmpo misses 2-pt hook shot from 2 ft,,11,6
18,1,9:15.0,,Defensive rebound by D. Ayton,11,6
19,1,9:12.0,,Personal foul by G. Antetokounmpo (drawn by D. Booker),11,6
20,1,9:06.0,,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Bender),11,8
21,1,8:55.0,K. Middleton makes 3-pt jump shot from 25 ft,,14,8
22,1,8:36.0,,K. Oubre misses 3-pt jump shot from 26 ft,14,8
23,1,8:33.0,,Offensive rebound by D. Ayton,14,8
24,1,8:31.0,,K. Oubre makes 2-pt dunk at rim (assist by D. Ayton),14,10
