,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
28,1,8:11.0,Offensive rebound by Team,,5,4
29,1,8:02.0,J. Ingles makes 2-pt layup from 2 ft,,7,4
30,1,7:43.0,,D. White misses 2-pt jump shot from 14 ft,7,4
31,1,7:43.0,Defensive rebound by R. Rubio,,7,4
32,1,7:36.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,9,4
33,1,7:36.0,,San Antonio full timeout,9,4
34,1,7:23.0,,Turnover by D. White (bad pass; steal by D. Mitchell),9,4
35,1,7:09.0,R. Rubio misses 2-pt layup at rim,,9,4
36,1,7:07.0,,Defensive rebound by L. Aldridge,9,4
37,1,7:01.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by D. White),9,6
38,1,6:38.0,Turnover by D. Favors (bad pass; steal by D. DeRozan),,9,6
39,1,6:31.0,,R. Gay misses 2-pt layup from 2 ft (block by D. Favors),9,6
40,1,6:23.0,,Offensive rebound by R. Gay,9,6
41,1,6:23.0,,R. Gay makes 2-pt dunk at rim,9,8
42,1,6:18.0,Offensive foul by D. Favors (drawn by D. White),,9,8
43,1,6:18.0,Turnover by D. Favors (offensive foul),,9,8
44,1,6:18.0,J. Crowder enters the game for D. Favors,,9,8
45,1,6:18.0,R. O'Neale enters the game for D. Mitchell,,9,8
46,1,6:18.0,,P. Mills enters the game for D. White,9,8
47,1,6:03.0,,B. Forbes misses 2-pt jump shot from 7 ft,9,8
48,1,6:01.0,Defensive rebound by J. Ingles,,9,8
49,1,5:40.0,R. Rubio misses 3-pt jump shot from 23 ft,,9,8
50,1,5:37.0,,Defensive rebound by L. Aldridge,9,8
51,1,5:26.0,,D. DeRozan makes 2-pt jump shot from 18 ft,9,10
52,1,5:04.0,R. O'Neale misses 3-pt jump shot from 23 ft,,9,10
53,1,5:04.0,,Defensive rebound by R. Gay,9,10
54,1,4:52.0,,P. Mills misses 3-pt jump shot from 26 ft,9,10
55,1,4:52.0,Defensive rebound by J. Ingles,,9,10
56,1,4:43.0,Shooting foul by B. Forbes (drawn by J. Ingles),,9,10
57,1,4:43.0,J. Ingles makes free throw 1 of 2,,10,10
58,1,4:43.0,,M. Belinelli enters the game for B. Forbes,10,10
59,1,4:43.0,,C. Metu enters the game for R. Gay,10,10
60,1,4:43.0,J. Ingles misses free throw 2 of 2,,10,10
61,1,4:41.0,,Defensive rebound by D. DeRozan,10,10
62,1,4:33.0,,L. Aldridge misses 2-pt jump shot from 21 ft,10,10
63,1,4:29.0,Defensive rebound by R. O'Neale,,10,10
64,1,4:23.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,10
65,1,4:21.0,,Defensive rebound by D. DeRozan,10,10
66,1,4:06.0,,Turnover by M. Belinelli (bad pass),10,10
67,1,4:06.0,K. Korver enters the game for J. Ingles,,10,10
68,1,3:44.0,K. Korver makes 2-pt layup from 1 ft (assist by R. Gobert),,12,10
