,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:44.0,Turnover by R. Lopez (bad pass; steal by W. Ellington),,0,0
1,1,11:25.0,,J. Richardson misses 3-pt jump shot from 27 ft,0,0
2,1,11:22.0,Defensive rebound by R. Arcidiacono,,0,0
3,1,11:13.0,L. Markkanen misses 3-pt jump shot from 25 ft,,0,0
4,1,11:11.0,,Defensive rebound by H. Whiteside,0,0
5,1,11:03.0,,J. Winslow makes 2-pt jump shot from 12 ft,0,2
6,1,10:48.0,Turnover by L. Markkanen (lost ball; steal by J. Johnson),,0,2
7,1,10:38.0,,J. Winslow misses 2-pt jump shot from 7 ft,0,2
8,1,10:35.0,,Offensive rebound by J. Winslow,0,2
9,1,10:32.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Winslow),0,5
10,1,10:15.0,R. Lopez makes 2-pt hook shot from 4 ft,,2,5
11,1,10:06.0,,Turnover by J. Johnson (bad pass),2,5
12,1,9:55.0,R. Lopez makes 2-pt hook shot from 9 ft (assist by K. Dunn),,4,5
13,1,9:41.0,,J. Johnson misses 2-pt layup from 3 ft,4,5
14,1,9:39.0,Defensive rebound by K. Dunn,,4,5
15,1,9:35.0,K. Dunn misses 2-pt jump shot from 10 ft,,4,5
16,1,9:33.0,Offensive rebound by R. Arcidiacono,,4,5
17,1,9:29.0,L. Markkanen makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,6,5
18,1,9:29.0,Shooting foul by H. Whiteside (drawn by L. Markkanen),,6,5
19,1,9:29.0,L. Markkanen makes free throw 1 of 1,,7,5
20,1,9:15.0,,J. Winslow misses 2-pt jump shot from 6 ft,7,5
21,1,9:13.0,Defensive rebound by L. Markkanen,,7,5
22,1,9:04.0,K. Dunn makes 2-pt jump shot from 14 ft,,9,5
23,1,9:03.0,,Miami full timeout,9,5
24,1,8:53.0,,W. Ellington misses 3-pt jump shot from 26 ft,9,5
25,1,8:50.0,,Offensive rebound by J. Winslow,9,5
26,1,8:45.0,,W. Ellington misses 3-pt jump shot from 23 ft,9,5
27,1,8:43.0,Defensive rebound by K. Dunn,,9,5
28,1,8:25.0,R. Lopez makes 2-pt layup from 2 ft (assist by W. Selden),,11,5
29,1,8:25.0,Shooting foul by J. Winslow (drawn by R. Lopez),,11,5
30,1,8:25.0,,B. Adebayo enters the game for H. Whiteside,11,5
31,1,8:25.0,R. Lopez makes free throw 1 of 1,,12,5
32,1,8:15.0,,J. Winslow makes 2-pt jump shot from 4 ft,12,7
33,1,7:58.0,L. Markkanen misses 2-pt jump shot from 3 ft (block by J. Richardson),,12,7
34,1,7:56.0,,Defensive rebound by B. Adebayo,12,7
35,1,7:41.0,,J. Johnson misses 2-pt layup from 4 ft,12,7
36,1,7:39.0,Defensive rebound by L. Markkanen,,12,7
37,1,7:21.0,W. Selden misses 3-pt jump shot from 22 ft,,12,7
38,1,7:18.0,,Defensive rebound by W. Ellington,12,7
39,1,7:07.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),12,10
40,1,6:51.0,Turnover by K. Dunn (lost ball; steal by J. Winslow),,12,10
41,1,6:46.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Winslow),12,13
42,1,6:45.0,Chicago full timeout,,12,13
43,1,6:45.0,S. Harrison enters the game for R. Arcidiacono,,12,13
44,1,6:27.0,L. Markkanen misses 3-pt jump shot from 26 ft,,12,13
45,1,6:25.0,,Defensive rebound by W. Ellington,12,13
46,1,6:17.0,,J. Richardson misses 3-pt jump shot from 23 ft,12,13
47,1,6:15.0,Defensive rebound by L. Markkanen,,12,13
48,1,6:07.0,K. Dunn makes 2-pt layup from 2 ft (assist by L. Markkanen),,14,13
49,1,5:48.0,,W. Ellington misses 3-pt jump shot from 23 ft,14,13
50,1,5:46.0,,Offensive rebound by J. Richardson,14,13
51,1,5:38.0,,J. Johnson misses 3-pt jump shot from 25 ft,14,13
52,1,5:37.0,Defensive rebound by Team,,14,13
53,1,5:37.0,,T. Johnson enters the game for J. Richardson,14,13
54,1,5:19.0,L. Markkanen makes 2-pt jump shot from 12 ft (assist by K. Dunn),,16,13
55,1,5:06.0,,B. Adebayo makes 2-pt dunk at rim (assist by J. Johnson),16,15
56,1,4:50.0,K. Dunn misses 2-pt jump shot from 16 ft,,16,15
57,1,4:48.0,,Defensive rebound by B. Adebayo,16,15
58,1,4:40.0,,B. Adebayo misses 2-pt jump shot from 13 ft,16,15
59,1,4:35.0,Defensive rebound by S. Harrison,,16,15
60,1,4:30.0,Personal foul by J. Johnson (drawn by W. Selden),,16,15
61,1,4:30.0,R. Arcidiacono enters the game for K. Dunn,,16,15
62,1,4:16.0,R. Arcidiacono makes 2-pt jump shot from 9 ft,,18,15
63,1,3:56.0,,J. Johnson makes 2-pt layup from 3 ft,18,17
64,1,3:34.0,W. Selden makes 3-pt jump shot from 25 ft,,21,17
65,1,3:21.0,,T. Johnson misses 3-pt jump shot from 24 ft,21,17
66,1,3:19.0,,Offensive rebound by J. Winslow,21,17
67,1,3:17.0,,Turnover by J. Winslow (bad pass),21,17
68,1,3:17.0,,K. Olynyk enters the game for J. Johnson,21,17
69,1,3:17.0,,D. Waiters enters the game for J. Winslow,21,17
70,1,2:55.0,L. Markkanen misses 2-pt jump shot from 13 ft,,21,17
71,1,2:51.0,,Defensive rebound by D. Waiters,21,17
