,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:45.0,K. Lowry misses 3-pt jump shot from 29 ft,,0,0
1,1,11:45.0,,Defensive rebound by Team,0,0
2,1,11:36.0,,Personal foul by S. Ibaka (drawn by A. Horford),0,0
3,1,11:30.0,,A. Horford misses 2-pt hook shot from 8 ft,0,0
4,1,11:28.0,Defensive rebound by S. Ibaka,,0,0
5,1,11:15.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,0
6,1,11:03.0,,G. Hayward misses 3-pt jump shot from 25 ft,3,0
7,1,10:58.0,,Offensive rebound by J. Brown,3,0
8,1,10:56.0,,J. Brown makes 2-pt layup at rim,3,2
9,1,10:41.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),,5,2
10,1,10:30.0,,K. Irving misses 2-pt layup from 2 ft,5,2
11,1,10:25.0,Defensive rebound by D. Green,,5,2
12,1,10:21.0,S. Ibaka misses 2-pt jump shot from 9 ft,,5,2
13,1,10:21.0,Offensive rebound by D. Green,,5,2
14,1,10:15.0,D. Green makes 2-pt layup from 1 ft,,7,2
15,1,9:59.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by K. Irving),7,5
16,1,9:40.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Leonard),,10,5
17,1,9:28.0,,Personal foul by K. Lowry (drawn by K. Irving),10,5
18,1,9:20.0,,K. Irving misses 3-pt jump shot from 25 ft,10,5
19,1,9:16.0,Defensive rebound by S. Ibaka,,10,5
20,1,9:04.0,K. Leonard makes 2-pt jump shot from 9 ft,,12,5
21,1,8:54.0,,K. Irving makes 3-pt jump shot from 25 ft,12,8
22,1,8:44.0,S. Ibaka misses 2-pt hook shot from 7 ft (block by A. Horford),,12,8
23,1,8:44.0,Offensive rebound by Team,,12,8
24,1,8:43.0,D. Green misses 2-pt jump shot from 16 ft,,12,8
25,1,8:42.0,,Defensive rebound by Team,12,8
26,1,8:31.0,,J. Tatum makes 2-pt dunk from 1 ft,12,10
27,1,8:15.0,K. Lowry misses 2-pt layup from 2 ft,,12,10
28,1,8:13.0,,Defensive rebound by G. Hayward,12,10
29,1,8:05.0,,J. Brown misses 2-pt layup from 1 ft,12,10
30,1,8:01.0,,Offensive rebound by J. Brown,12,10
