,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:43.0,C. McCollum misses 2-pt jump shot from 9 ft,,0,0
1,1,11:41.0,,Defensive rebound by R. Covington,0,0
2,1,11:25.0,,T. Gibson misses 2-pt jump shot from 20 ft,0,0
3,1,11:22.0,Defensive rebound by A. Aminu,,0,0
4,1,11:13.0,A. Aminu misses 3-pt jump shot from 26 ft,,0,0
5,1,11:10.0,,Defensive rebound by R. Covington,0,0
6,1,10:59.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),0,2
7,1,10:41.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,2,2
8,1,10:23.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by A. Wiggins),2,5
9,1,10:06.0,Shooting foul by T. Gibson (drawn by J. Layman),,2,5
10,1,10:06.0,J. Layman misses free throw 1 of 2,,2,5
11,1,10:06.0,Offensive rebound by Team,,2,5
12,1,10:06.0,J. Layman makes free throw 2 of 2,,3,5
13,1,9:59.0,,Personal foul by C. McCollum (drawn by A. Wiggins),3,5
14,1,9:48.0,,A. Wiggins misses 2-pt jump shot from 10 ft,3,5
15,1,9:44.0,Defensive rebound by J. Nurkić,,3,5
16,1,9:34.0,J. Nurkić misses 2-pt dunk from 2 ft,,3,5
17,1,9:32.0,Offensive rebound by D. Lillard,,3,5
18,1,9:29.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,5,5
19,1,9:05.0,,T. Gibson misses 2-pt layup from 3 ft,5,5
20,1,9:03.0,,Offensive rebound by T. Gibson,5,5
21,1,8:57.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),5,7
22,1,8:45.0,Turnover by A. Aminu (traveling),,5,7
23,1,8:22.0,,A. Wiggins misses 2-pt jump shot from 13 ft,5,7
24,1,8:20.0,,Offensive rebound by T. Gibson,5,7
25,1,8:19.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Gibson),5,10
26,1,8:00.0,D. Lillard makes 2-pt layup from 1 ft,,7,10
27,1,7:51.0,,J. Teague misses 3-pt jump shot from 25 ft,7,10
28,1,7:48.0,Defensive rebound by J. Nurkić,,7,10
29,1,7:41.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,10
30,1,7:37.0,Offensive rebound by J. Nurkić,,7,10
31,1,7:35.0,Turnover by C. McCollum (bad pass; steal by A. Wiggins),,7,10
32,1,7:24.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),7,12
33,1,7:01.0,A. Aminu misses 3-pt jump shot from 23 ft,,7,12
