,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
0,1,11:44.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by M. Turner),,2,0
1,1,11:30.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),2,2
2,1,11:17.0,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),,4,2
3,1,11:00.0,,G. Harris misses 2-pt jump shot from 16 ft,4,2
4,1,10:58.0,Defensive rebound by D. Collison,,4,2
5,1,10:53.0,D. Collison misses 2-pt jump shot from 23 ft,,4,2
6,1,10:50.0,,Defensive rebound by P. Millsap,4,2
7,1,10:39.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),4,5
8,1,10:23.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Collison),,7,5
9,1,10:06.0,,W. Barton misses 3-pt jump shot from 25 ft,7,5
10,1,10:03.0,Defensive rebound by B. Bogdanović,,7,5
11,1,9:56.0,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,10,5
12,1,9:44.0,,J. Murray makes 2-pt jump shot from 8 ft,10,7
13,1,9:30.0,M. Turner misses 2-pt jump shot from 18 ft,,10,7
14,1,9:28.0,,Defensive rebound by P. Millsap,10,7
15,1,9:23.0,,Turnover by J. Murray (bad pass; steal by D. Collison),10,7
16,1,9:17.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Matthews),,12,7
17,1,9:17.0,,Denver full timeout,12,7
18,1,9:01.0,,P. Millsap misses 3-pt jump shot from 25 ft,12,7
19,1,8:57.0,Defensive rebound by M. Turner,,12,7
20,1,8:45.0,M. Turner misses 2-pt jump shot from 14 ft,,12,7
21,1,8:42.0,Offensive rebound by T. Young,,12,7
22,1,8:41.0,T. Young makes 2-pt layup from 2 ft,,14,7
23,1,8:19.0,,P. Millsap misses 2-pt layup from 2 ft (block by W. Matthews),14,7
24,1,8:19.0,Defensive rebound by M. Turner,,14,7
25,1,8:04.0,D. Collison makes 3-pt jump shot from 24 ft (assist by W. Matthews),,17,7
26,1,7:44.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by G. Harris),17,9
27,1,7:25.0,M. Turner misses 3-pt jump shot from 24 ft,,17,9
28,1,7:23.0,,Defensive rebound by J. Murray,17,9
29,1,7:10.0,,N. Jokić makes 2-pt layup from 2 ft,17,11
30,1,6:56.0,Turnover by B. Bogdanović (out of bounds lost ball),,17,11
31,1,6:44.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by N. Jokić),17,13
32,1,6:44.0,,M. Morris enters the game for P. Millsap,17,13
33,1,6:44.0,,M. Plumlee enters the game for J. Murray,17,13
34,1,6:22.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by W. Matthews),,19,13
35,1,6:00.0,,M. Plumlee misses 2-pt hook shot from 5 ft,19,13
36,1,5:57.0,Defensive rebound by B. Bogdanović,,19,13
37,1,5:54.0,B. Bogdanović makes 2-pt layup from 3 ft,,21,13
38,1,5:43.0,,N. Jokić makes 2-pt layup from 3 ft (assist by M. Plumlee),21,15
39,1,5:27.0,Turnover by W. Matthews (bad pass; steal by W. Barton),,21,15
40,1,5:19.0,,N. Jokić misses 3-pt jump shot from 25 ft,21,15
41,1,5:15.0,Defensive rebound by T. Young,,21,15
42,1,4:54.0,D. Collison makes 2-pt jump shot from 20 ft,,23,15
43,1,4:44.0,,Personal foul by M. Turner (drawn by N. Jokić),23,15
44,1,4:44.0,D. Sabonis enters the game for T. Young,,23,15
45,1,4:42.0,,G. Harris misses 3-pt jump shot from 25 ft,23,15
46,1,4:39.0,,Offensive rebound by M. Morris,23,15
47,1,4:38.0,,W. Barton misses 3-pt jump shot from 25 ft,23,15
48,1,4:35.0,,Offensive rebound by Team,23,15
49,1,4:29.0,,Shooting foul by D. Sabonis (drawn by N. Jokić),23,15
50,1,4:29.0,,N. Jokić makes free throw 1 of 2,23,16
51,1,4:29.0,C. Joseph enters the game for B. Bogdanović,,23,16
52,1,4:29.0,,N. Jokić makes free throw 2 of 2,23,17
53,1,4:11.0,M. Turner misses 3-pt jump shot from 25 ft,,23,17
54,1,4:08.0,,Defensive rebound by W. Barton,23,17
55,1,3:53.0,,N. Jokić makes 2-pt jump shot from 7 ft,23,19
56,1,3:46.0,Indiana full timeout,,23,19
57,1,3:46.0,,M. Beasley enters the game for G. Harris,23,19
58,1,3:33.0,D. Collison makes 2-pt jump shot from 18 ft,,25,19
59,1,3:18.0,,N. Jokić misses 2-pt jump shot from 3 ft,25,19
60,1,3:16.0,,Offensive rebound by N. Jokić,25,19
61,1,3:15.0,,N. Jokić makes 2-pt layup from 1 ft,25,21
62,1,3:01.0,Turnover by D. Collison (lost ball; steal by M. Morris),,25,21
63,1,2:51.0,,N. Jokić misses 3-pt jump shot from 26 ft,25,21
64,1,2:47.0,Defensive rebound by W. Matthews,,25,21
65,1,2:29.0,W. Matthews makes 3-pt jump shot from 25 ft,,28,21
66,1,2:12.0,,N. Jokić makes 2-pt jump shot from 3 ft,28,23
67,1,1:58.0,Shooting foul by N. Jokić (drawn by M. Turner),,28,23
68,1,1:58.0,M. Turner makes free throw 1 of 2,,29,23
69,1,1:58.0,T. Evans enters the game for D. Collison,,29,23
