,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:45.0,,D. Wade makes 2-pt dunk from 1 ft (assist by K. Olynyk),0,2
1,1,11:33.0,Shooting foul by G. Dragić (drawn by Z. Smith),,0,2
2,1,11:33.0,Z. Smith makes free throw 1 of 2,,1,2
3,1,11:33.0,Z. Smith makes free throw 2 of 2,,2,2
4,1,11:19.0,,D. Wade misses 2-pt jump shot from 23 ft,2,2
5,1,11:17.0,Defensive rebound by B. Simmons,,2,2
6,1,11:10.0,B. Simmons makes 2-pt layup from 2 ft,,4,2
7,1,11:03.0,,G. Dragić misses 3-pt jump shot from 23 ft,4,2
8,1,11:00.0,Defensive rebound by T. Harris,,4,2
9,1,10:50.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Bolden),,6,2
10,1,10:41.0,,D. Wade misses 3-pt jump shot from 22 ft,6,2
11,1,10:38.0,Defensive rebound by T. Harris,,6,2
12,1,10:38.0,Shooting foul by K. Olynyk (drawn by B. Simmons),,6,2
13,1,10:38.0,B. Simmons makes free throw 1 of 2,,7,2
14,1,10:38.0,B. Simmons makes free throw 2 of 2,,8,2
15,1,10:29.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by G. Dragić),8,5
16,1,10:12.0,T. Harris misses 3-pt jump shot from 25 ft,,8,5
17,1,10:09.0,,Defensive rebound by K. Olynyk,8,5
18,1,9:58.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by G. Dragić),8,8
19,1,9:42.0,Turnover by B. Simmons (bad pass; steal by K. Olynyk),,8,8
20,1,9:33.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Wade),8,10
21,1,9:33.0,,Shooting foul by Z. Smith (drawn by B. Adebayo),8,10
22,1,9:33.0,,B. Adebayo misses free throw 1 of 1,8,10
23,1,9:30.0,Defensive rebound by T. Harris,,8,10
24,1,9:10.0,J. Bolden misses 3-pt jump shot from 25 ft,,8,10
25,1,9:08.0,,Defensive rebound by D. Wade,8,10
