,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
0,1,11:47.0,,D. Favors makes 2-pt jump shot from 20 ft (assist by J. Ingles),0,2
1,1,11:24.0,Z. LaVine misses 2-pt jump shot from 20 ft,,0,2
2,1,11:22.0,,Defensive rebound by D. Favors,0,2
3,1,11:10.0,,Turnover by R. Gobert (lost ball; steal by C. Hutchison),0,2
4,1,11:06.0,Z. LaVine makes 2-pt layup from 2 ft (assist by C. Hutchison),,2,2
5,1,10:47.0,,Shooting foul by Z. LaVine (drawn by R. Gobert),2,2
6,1,10:47.0,,R. Gobert makes free throw 1 of 2,2,3
7,1,10:47.0,,R. Gobert misses free throw 2 of 2,2,3
8,1,10:45.0,Defensive rebound by C. Hutchison,,2,3
9,1,10:34.0,C. Hutchison misses 3-pt jump shot from 25 ft,,2,3
10,1,10:30.0,,Defensive rebound by R. O'Neale,2,3
11,1,10:23.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),2,6
12,1,10:05.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by K. Dunn),,4,6
13,1,9:48.0,,D. Favors misses 2-pt layup from 3 ft (block by Z. LaVine),4,6
14,1,9:46.0,,Offensive rebound by D. Favors,4,6
15,1,9:43.0,,R. O'Neale misses 3-pt jump shot from 24 ft,4,6
16,1,9:41.0,Defensive rebound by Z. LaVine,,4,6
17,1,9:22.0,C. Hutchison misses 2-pt jump shot from 9 ft (block by D. Mitchell),,4,6
18,1,9:22.0,Offensive rebound by C. Hutchison,,4,6
19,1,9:22.0,Turnover by Team (shot clock),,4,6
20,1,9:11.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),4,9
21,1,8:57.0,K. Dunn makes 2-pt jump shot from 10 ft,,6,9
22,1,8:45.0,,D. Mitchell misses 3-pt jump shot from 25 ft,6,9
23,1,8:42.0,Defensive rebound by L. Markkanen,,6,9
24,1,8:38.0,L. Markkanen misses 3-pt jump shot from 27 ft,,6,9
25,1,8:35.0,,Defensive rebound by D. Favors,6,9
26,1,8:21.0,,Personal foul by Z. LaVine (drawn by R. O'Neale),6,9
27,1,8:14.0,,Turnover by D. Mitchell (bad pass; steal by Z. LaVine),6,9
28,1,8:06.0,Z. LaVine misses 2-pt layup from 3 ft,,6,9
29,1,8:04.0,,Defensive rebound by R. Gobert,6,9
30,1,7:50.0,,Turnover by R. Gobert (lost ball; steal by K. Dunn),6,9
31,1,7:50.0,Personal foul by R. O'Neale (drawn by L. Markkanen),,6,9
32,1,7:30.0,C. Hutchison makes 2-pt dunk from 3 ft (assist by W. Carter),,8,9
33,1,7:10.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. O'Neale),8,12
34,1,6:54.0,Turnover by Z. LaVine (bad pass; steal by R. O'Neale),,8,12
35,1,6:49.0,,D. Favors misses 2-pt layup from 1 ft,8,12
36,1,6:49.0,,Offensive rebound by R. Gobert,8,12
37,1,6:49.0,,R. Gobert makes 2-pt dunk at rim,8,14
38,1,6:49.0,Chicago full timeout,,8,14
39,1,6:49.0,R. Arcidiacono enters the game for Z. LaVine,,8,14
40,1,6:49.0,,J. Crowder enters the game for D. Favors,8,14
41,1,6:49.0,,K. Korver enters the game for J. Ingles,8,14
42,1,6:39.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by C. Hutchison),,10,14
43,1,6:24.0,,K. Korver misses 2-pt jump shot from 23 ft,10,14
44,1,6:20.0,Defensive rebound by C. Hutchison,,10,14
45,1,6:12.0,K. Dunn misses 3-pt jump shot from 25 ft,,10,14
46,1,6:08.0,,Defensive rebound by R. O'Neale,10,14
47,1,5:57.0,,D. Mitchell misses 2-pt jump shot from 7 ft (block by K. Dunn),10,14
48,1,5:52.0,Defensive rebound by W. Carter,,10,14
49,1,5:50.0,K. Dunn misses 2-pt jump shot from 11 ft,,10,14
50,1,5:50.0,,Defensive rebound by R. O'Neale,10,14
51,1,5:39.0,,J. Crowder misses 2-pt layup from 2 ft (block by L. Markkanen),10,14
52,1,5:39.0,,Offensive rebound by Team,10,14
53,1,5:28.0,,D. Mitchell misses 3-pt jump shot from 25 ft,10,14
54,1,5:23.0,Defensive rebound by C. Hutchison,,10,14
55,1,5:19.0,W. Carter makes 2-pt jump shot from 15 ft (assist by K. Dunn),,12,14
56,1,5:05.0,,Personal foul by K. Dunn (drawn by D. Mitchell),12,14
57,1,4:55.0,,J. Crowder misses 3-pt jump shot from 25 ft,12,14
58,1,4:51.0,Defensive rebound by L. Markkanen,,12,14
59,1,4:44.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,12,14
60,1,4:41.0,,Defensive rebound by R. O'Neale,12,14
61,1,4:36.0,,R. O'Neale misses 2-pt dunk from 3 ft,12,14
62,1,4:31.0,Defensive rebound by K. Dunn,,12,14
63,1,4:21.0,L. Markkanen misses 2-pt layup from 3 ft,,12,14
64,1,4:17.0,,Defensive rebound by R. Gobert,12,14
65,1,4:13.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by D. Mitchell),12,17
66,1,4:13.0,Chicago full timeout,,12,17
67,1,4:13.0,J. Parker enters the game for C. Hutchison,,12,17
68,1,4:13.0,W. Selden enters the game for L. Markkanen,,12,17
69,1,4:05.0,Shooting foul by R. Gobert (drawn by W. Carter),,12,17
70,1,4:05.0,W. Carter makes free throw 1 of 2,,13,17
71,1,4:05.0,W. Carter misses free throw 2 of 2,,13,17
72,1,4:03.0,,Defensive rebound by K. Korver,13,17
73,1,3:46.0,,J. Crowder misses 3-pt jump shot from 26 ft,13,17
74,1,3:44.0,Defensive rebound by R. Arcidiacono,,13,17
75,1,3:39.0,K. Dunn misses 2-pt layup from 2 ft,,13,17
76,1,3:37.0,,Defensive rebound by R. Gobert,13,17
77,1,3:24.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. O'Neale),13,19
78,1,3:06.0,R. Arcidiacono misses 2-pt jump shot from 7 ft (block by R. O'Neale),,13,19
79,1,3:06.0,Offensive rebound by Team,,13,19
80,1,3:06.0,S. Harrison enters the game for K. Dunn,,13,19
81,1,2:57.0,W. Carter misses 2-pt jump shot from 6 ft (block by R. Gobert),,13,19
82,1,2:57.0,Offensive rebound by W. Carter,,13,19
83,1,2:57.0,Turnover by Team (shot clock),,13,19
84,1,2:45.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. Gobert),13,22
85,1,2:33.0,R. Arcidiacono makes 2-pt jump shot from 14 ft,,15,22
86,1,2:19.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),15,25
87,1,1:59.0,S. Harrison misses 2-pt layup from 4 ft (block by K. Korver),,15,25
88,1,1:59.0,Offensive rebound by Team,,15,25
89,1,1:59.0,,G. Allen enters the game for R. Gobert,15,25
90,1,1:59.0,,D. Favors enters the game for D. Mitchell,15,25
91,1,1:59.0,,J. Ingles enters the game for R. O'Neale,15,25
92,1,1:53.0,W. Selden makes 2-pt jump shot from 9 ft,,17,25
93,1,1:39.0,,J. Ingles misses 3-pt jump shot from 25 ft,17,25
94,1,1:36.0,Defensive rebound by W. Carter,,17,25
95,1,1:20.0,J. Parker misses 2-pt jump shot from 22 ft,,17,25
96,1,1:18.0,,Defensive rebound by Team,17,25
97,1,1:18.0,R. Lopez enters the game for W. Carter,,17,25
98,1,1:18.0,,Utah full timeout,17,25
99,1,1:04.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by J. Ingles),17,27
100,1,0:49.0,J. Parker misses 2-pt jump shot from 10 ft,,17,27
101,1,0:46.0,,Defensive rebound by D. Favors,17,27
102,1,0:37.0,,J. Crowder misses 2-pt layup from 4 ft,17,27
103,1,0:35.0,Defensive rebound by R. Lopez,,17,27
104,1,0:23.0,Turnover by W. Selden (bad pass; steal by D. Favors),,17,27
105,1,0:17.0,,J. Crowder misses 2-pt layup from 2 ft,17,27
106,1,0:14.0,,Offensive rebound by D. Favors,17,27
107,1,0:14.0,,D. Favors makes 2-pt dunk at rim,17,29
108,1,0:01.0,Shooting foul by K. Korver (drawn by R. Arcidiacono),,17,29
109,1,0:01.0,R. Arcidiacono makes free throw 1 of 2,,18,29
110,1,0:01.0,R. Arcidiacono makes free throw 2 of 2,,19,29
111,1,0:00.0,,J. Ingles misses 3-pt jump shot from 41 ft,19,29
112,1,0:00.0,,Offensive rebound by Team,19,29
113,2,11:44.0,Z. LaVine misses 2-pt layup from 3 ft,,19,29
114,2,11:42.0,,Defensive rebound by K. Korver,19,29
115,2,11:35.0,,J. Ingles makes 2-pt layup from 1 ft,19,31
116,2,11:26.0,J. Parker makes 2-pt jump shot from 16 ft (assist by S. Harrison),,21,31
117,2,11:09.0,,D. Favors misses 2-pt layup from 3 ft,21,31
118,2,11:07.0,Defensive rebound by J. Parker,,21,31
119,2,11:00.0,,Violation by Team (kicked ball),21,31
120,2,10:45.0,J. Parker makes 2-pt layup from 3 ft,,23,31
121,2,10:37.0,,J. Crowder misses 3-pt jump shot from 24 ft,23,31
122,2,10:35.0,Defensive rebound by J. Parker,,23,31
123,2,10:29.0,W. Selden makes 2-pt jump shot from 9 ft (assist by J. Parker),,25,31
124,2,10:16.0,,Personal foul by S. Harrison (drawn by D. Favors),25,31
125,2,10:16.0,,G. Niang enters the game for J. Crowder,25,31
126,2,10:16.0,,R. O'Neale enters the game for K. Korver,25,31
127,2,10:09.0,,R. O'Neale misses 3-pt jump shot from 23 ft,25,31
128,2,10:06.0,Defensive rebound by J. Parker,,25,31
129,2,10:00.0,S. Harrison misses 2-pt layup from 9 ft (block by G. Allen),,25,31
130,2,9:59.0,Offensive rebound by Team,,25,31
131,2,9:57.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by S. Harrison),,28,31
132,2,9:38.0,,Shooting foul by S. Harrison (drawn by G. Allen),28,31
133,2,9:38.0,,G. Allen makes free throw 1 of 2,28,32
134,2,9:38.0,K. Dunn enters the game for S. Harrison,,28,32
135,2,9:38.0,,G. Allen makes free throw 2 of 2,28,33
136,2,9:21.0,J. Parker makes 3-pt jump shot from 26 ft (assist by K. Dunn),,31,33
137,2,9:04.0,,D. Favors misses 2-pt dunk from 2 ft (block by K. Dunn),31,33
138,2,9:04.0,,Offensive rebound by Team,31,33
139,2,9:04.0,,R. Gobert enters the game for D. Favors,31,33
140,2,9:04.0,,D. Mitchell enters the game for J. Ingles,31,33
141,2,8:54.0,,Turnover by G. Niang (bad pass; steal by K. Dunn),31,33
142,2,8:50.0,K. Dunn misses 2-pt layup from 2 ft,,31,33
143,2,8:45.0,Offensive rebound by W. Selden,,31,33
144,2,8:45.0,W. Selden makes 2-pt layup from 1 ft,,33,33
145,2,8:45.0,,Utah full timeout,33,33
146,2,8:29.0,,Turnover by R. Gobert (lost ball; steal by K. Dunn),33,33
147,2,8:17.0,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),,35,33
148,2,7:53.0,,R. O'Neale misses 2-pt jump shot from 15 ft,35,33
149,2,7:50.0,Defensive rebound by J. Parker,,35,33
