,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:51.0,Personal foul by D. Waiters (drawn by C. LeVert),,0,0
1,1,11:44.0,C. LeVert misses 2-pt jump shot from 5 ft (block by B. Adebayo),,0,0
2,1,11:41.0,,Defensive rebound by B. Adebayo,0,0
3,1,11:35.0,,D. Waiters misses 2-pt layup from 2 ft,0,0
4,1,11:34.0,,Offensive rebound by B. Adebayo,0,0
5,1,11:34.0,,Shooting foul by J. Allen (drawn by B. Adebayo),0,0
6,1,11:34.0,,B. Adebayo makes free throw 1 of 2,0,1
7,1,11:34.0,,B. Adebayo makes free throw 2 of 2,0,2
8,1,11:16.0,T. Graham makes 2-pt layup from 1 ft (assist by D. Russell),,2,2
9,1,10:59.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by B. Adebayo),2,5
10,1,10:47.0,Turnover by J. Harris (traveling),,2,5
11,1,10:32.0,,B. Adebayo makes 2-pt jump shot from 11 ft (assist by D. Waiters),2,7
12,1,10:18.0,D. Russell makes 2-pt jump shot from 10 ft,,4,7
13,1,10:12.0,,Personal foul by C. LeVert (drawn by D. Waiters),4,7
14,1,10:05.0,,J. Richardson misses 2-pt jump shot from 12 ft (block by J. Harris),4,7
15,1,10:00.0,,Offensive rebound by B. Adebayo,4,7
16,1,9:55.0,,B. Adebayo misses 2-pt layup from 1 ft,4,7
17,1,9:52.0,,Offensive rebound by B. Adebayo,4,7
18,1,9:52.0,,B. Adebayo makes 2-pt layup from 1 ft,4,9
19,1,9:50.0,T. Graham misses 3-pt jump shot from 25 ft,,4,9
20,1,9:47.0,,Defensive rebound by J. Winslow,4,9
21,1,9:38.0,,D. Waiters misses 3-pt jump shot from 24 ft,4,9
22,1,9:36.0,Defensive rebound by J. Harris,,4,9
23,1,9:21.0,D. Russell makes 2-pt jump shot from 14 ft,,6,9
24,1,9:07.0,,J. Richardson misses 3-pt jump shot from 24 ft,6,9
25,1,9:07.0,Defensive rebound by J. Allen,,6,9
26,1,8:47.0,J. Allen misses 3-pt jump shot from 24 ft,,6,9
27,1,8:43.0,Offensive rebound by T. Graham,,6,9
28,1,8:41.0,J. Harris misses 3-pt jump shot from 25 ft,,6,9
29,1,8:39.0,Offensive rebound by Team,,6,9
30,1,8:30.0,D. Russell misses 2-pt jump shot from 17 ft,,6,9
31,1,8:27.0,,Defensive rebound by D. Waiters,6,9
32,1,8:23.0,,D. Waiters misses 2-pt layup from 1 ft,6,9
33,1,8:20.0,Defensive rebound by C. LeVert,,6,9
34,1,8:16.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,9,9
35,1,7:54.0,,J. Richardson makes 2-pt jump shot from 11 ft,9,11
36,1,7:43.0,D. Russell misses 2-pt jump shot from 14 ft,,9,11
37,1,7:40.0,,Defensive rebound by B. Adebayo,9,11
38,1,7:31.0,,J. Winslow makes 2-pt layup from 1 ft (assist by J. Richardson),9,13
39,1,7:20.0,C. LeVert makes 2-pt layup from 2 ft,,11,13
40,1,7:01.0,,J. Richardson makes 2-pt jump shot from 18 ft,11,15
41,1,6:44.0,J. Allen makes 2-pt layup from 1 ft (assist by C. LeVert),,13,15
42,1,6:27.0,,J. Winslow makes 2-pt jump shot from 5 ft,13,17
43,1,6:10.0,T. Graham misses 2-pt layup from 2 ft (block by K. Olynyk),,13,17
44,1,6:06.0,,Defensive rebound by K. Olynyk,13,17
45,1,6:03.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),13,20
46,1,6:02.0,Brooklyn full timeout,,13,20
47,1,6:02.0,A. Crabbe enters the game for T. Graham,,13,20
48,1,6:02.0,R. Kurucs enters the game for C. LeVert,,13,20
49,1,5:48.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,16,20
50,1,5:29.0,,J. Winslow makes 2-pt layup from 2 ft,16,22
51,1,5:19.0,J. Harris misses 3-pt jump shot from 25 ft,,16,22
52,1,5:12.0,,Defensive rebound by D. Waiters,16,22
53,1,5:06.0,,Turnover by D. Waiters (bad pass; steal by D. Russell),16,22
54,1,5:00.0,A. Crabbe misses 3-pt jump shot from 25 ft,,16,22
55,1,4:56.0,,Defensive rebound by B. Adebayo,16,22
56,1,4:40.0,,B. Adebayo misses 2-pt jump shot from 10 ft,16,22
57,1,4:37.0,Defensive rebound by A. Crabbe,,16,22
58,1,4:34.0,Personal foul by B. Adebayo (drawn by D. Russell),,16,22
59,1,4:34.0,D. Carroll enters the game for J. Allen,,16,22
60,1,4:34.0,E. Davis enters the game for J. Harris,,16,22
61,1,4:34.0,S. Dinwiddie enters the game for D. Russell,,16,22
62,1,4:34.0,,D. Jones enters the game for K. Olynyk,16,22
63,1,4:34.0,,R. McGruder enters the game for J. Richardson,16,22
64,1,4:34.0,,D. Wade enters the game for D. Waiters,16,22
65,1,4:26.0,A. Crabbe misses 3-pt jump shot from 26 ft,,16,22
66,1,4:24.0,,Defensive rebound by B. Adebayo,16,22
67,1,4:06.0,,J. Winslow misses 3-pt jump shot from 25 ft,16,22
68,1,4:03.0,Defensive rebound by D. Carroll,,16,22
69,1,3:50.0,Turnover by S. Dinwiddie (lost ball; steal by D. Wade),,16,22
70,1,3:48.0,,Turnover by R. McGruder (traveling),16,22
71,1,3:34.0,R. Kurucs makes 2-pt dunk from 2 ft,,18,22
72,1,3:33.0,,Miami full timeout,18,22
