,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
0,1,11:47.0,,D. Favors misses 2-pt layup from 3 ft,0,0
1,1,11:45.0,Defensive rebound by I. Zubac,,0,0
2,1,11:31.0,L. Shamet misses 3-pt jump shot from 24 ft,,0,0
3,1,11:28.0,,Defensive rebound by R. Gobert,0,0
4,1,11:21.0,,Shooting foul by P. Beverley (drawn by D. Mitchell),0,0
5,1,11:21.0,,D. Mitchell makes free throw 1 of 2,0,1
6,1,11:21.0,,D. Mitchell makes free throw 2 of 2,0,2
7,1,11:11.0,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,,2,2
8,1,10:57.0,,D. Favors makes 2-pt jump shot from 19 ft (assist by D. Mitchell),2,4
9,1,10:44.0,I. Zubac misses 2-pt jump shot from 20 ft,,2,4
10,1,10:41.0,,Defensive rebound by D. Favors,2,4
11,1,10:31.0,,D. Mitchell misses 2-pt jump shot from 8 ft,2,4
12,1,10:28.0,,Offensive rebound by D. Favors,2,4
13,1,10:23.0,,Turnover by R. Rubio (bad pass; steal by I. Zubac),2,4
14,1,10:18.0,I. Zubac makes 2-pt dunk from 2 ft (assist by P. Beverley),,4,4
15,1,9:59.0,,R. Rubio misses 3-pt jump shot from 25 ft,4,4
16,1,9:52.0,Defensive rebound by L. Shamet,,4,4
17,1,9:50.0,Shooting foul by J. Ingles (drawn by L. Shamet),,4,4
18,1,9:50.0,L. Shamet makes free throw 1 of 3,,5,4
19,1,9:50.0,L. Shamet misses free throw 2 of 3,,5,4
20,1,9:50.0,Offensive rebound by Team,,5,4
21,1,9:50.0,L. Shamet makes free throw 3 of 3,,6,4
22,1,9:34.0,,R. Rubio misses 2-pt jump shot from 16 ft,6,4
23,1,9:32.0,Defensive rebound by L. Shamet,,6,4
24,1,9:25.0,Personal foul by D. Mitchell (drawn by P. Beverley),,6,4
25,1,9:21.0,Personal foul by D. Favors (drawn by I. Zubac),,6,4
26,1,9:07.0,Turnover by Team (shot clock),,6,4
27,1,8:54.0,,R. Rubio misses 2-pt layup from 2 ft (block by I. Zubac),6,4
28,1,8:54.0,,Offensive rebound by Team,6,4
29,1,8:52.0,,D. Favors misses 2-pt jump shot from 11 ft,6,4
30,1,8:50.0,Defensive rebound by I. Zubac,,6,4
31,1,8:45.0,P. Beverley makes 3-pt jump shot from 25 ft,,9,4
32,1,8:27.0,,Shooting foul by I. Zubac (drawn by R. Gobert),9,4
33,1,8:27.0,,R. Gobert makes free throw 1 of 2,9,5
34,1,8:27.0,,R. Gobert misses free throw 2 of 2,9,5
35,1,8:26.0,Defensive rebound by S. Gilgeous-Alexander,,9,5
36,1,8:16.0,D. Gallinari misses 3-pt jump shot from 25 ft,,9,5
37,1,8:12.0,Offensive rebound by P. Beverley,,9,5
38,1,8:07.0,Shooting foul by D. Favors (drawn by D. Gallinari),,9,5
39,1,8:07.0,D. Gallinari makes free throw 1 of 2,,10,5
40,1,8:07.0,,J. Crowder enters the game for D. Favors,10,5
41,1,8:07.0,D. Gallinari makes free throw 2 of 2,,11,5
42,1,7:52.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Crowder),11,8
43,1,7:26.0,D. Gallinari makes 2-pt jump shot from 9 ft,,13,8
44,1,7:19.0,,J. Ingles misses 3-pt jump shot from 26 ft,13,8
45,1,7:15.0,Defensive rebound by D. Gallinari,,13,8
46,1,7:09.0,D. Gallinari makes 2-pt jump shot from 15 ft,,15,8
47,1,6:59.0,,Utah full timeout,15,8
48,1,6:59.0,,R. O'Neale enters the game for J. Ingles,15,8
49,1,6:55.0,,D. Mitchell misses 3-pt jump shot from 25 ft,15,8
50,1,6:52.0,,Offensive rebound by Team,15,8
51,1,6:46.0,,D. Mitchell misses 3-pt jump shot from 24 ft,15,8
52,1,6:41.0,Defensive rebound by D. Gallinari,,15,8
53,1,6:34.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,15,8
54,1,6:31.0,,Defensive rebound by J. Crowder,15,8
55,1,6:27.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. Rubio),15,8
56,1,6:19.0,,D. Mitchell misses 2-pt jump shot from 9 ft,15,8
57,1,6:17.0,Defensive rebound by I. Zubac,,15,8
58,1,6:09.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,17,8
59,1,5:51.0,,R. Rubio makes 2-pt layup from 3 ft,17,10
60,1,5:29.0,S. Gilgeous-Alexander makes 2-pt jump shot from 21 ft,,19,10
61,1,5:14.0,,R. Rubio misses 2-pt jump shot from 9 ft (block by S. Gilgeous-Alexander),19,10
62,1,5:14.0,,Offensive rebound by Team,19,10
63,1,5:14.0,,K. Korver enters the game for R. Rubio,19,10
64,1,5:12.0,,J. Crowder misses 2-pt layup from 2 ft (block by D. Gallinari),19,10
65,1,5:08.0,Defensive rebound by P. Beverley,,19,10
66,1,5:04.0,I. Zubac makes 2-pt hook shot from 6 ft (assist by P. Beverley),,21,10
67,1,4:51.0,,Turnover by D. Mitchell (bad pass; steal by P. Beverley),21,10
68,1,4:45.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by I. Zubac),,24,10
69,1,4:43.0,,Utah full timeout,24,10
70,1,4:27.0,,Turnover by R. O'Neale (bad pass; steal by D. Gallinari),24,10
71,1,4:26.0,Personal take foul by J. Crowder (drawn by D. Gallinari),,24,10
72,1,4:26.0,D. Gallinari makes free throw 1 of 2,,25,10
73,1,4:26.0,D. Gallinari makes free throw 2 of 2,,26,10
74,1,4:21.0,,Personal foul by S. Gilgeous-Alexander (drawn by R. O'Neale),26,10
75,1,4:21.0,L. Williams enters the game for S. Gilgeous-Alexander,,26,10
76,1,4:14.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),26,12
77,1,3:57.0,D. Gallinari misses 2-pt layup from 14 ft,,26,12
78,1,3:57.0,Offensive rebound by D. Gallinari,,26,12
