,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),,2,0
1,1,11:26.0,,A. Bradley makes 2-pt jump shot from 16 ft (assist by D. Gallinari),2,2
2,1,11:09.0,K. Anderson makes 2-pt layup from 2 ft (assist by J. Jackson),,4,2
3,1,10:55.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by M. Gortat),4,4
4,1,10:46.0,Turnover by G. Temple (out of bounds lost ball),,4,4
5,1,10:31.0,,M. Gortat makes 2-pt jump shot from 6 ft (assist by D. Gallinari),4,6
6,1,10:10.0,K. Anderson makes 2-pt layup from 1 ft (assist by J. Jackson),,6,6
7,1,9:56.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,6,6
8,1,9:54.0,Defensive rebound by M. Gasol,,6,6
9,1,9:36.0,K. Anderson misses 2-pt jump shot from 4 ft,,6,6
10,1,9:34.0,,Defensive rebound by D. Gallinari,6,6
11,1,9:25.0,,D. Gallinari misses 2-pt jump shot from 20 ft,6,6
12,1,9:23.0,Defensive rebound by M. Conley,,6,6
13,1,9:10.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by M. Gasol),,9,6
14,1,8:49.0,,T. Harris misses 2-pt jump shot from 17 ft,9,6
15,1,8:47.0,Defensive rebound by M. Gasol,,9,6
16,1,8:44.0,Shooting foul by D. Gallinari (drawn by J. Jackson),,9,6
17,1,8:44.0,,LA Clippers full timeout,9,6
18,1,8:44.0,J. Jackson makes free throw 1 of 2,,10,6
19,1,8:44.0,J. Jackson misses free throw 2 of 2,,10,6
20,1,8:41.0,,Defensive rebound by M. Gortat,10,6
21,1,8:21.0,,D. Gallinari misses 2-pt layup from 2 ft (block by J. Jackson),10,6
22,1,8:21.0,Defensive rebound by Team,,10,6
23,1,8:05.0,G. Temple misses 2-pt jump shot from 5 ft,,10,6
24,1,8:02.0,,Defensive rebound by D. Gallinari,10,6
25,1,7:55.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,10,8
26,1,7:33.0,J. Jackson misses 3-pt jump shot from 23 ft,,10,8
27,1,7:31.0,Offensive rebound by G. Temple,,10,8
28,1,7:30.0,J. Jackson misses 2-pt jump shot from 14 ft,,10,8
29,1,7:30.0,Offensive rebound by Team,,10,8
30,1,7:30.0,Turnover by Team (shot clock),,10,8
31,1,7:18.0,,M. Gortat makes 2-pt dunk from 1 ft (assist by A. Bradley),10,10
32,1,7:00.0,Turnover by J. Jackson (traveling),,10,10
33,1,6:43.0,,M. Gortat misses 2-pt hook shot from 2 ft,10,10
34,1,6:38.0,Defensive rebound by M. Gasol,,10,10
35,1,6:27.0,K. Anderson makes 3-pt jump shot from 23 ft (assist by M. Gasol),,13,10
36,1,6:16.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft (block by M. Gasol),13,10
37,1,6:16.0,,Offensive rebound by Team,13,10
38,1,6:16.0,J. Green enters the game for J. Jackson,,13,10
39,1,6:12.0,,D. Gallinari misses 2-pt jump shot from 16 ft,13,10
40,1,6:07.0,Defensive rebound by M. Gasol,,13,10
41,1,5:57.0,M. Gasol misses 2-pt jump shot from 10 ft,,13,10
42,1,5:54.0,,Defensive rebound by Team,13,10
43,1,5:41.0,,A. Bradley misses 3-pt jump shot from 23 ft,13,10
44,1,5:39.0,Defensive rebound by J. Green,,13,10
45,1,5:29.0,J. Green misses 2-pt jump shot from 17 ft,,13,10
46,1,5:27.0,,Defensive rebound by T. Harris,13,10
47,1,5:16.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,13,10
48,1,5:13.0,Defensive rebound by J. Green,,13,10
49,1,5:00.0,M. Conley misses 3-pt jump shot from 26 ft,,13,10
50,1,4:57.0,,Defensive rebound by D. Gallinari,13,10
51,1,4:51.0,,T. Harris makes 2-pt jump shot from 16 ft,13,12
52,1,4:27.0,K. Anderson misses 2-pt layup from 3 ft (block by D. Gallinari),,13,12
53,1,4:24.0,,Defensive rebound by M. Gortat,13,12
54,1,4:22.0,,D. Gallinari makes 2-pt dunk at rim (assist by T. Harris),13,14
55,1,4:21.0,Memphis full timeout,,13,14
56,1,4:21.0,S. Mack enters the game for M. Conley,,13,14
57,1,4:21.0,W. Selden enters the game for G. Temple,,13,14
58,1,4:09.0,M. Gasol misses 2-pt hook shot from 9 ft,,13,14
59,1,4:06.0,,Defensive rebound by T. Harris,13,14
60,1,3:51.0,,D. Gallinari misses 2-pt jump shot from 8 ft,13,14
61,1,3:48.0,Defensive rebound by M. Gasol,,13,14
62,1,3:48.0,O. Casspi enters the game for K. Anderson,,13,14
63,1,3:48.0,,M. Harrell enters the game for A. Bradley,13,14
64,1,3:48.0,,L. Williams enters the game for M. Gortat,13,14
