,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:43.0,,G. Harris misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,,Offensive rebound by N. Jokić,0,0
2,1,11:38.0,,N. Jokić misses 2-pt layup from 2 ft,0,0
3,1,11:36.0,Defensive rebound by D. White,,0,0
4,1,11:17.0,J. Poeltl makes 2-pt hook shot from 9 ft (assist by B. Forbes),,2,0
5,1,11:02.0,,Turnover by N. Jokić (traveling),2,0
6,1,10:46.0,L. Aldridge misses 2-pt jump shot from 6 ft,,2,0
7,1,10:45.0,Offensive rebound by J. Poeltl,,2,0
8,1,10:41.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by J. Poeltl),,4,0
9,1,10:27.0,,N. Jokić makes 2-pt dunk from 1 ft (assist by J. Murray),4,2
10,1,10:11.0,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. White),,7,2
11,1,9:58.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),7,5
12,1,9:34.0,D. DeRozan makes 2-pt jump shot from 18 ft,,9,5
13,1,9:18.0,,P. Millsap misses 2-pt layup from 4 ft (block by L. Aldridge),9,5
14,1,9:18.0,,Offensive rebound by Team,9,5
15,1,9:12.0,,J. Murray misses 3-pt jump shot from 25 ft,9,5
16,1,9:09.0,Defensive rebound by J. Poeltl,,9,5
17,1,9:02.0,B. Forbes misses 3-pt jump shot from 25 ft,,9,5
18,1,8:58.0,,Defensive rebound by N. Jokić,9,5
19,1,8:43.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Murray),9,8
20,1,8:32.0,D. DeRozan misses 2-pt layup from 4 ft,,9,8
21,1,8:30.0,,Defensive rebound by T. Craig,9,8
22,1,8:26.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),9,11
23,1,8:03.0,,Defensive rebound by Team,9,11
24,1,8:03.0,D. White misses 2-pt layup from 4 ft (block by N. Jokić),,9,11
25,1,7:59.0,,Turnover by J. Murray (lost ball; steal by D. White),9,11
26,1,7:42.0,D. White makes 2-pt layup from 1 ft,,11,11
27,1,7:22.0,,N. Jokić misses 3-pt jump shot from 25 ft,11,11
28,1,7:20.0,Defensive rebound by L. Aldridge,,11,11
29,1,7:17.0,San Antonio full timeout,,11,11
30,1,7:17.0,Turnover by (5 sec),,11,11
31,1,7:00.0,,Turnover by N. Jokić (out of bounds lost ball),11,11
32,1,6:50.0,Personal foul by P. Millsap (drawn by D. DeRozan),,11,11
33,1,6:40.0,D. White misses 2-pt jump shot from 5 ft,,11,11
34,1,6:38.0,,Defensive rebound by P. Millsap,11,11
35,1,6:33.0,,P. Millsap misses 2-pt layup from 5 ft,11,11
36,1,6:30.0,Defensive rebound by D. White,,11,11
