,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,,B. Simmons makes 2-pt layup from 2 ft,0,2
1,1,11:37.0,T. Young misses 2-pt layup from 2 ft,,0,2
2,1,11:35.0,,Defensive rebound by B. Simmons,0,2
3,1,11:28.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Embiid),0,4
4,1,11:00.0,M. Turner misses 2-pt jump shot from 15 ft,,0,4
5,1,10:57.0,,Defensive rebound by B. Simmons,0,4
6,1,10:45.0,,F. Korkmaz misses 2-pt jump shot from 10 ft,0,4
7,1,10:40.0,,Offensive rebound by J. Embiid,0,4
8,1,10:40.0,,J. Embiid makes 2-pt layup from 1 ft,0,6
9,1,10:27.0,M. Turner misses 2-pt jump shot from 11 ft,,0,6
10,1,10:24.0,,Defensive rebound by B. Simmons,0,6
11,1,10:20.0,,Personal take foul by B. Bogdanović (drawn by B. Simmons),0,6
12,1,10:07.0,,J. Embiid misses 2-pt layup from 1 ft,0,6
13,1,10:07.0,,Offensive rebound by J. Embiid,0,6
14,1,10:07.0,,Shooting foul by M. Turner (drawn by J. Embiid),0,6
15,1,10:07.0,,J. Embiid misses free throw 1 of 2,0,6
16,1,10:07.0,,Offensive rebound by Team,0,6
17,1,10:07.0,,J. Embiid makes free throw 2 of 2,0,7
18,1,9:56.0,T. Young misses 2-pt jump shot from 13 ft,,0,7
19,1,9:53.0,,Defensive rebound by B. Simmons,0,7
20,1,9:47.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),0,10
21,1,9:33.0,D. Collison makes 2-pt layup from 2 ft,,2,10
22,1,9:22.0,,F. Korkmaz misses 3-pt jump shot from 24 ft,2,10
23,1,9:20.0,Defensive rebound by M. Turner,,2,10
24,1,9:11.0,T. Young misses 3-pt jump shot from 26 ft,,2,10
25,1,9:08.0,,Defensive rebound by Team,2,10
26,1,8:53.0,,J. Redick makes 2-pt jump shot from 21 ft,2,12
27,1,8:47.0,Personal take foul by F. Korkmaz (drawn by B. Bogdanović),,2,12
28,1,8:47.0,Indiana full timeout,,2,12
29,1,8:34.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,4,12
30,1,8:22.0,,Turnover by J. Embiid (bad pass; steal by V. Oladipo),4,12
31,1,8:22.0,Clear path foul by J. Redick,,4,12
32,1,8:22.0,V. Oladipo makes clear path free throw 1 of 2,,5,12
33,1,8:22.0,V. Oladipo makes clear path free throw 2 of 2,,6,12
34,1,8:09.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),,8,12
35,1,7:55.0,,W. Chandler misses 3-pt jump shot from 26 ft,8,12
36,1,7:51.0,,Offensive rebound by B. Simmons,8,12
37,1,7:48.0,,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),8,14
38,1,7:41.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,8,14
39,1,7:38.0,,Defensive rebound by J. Embiid,8,14
40,1,7:32.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by B. Simmons),8,17
41,1,7:04.0,V. Oladipo misses 2-pt layup from 3 ft,,8,17
42,1,7:01.0,,Defensive rebound by J. Embiid,8,17
43,1,6:55.0,,J. Embiid misses 3-pt jump shot from 25 ft,8,17
44,1,6:52.0,Defensive rebound by T. Young,,8,17
45,1,6:44.0,Personal foul by F. Korkmaz (drawn by T. Young),,8,17
46,1,6:44.0,D. Sabonis enters the game for T. Young,,8,17
47,1,6:44.0,,T. McConnell enters the game for W. Chandler,8,17
48,1,6:44.0,,M. Muscala enters the game for J. Embiid,8,17
49,1,6:44.0,,L. Shamet enters the game for F. Korkmaz,8,17
50,1,6:39.0,D. Sabonis makes 2-pt jump shot from 13 ft (assist by V. Oladipo),,10,17
51,1,6:20.0,,B. Simmons misses 2-pt jump shot from 5 ft,10,17
52,1,6:18.0,Defensive rebound by D. Collison,,10,17
53,1,6:17.0,Shooting foul by L. Shamet (drawn by D. Collison),,10,17
54,1,6:17.0,D. Collison misses free throw 1 of 2,,10,17
55,1,6:17.0,Offensive rebound by Team,,10,17
56,1,6:17.0,D. Collison makes free throw 2 of 2,,11,17
57,1,6:10.0,,Turnover by T. McConnell (bad pass),11,17
58,1,5:59.0,,Violation by Team (kicked ball),11,17
59,1,5:47.0,D. Sabonis makes 2-pt hook shot from 5 ft (assist by V. Oladipo),,13,17
60,1,5:46.0,,Philadelphia full timeout,13,17
61,1,5:42.0,,Shooting foul by M. Turner (drawn by B. Simmons),13,17
62,1,5:42.0,,B. Simmons makes free throw 1 of 2,13,18
63,1,5:42.0,T. Young enters the game for M. Turner,,13,18
64,1,5:42.0,,B. Simmons misses free throw 2 of 2,13,18
65,1,5:40.0,Defensive rebound by D. Sabonis,,13,18
66,1,5:26.0,V. Oladipo misses 2-pt jump shot from 16 ft,,13,18
67,1,5:23.0,,Defensive rebound by L. Shamet,13,18
68,1,5:18.0,,J. Redick misses 3-pt jump shot from 24 ft,13,18
69,1,5:15.0,Defensive rebound by D. Sabonis,,13,18
70,1,5:07.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by D. Collison),,15,18
