,QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,Shooting foul by I. Canaan (drawn by P. George),0,0
1,1,11:46.0,,P. George misses free throw 1 of 2,0,0
2,1,11:46.0,,Offensive rebound by Team,0,0
3,1,11:46.0,,P. George makes free throw 2 of 2,0,1
4,1,11:33.0,Turnover by R. Anderson (bad pass; steal by R. Westbrook),,0,1
5,1,11:14.0,,R. Westbrook misses 2-pt jump shot from 16 ft,0,1
6,1,11:10.0,,Offensive rebound by N. Noel,0,1
7,1,11:10.0,,N. Noel makes 2-pt dunk from 1 ft,0,3
8,1,10:56.0,J. Jackson makes 2-pt jump shot from 19 ft,,2,3
9,1,10:37.0,,R. Westbrook misses 2-pt layup from 1 ft (block by J. Jackson),2,3
10,1,10:35.0,,Offensive rebound by R. Westbrook,2,3
11,1,10:34.0,,Turnover by R. Westbrook (bad pass; steal by I. Canaan),2,3
12,1,10:30.0,T. Ariza misses 2-pt layup from 2 ft (block by P. George),,2,3
13,1,10:28.0,,Defensive rebound by N. Noel,2,3
14,1,10:17.0,,J. Grant misses 3-pt jump shot from 25 ft,2,3
15,1,10:12.0,Defensive rebound by I. Canaan,,2,3
16,1,10:04.0,D. Ayton makes 2-pt layup from 1 ft (assist by I. Canaan),,4,3
17,1,9:52.0,,P. George misses 3-pt jump shot from 25 ft,4,3
18,1,9:50.0,Defensive rebound by D. Ayton,,4,3
19,1,9:29.0,I. Canaan misses 2-pt layup from 3 ft,,4,3
20,1,9:27.0,,Defensive rebound by N. Noel,4,3
21,1,9:23.0,,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),4,5
22,1,9:09.0,Shooting foul by N. Noel (drawn by T. Ariza),,4,5
23,1,9:09.0,T. Ariza makes free throw 1 of 2,,5,5
24,1,9:09.0,T. Ariza makes free throw 2 of 2,,6,5
25,1,9:00.0,,Turnover by R. Westbrook (lost ball; steal by T. Ariza),6,5
26,1,8:56.0,J. Jackson makes 2-pt layup from 3 ft (assist by I. Canaan),,8,5
27,1,8:46.0,,Technical foul by R. Westbrook,8,5
28,1,8:46.0,T. Ariza makes technical free throw,,9,5
29,1,8:37.0,,J. Grant misses 2-pt layup from 1 ft,9,5
30,1,8:33.0,,Offensive rebound by N. Noel,9,5
31,1,8:33.0,,N. Noel makes 2-pt layup at rim,9,7
32,1,8:21.0,Turnover by T. Ariza (bad pass; steal by T. Ferguson),,9,7
33,1,8:17.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by P. George),9,9
34,1,7:49.0,R. Anderson misses 2-pt layup from 3 ft (block by N. Noel),,9,9
35,1,7:46.0,,Defensive rebound by J. Grant,9,9
36,1,7:33.0,,R. Westbrook misses 2-pt jump shot from 13 ft,9,9
37,1,7:29.0,Defensive rebound by D. Ayton,,9,9
38,1,7:23.0,I. Canaan misses 2-pt layup from 2 ft,,9,9
39,1,7:23.0,Offensive rebound by D. Ayton,,9,9
40,1,7:23.0,D. Ayton makes 2-pt dunk from 1 ft,,11,9
41,1,7:11.0,,P. George makes 2-pt jump shot from 22 ft,11,11
42,1,6:59.0,Turnover by T. Ariza (offensive foul),,11,11
43,1,6:59.0,Offensive foul by T. Ariza (drawn by J. Grant),,11,11
44,1,6:59.0,,Oklahoma City full timeout,11,11
45,1,6:51.0,,Turnover by R. Westbrook (bad pass; steal by D. Ayton),11,11
46,1,6:31.0,D. Ayton misses 2-pt hook shot from 5 ft,,11,11
47,1,6:27.0,Offensive rebound by R. Anderson,,11,11
48,1,6:27.0,R. Anderson makes 2-pt layup from 1 ft,,13,11
49,1,6:23.0,,Personal take foul by J. Jackson (drawn by R. Westbrook),13,11
50,1,6:23.0,E. Okobo enters the game for I. Canaan,,13,11
51,1,6:10.0,,Turnover by P. George (lost ball; steal by R. Anderson),13,11
52,1,6:10.0,Personal foul by P. George (drawn by R. Anderson),,13,11
53,1,5:53.0,E. Okobo misses 3-pt jump shot from 26 ft,,13,11
54,1,5:48.0,,Defensive rebound by R. Westbrook,13,11
55,1,5:42.0,,T. Ferguson misses 3-pt jump shot from 25 ft,13,11
56,1,5:40.0,Defensive rebound by T. Ariza,,13,11
57,1,5:40.0,,P. Patterson enters the game for N. Noel,13,11
58,1,5:24.0,E. Okobo makes 2-pt dunk from 1 ft (assist by T. Ariza),,15,11
59,1,5:15.0,,P. Patterson misses 3-pt jump shot from 24 ft,15,11
60,1,5:13.0,,Offensive rebound by J. Grant,15,11
61,1,5:10.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by J. Grant),15,14
62,1,4:51.0,D. Ayton misses 2-pt hook shot from 6 ft,,15,14
63,1,4:49.0,Offensive rebound by E. Okobo,,15,14
64,1,4:48.0,J. Jackson misses 3-pt jump shot from 26 ft,,15,14
65,1,4:44.0,,Defensive rebound by P. George,15,14
66,1,4:39.0,,P. George misses 2-pt layup from 1 ft,15,14
67,1,4:37.0,Defensive rebound by D. Ayton,,15,14
68,1,4:27.0,Shooting foul by T. Ferguson (drawn by R. Anderson),,15,14
69,1,4:27.0,R. Anderson makes free throw 1 of 2,,16,14
70,1,4:27.0,,D. Schröder enters the game for T. Ferguson,16,14
71,1,4:27.0,R. Anderson makes free throw 2 of 2,,17,14
72,1,4:14.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by P. George),17,17
73,1,3:54.0,R. Anderson misses 3-pt jump shot from 29 ft,,17,17
74,1,3:50.0,,Defensive rebound by P. Patterson,17,17
75,1,3:49.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),17,19
76,1,3:48.0,Phoenix full timeout,,17,19
77,1,3:48.0,T. Chandler enters the game for D. Ayton,,17,19
78,1,3:37.0,J. Jackson misses 2-pt dunk from 1 ft,,17,19
79,1,3:36.0,,Defensive rebound by J. Grant,17,19
80,1,3:29.0,,R. Westbrook misses 2-pt dunk from 1 ft,17,19
81,1,3:29.0,Defensive rebound by Team,,17,19
82,1,3:13.0,Turnover by J. Jackson (lost ball; steal by J. Grant),,17,19
83,1,3:07.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),17,22
84,1,2:51.0,Personal foul by P. Patterson (drawn by T. Ariza),,17,22
85,1,2:51.0,M. Bridges enters the game for R. Anderson,,17,22
86,1,2:51.0,J. Crawford enters the game for T. Ariza,,17,22
87,1,2:51.0,T. Warren enters the game for J. Jackson,,17,22
88,1,2:51.0,,Á. Abrines enters the game for J. Grant,17,22
89,1,2:51.0,,N. Noel enters the game for R. Westbrook,17,22
90,1,2:41.0,M. Bridges misses 3-pt jump shot from 23 ft,,17,22
91,1,2:39.0,,Defensive rebound by D. Schröder,17,22
92,1,2:32.0,,D. Schröder misses 2-pt jump shot from 8 ft,17,22
93,1,2:28.0,,Offensive rebound by N. Noel,17,22
94,1,2:28.0,,N. Noel makes 2-pt layup at rim,17,24
95,1,2:17.0,Turnover by E. Okobo (bad pass; steal by N. Noel),,17,24
96,1,2:16.0,,Personal foul by J. Crawford (drawn by D. Schröder),17,24
97,1,2:08.0,,N. Noel misses 2-pt layup from 2 ft (block by T. Chandler),17,24
98,1,2:06.0,Defensive rebound by J. Crawford,,17,24
99,1,1:56.0,T. Warren makes 3-pt jump shot from 23 ft (assist by E. Okobo),,20,24
100,1,1:41.0,,P. George makes 2-pt jump shot from 16 ft,20,26
101,1,1:24.0,T. Warren misses 2-pt layup from 3 ft,,20,26
102,1,1:21.0,,Defensive rebound by N. Noel,20,26
103,1,1:21.0,Loose ball foul by T. Warren (drawn by N. Noel),,20,26
104,1,1:11.0,,P. Patterson makes 2-pt jump shot from 7 ft (assist by P. George),20,28
105,1,0:49.0,J. Crawford misses 3-pt jump shot from 25 ft,,20,28
106,1,0:47.0,,Defensive rebound by D. Schröder,20,28
107,1,0:35.0,,P. George makes 2-pt jump shot from 18 ft,20,30
108,1,0:22.0,Turnover by E. Okobo (bad pass; steal by P. George),,20,30
109,1,0:01.0,,D. Schröder misses 2-pt layup from 4 ft,20,30
110,1,0:01.0,Defensive rebound by J. Crawford,,20,30
111,2,11:47.0,J. Crawford makes 2-pt jump shot from 5 ft,,22,30
112,2,11:36.0,,Á. Abrines misses 3-pt jump shot from 25 ft,22,30
113,2,11:33.0,Defensive rebound by T. Warren,,22,30
114,2,11:28.0,Shooting foul by D. Burton (drawn by J. Crawford),,22,30
115,2,11:28.0,J. Crawford makes free throw 1 of 3,,23,30
116,2,11:28.0,J. Crawford makes free throw 2 of 3,,24,30
117,2,11:28.0,,Oklahoma City full timeout,24,30
118,2,11:28.0,J. Crawford makes free throw 3 of 3,,25,30
119,2,11:05.0,,D. Burton misses 2-pt jump shot from 11 ft,25,30
120,2,11:02.0,Defensive rebound by T. Chandler,,25,30
121,2,10:58.0,Turnover by J. Crawford (bad pass; steal by N. Noel),,25,30
122,2,10:57.0,,Personal foul by E. Okobo (drawn by Á. Abrines),25,30
123,2,10:47.0,,P. Patterson misses 2-pt layup from 4 ft (block by T. Warren),25,30
124,2,10:44.0,Defensive rebound by M. Bridges,,25,30
125,2,10:42.0,Turnover by M. Bridges (bad pass; steal by N. Noel),,25,30
126,2,10:40.0,,P. Patterson makes 2-pt dunk from 1 ft (assist by N. Noel),25,32
127,2,10:28.0,Turnover by M. Bridges (offensive foul),,25,32
128,2,10:28.0,Offensive foul by M. Bridges (drawn by D. Burton),,25,32
129,2,10:17.0,,D. Schröder makes 2-pt jump shot from 16 ft (assist by N. Noel),25,34
130,2,10:15.0,Phoenix full timeout,,25,34
131,2,10:15.0,T. Ariza enters the game for M. Bridges,,25,34
132,2,10:15.0,D. Ayton enters the game for T. Chandler,,25,34
133,2,10:15.0,J. Jackson enters the game for E. Okobo,,25,34
134,2,9:55.0,Turnover by D. Ayton (lost ball; steal by N. Noel),,25,34
135,2,9:39.0,,D. Schröder misses 2-pt layup from 4 ft,25,34
136,2,9:36.0,,Offensive rebound by N. Noel,25,34
137,2,9:36.0,,N. Noel misses 2-pt layup at rim,25,34
138,2,9:35.0,Defensive rebound by T. Ariza,,25,34
139,2,9:30.0,T. Warren misses 3-pt jump shot from 23 ft,,25,34
140,2,9:27.0,,Defensive rebound by D. Schröder,25,34
141,2,9:27.0,,J. Grant enters the game for P. Patterson,25,34
142,2,9:14.0,Violation by Team (kicked ball),,25,34
143,2,9:06.0,,N. Noel misses 2-pt layup from 1 ft,25,34
144,2,9:06.0,,Offensive rebound by N. Noel,25,34
145,2,9:06.0,,Shooting foul by D. Ayton (drawn by N. Noel),25,34
146,2,9:06.0,,N. Noel makes free throw 1 of 2,25,35
147,2,9:06.0,,N. Noel misses free throw 2 of 2,25,35
148,2,9:03.0,Defensive rebound by T. Ariza,,25,35
149,2,8:55.0,Personal foul by D. Schröder (drawn by J. Crawford),,25,35
150,2,8:49.0,Turnover by J. Jackson (offensive foul),,25,35
151,2,8:49.0,Offensive foul by J. Jackson (drawn by Á. Abrines),,25,35
152,2,8:49.0,,R. Westbrook enters the game for D. Burton,25,35
153,2,8:36.0,,Turnover by D. Schröder (bad pass),25,35
154,2,8:16.0,Turnover by D. Ayton (bad pass; steal by Á. Abrines),,25,35
155,2,8:13.0,,Shooting foul by J. Crawford (drawn by D. Schröder),25,35
156,2,8:13.0,,D. Schröder makes free throw 1 of 2,25,36
157,2,8:13.0,R. Anderson enters the game for J. Crawford,,25,36
158,2,8:13.0,E. Okobo enters the game for T. Warren,,25,36
159,2,8:13.0,,D. Schröder makes free throw 2 of 2,25,37
160,2,7:56.0,J. Jackson misses 2-pt layup from 2 ft,,25,37
161,2,7:53.0,,Defensive rebound by N. Noel,25,37
162,2,7:48.0,,Á. Abrines misses 3-pt jump shot from 24 ft,25,37
163,2,7:45.0,Defensive rebound by E. Okobo,,25,37
164,2,7:37.0,R. Anderson misses 2-pt jump shot from 15 ft,,25,37
165,2,7:34.0,,Defensive rebound by N. Noel,25,37
166,2,7:25.0,,D. Schröder makes 2-pt jump shot from 6 ft,25,39
167,2,7:10.0,Turnover by J. Jackson (bad pass; steal by R. Westbrook),,25,39
168,2,7:10.0,,Personal take foul by J. Jackson (drawn by R. Westbrook),25,39
169,2,7:10.0,M. Bridges enters the game for J. Jackson,,25,39
170,2,7:00.0,,Turnover by N. Noel (offensive foul),25,39
171,2,7:00.0,,Offensive foul by N. Noel (drawn by M. Bridges),25,39
172,2,6:48.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Ariza),,28,39
173,2,6:28.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),28,41
174,2,6:21.0,Personal foul by R. Westbrook (drawn by M. Bridges),,28,41
175,2,6:21.0,T. Chandler enters the game for D. Ayton,,28,41
176,2,6:21.0,,P. George enters the game for N. Noel,28,41
177,2,6:21.0,,P. Patterson enters the game for D. Schröder,28,41
178,2,6:14.0,Offensive foul by M. Bridges (drawn by J. Grant),,28,41
179,2,6:14.0,Turnover by M. Bridges (offensive foul),,28,41
180,2,6:09.0,,Personal foul by M. Bridges (drawn by J. Grant),28,41
181,2,6:09.0,,J. Grant misses free throw 1 of 2,28,41
182,2,6:09.0,,Offensive rebound by Team,28,41
183,2,6:09.0,,J. Grant misses free throw 2 of 2,28,41
184,2,6:07.0,Defensive rebound by T. Chandler,,28,41
185,2,5:51.0,E. Okobo misses 2-pt layup from 4 ft,,28,41
186,2,5:49.0,Offensive rebound by E. Okobo,,28,41
187,2,5:41.0,Turnover by E. Okobo (bad pass; steal by Á. Abrines),,28,41
188,2,5:37.0,,Shooting foul by T. Ariza (drawn by R. Westbrook),28,41
189,2,5:37.0,,R. Westbrook misses free throw 1 of 2,28,41
