,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by B. Forbes),0,2
1,1,11:23.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,0,2
2,1,11:18.0,,Defensive rebound by L. Aldridge,0,2
3,1,11:05.0,,D. White misses 3-pt jump shot from 24 ft,0,2
4,1,11:03.0,Defensive rebound by B. Hield,,0,2
5,1,10:42.0,D. Fox misses 3-pt jump shot from 26 ft,,0,2
6,1,10:35.0,Offensive rebound by N. Bjelica,,0,2
7,1,10:35.0,N. Bjelica makes 2-pt layup at rim,,2,2
8,1,10:27.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),2,4
9,1,10:19.0,H. Barnes misses 3-pt jump shot from 27 ft,,2,4
10,1,10:14.0,,Defensive rebound by B. Forbes,2,4
11,1,10:04.0,,Personal foul by N. Bjelica (drawn by L. Aldridge),2,4
12,1,9:51.0,,D. DeRozan misses 2-pt jump shot from 6 ft,2,4
13,1,9:47.0,Defensive rebound by W. Cauley-Stein,,2,4
14,1,9:41.0,Turnover by D. Fox (lost ball; steal by D. DeRozan),,2,4
15,1,9:36.0,,L. Aldridge misses 2-pt layup from 7 ft,2,4
16,1,9:35.0,,Offensive rebound by L. Aldridge,2,4
17,1,9:33.0,,L. Aldridge misses 2-pt layup from 2 ft,2,4
18,1,9:32.0,,Offensive rebound by R. Gay,2,4
19,1,9:30.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by R. Gay),2,7
20,1,9:12.0,N. Bjelica misses 2-pt jump shot from 7 ft,,2,7
21,1,9:08.0,Offensive rebound by N. Bjelica,,2,7
22,1,9:03.0,N. Bjelica misses 2-pt layup from 4 ft,,2,7
23,1,9:01.0,,Defensive rebound by L. Aldridge,2,7
24,1,9:00.0,,L. Aldridge misses 2-pt layup from 2 ft,2,7
25,1,8:59.0,,Offensive rebound by L. Aldridge,2,7
26,1,8:58.0,,L. Aldridge makes 2-pt layup from 1 ft,2,9
27,1,8:56.0,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),,2,9
28,1,8:56.0,W. Cauley-Stein makes free throw 1 of 2,,3,9
29,1,8:56.0,W. Cauley-Stein makes free throw 2 of 2,,4,9
30,1,8:41.0,,R. Gay makes 2-pt jump shot from 15 ft (assist by D. DeRozan),4,11
31,1,8:32.0,B. Hield misses 3-pt jump shot from 26 ft,,4,11
32,1,8:32.0,,Defensive rebound by L. Aldridge,4,11
33,1,8:13.0,,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge),4,11
34,1,8:13.0,,L. Aldridge makes free throw 1 of 2,4,12
35,1,8:13.0,Sacramento full timeout,,4,12
36,1,8:13.0,,L. Aldridge makes free throw 2 of 2,4,13
37,1,8:02.0,Turnover by H. Barnes (bad pass; steal by D. DeRozan),,4,13
38,1,7:45.0,,D. DeRozan misses 2-pt jump shot from 8 ft,4,13
39,1,7:43.0,Defensive rebound by N. Bjelica,,4,13
40,1,7:40.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,7,13
41,1,7:21.0,,B. Forbes misses 2-pt jump shot from 13 ft,7,13
42,1,7:20.0,Defensive rebound by Team,,7,13
43,1,7:20.0,,D. Bertāns enters the game for R. Gay,7,13
44,1,7:08.0,N. Bjelica misses 3-pt jump shot from 24 ft,,7,13
45,1,7:05.0,,Defensive rebound by D. White,7,13
