,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,11:46.0,,R. Hood makes 2-pt jump shot from 19 ft (assist by G. Hill),0,2
1,1,11:24.0,K. Leonard makes 2-pt jump shot from 13 ft (assist by P. Siakam),,2,2
2,1,10:56.0,,T. Thompson misses 2-pt jump shot from 8 ft,2,2
3,1,10:55.0,,Offensive rebound by Team,2,2
4,1,10:41.0,,T. Thompson misses 2-pt jump shot from 17 ft,2,2
5,1,10:40.0,,Offensive rebound by Team,2,2
6,1,10:40.0,,Turnover by Team (shot clock),2,2
7,1,10:26.0,S. Ibaka misses 2-pt hook shot from 7 ft,,2,2
8,1,10:23.0,,Defensive rebound by C. Osman,2,2
9,1,10:10.0,,C. Osman makes 2-pt jump shot from 11 ft,2,4
10,1,9:56.0,K. Leonard misses 2-pt jump shot from 19 ft,,2,4
11,1,9:54.0,,Defensive rebound by R. Hood,2,4
12,1,9:48.0,,R. Hood makes 2-pt jump shot from 8 ft,2,6
13,1,9:25.0,P. Siakam misses 2-pt layup from 6 ft,,2,6
14,1,9:19.0,Offensive rebound by D. Green,,2,6
15,1,9:19.0,D. Green makes 2-pt layup at rim,,4,6
16,1,9:04.0,,T. Thompson makes 2-pt hook shot from 6 ft,4,8
17,1,8:51.0,Turnover by K. Leonard (bad pass; steal by T. Thompson),,4,8
18,1,8:40.0,,R. Hood misses 2-pt jump shot from 7 ft,4,8
19,1,8:35.0,Defensive rebound by F. VanVleet,,4,8
20,1,8:33.0,K. Leonard misses 3-pt jump shot from 24 ft,,4,8
21,1,8:28.0,,Defensive rebound by C. Osman,4,8
22,1,8:19.0,,C. Osman misses 3-pt jump shot from 26 ft,4,8
23,1,8:14.0,Defensive rebound by D. Green,,4,8
24,1,8:10.0,K. Leonard misses 2-pt jump shot from 19 ft,,4,8
25,1,8:07.0,,Defensive rebound by T. Thompson,4,8
26,1,8:03.0,,Shooting foul by P. Siakam (drawn by C. Osman),4,8
27,1,8:03.0,,C. Osman makes free throw 1 of 2,4,9
28,1,8:03.0,,C. Osman makes free throw 2 of 2,4,10
29,1,7:53.0,F. VanVleet misses 2-pt layup from 3 ft,,4,10
30,1,7:50.0,,Defensive rebound by T. Thompson,4,10
31,1,7:41.0,,C. Sexton misses 2-pt jump shot from 18 ft,4,10
32,1,7:38.0,Defensive rebound by P. Siakam,,4,10
33,1,7:29.0,F. VanVleet makes 2-pt layup from 2 ft (assist by P. Siakam),,6,10
34,1,7:08.0,,C. Osman misses 2-pt jump shot from 17 ft,6,10
35,1,7:05.0,Defensive rebound by P. Siakam,,6,10
36,1,7:02.0,Turnover by P. Siakam (bad pass),,6,10
37,1,7:02.0,,Cleveland full timeout,6,10
38,1,7:02.0,,J. Clarkson enters the game for G. Hill,6,10
39,1,6:39.0,,R. Hood makes 2-pt jump shot from 22 ft,6,12
40,1,6:24.0,P. Siakam misses 2-pt layup from 9 ft,,6,12
41,1,6:24.0,,Defensive rebound by T. Thompson,6,12
42,1,6:09.0,,R. Hood misses 3-pt jump shot from 25 ft,6,12
43,1,6:05.0,Defensive rebound by F. VanVleet,,6,12
44,1,5:57.0,F. VanVleet makes 2-pt layup from 1 ft,,8,12
45,1,5:44.0,,J. Clarkson misses 3-pt jump shot from 26 ft,8,12
46,1,5:40.0,Defensive rebound by K. Leonard,,8,12
47,1,5:33.0,P. Siakam misses 3-pt jump shot from 27 ft,,8,12
48,1,5:30.0,Offensive rebound by K. Leonard,,8,12
49,1,5:28.0,K. Leonard makes 2-pt layup from 2 ft,,10,12
50,1,5:15.0,,C. Sexton makes 2-pt jump shot from 14 ft,10,14
51,1,5:02.0,F. VanVleet misses 2-pt jump shot from 16 ft,,10,14
52,1,4:59.0,,Defensive rebound by C. Sexton,10,14
53,1,4:54.0,,C. Osman misses 3-pt jump shot from 23 ft,10,14
54,1,4:49.0,Defensive rebound by S. Ibaka,,10,14
55,1,4:38.0,P. Siakam makes 2-pt jump shot from 13 ft (assist by F. VanVleet),,12,14
56,1,4:23.0,,Turnover by C. Sexton (lost ball; steal by F. VanVleet),12,14
57,1,4:19.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Leonard),,14,14
58,1,3:56.0,,J. Clarkson misses 2-pt layup from 13 ft,14,14
59,1,3:53.0,,Offensive rebound by J. Clarkson,14,14
60,1,3:53.0,,J. Clarkson misses 2-pt layup from 1 ft,14,14
61,1,3:52.0,Defensive rebound by D. Green,,14,14
62,1,3:50.0,D. Green makes 3-pt jump shot from 26 ft,,17,14
63,1,3:43.0,,Cleveland full timeout,17,14
64,1,3:43.0,O. Anunoby enters the game for S. Ibaka,,17,14
65,1,3:43.0,J. Valančiūnas enters the game for K. Leonard,,17,14
66,1,3:43.0,,A. Burks enters the game for R. Hood,17,14
67,1,3:43.0,,L. Nance enters the game for T. Thompson,17,14
68,1,3:30.0,,Offensive foul by L. Nance (drawn by O. Anunoby),17,14
69,1,3:30.0,,Turnover by L. Nance (offensive foul),17,14
70,1,3:21.0,D. Green misses 3-pt jump shot from 27 ft,,17,14
71,1,3:17.0,Offensive rebound by O. Anunoby,,17,14
72,1,3:16.0,O. Anunoby makes 2-pt layup from 2 ft,,19,14
73,1,3:09.0,,Personal foul by F. VanVleet (drawn by C. Sexton),19,14
74,1,3:09.0,D. Wright enters the game for D. Green,,19,14
75,1,3:09.0,,T. Thompson enters the game for C. Osman,19,14
76,1,3:03.0,,C. Sexton makes 2-pt jump shot from 20 ft,19,16
77,1,2:48.0,O. Anunoby misses 2-pt layup from 4 ft,,19,16
78,1,2:45.0,,Defensive rebound by A. Burks,19,16
79,1,2:30.0,,T. Thompson misses 2-pt hook shot from 5 ft,19,16
80,1,2:26.0,Defensive rebound by J. Valančiūnas,,19,16
81,1,2:22.0,P. Siakam misses 2-pt layup from 3 ft,,19,16
82,1,2:19.0,,Defensive rebound by L. Nance,19,16
83,1,2:14.0,,T. Thompson misses 2-pt layup from 3 ft,19,16
84,1,2:11.0,Defensive rebound by P. Siakam,,19,16
85,1,2:01.0,F. VanVleet misses 2-pt layup from 2 ft,,19,16
86,1,1:59.0,,Defensive rebound by T. Thompson,19,16
87,1,1:56.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),19,18
88,1,1:28.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,19,18
89,1,1:25.0,,Defensive rebound by A. Burks,19,18
90,1,1:21.0,,Shooting foul by F. VanVleet (drawn by L. Nance),19,18
91,1,1:21.0,,L. Nance makes free throw 1 of 2,19,19
92,1,1:21.0,S. Ibaka enters the game for P. Siakam,,19,19
93,1,1:21.0,C. Miles enters the game for F. VanVleet,,19,19
94,1,1:21.0,,R. Hood enters the game for C. Sexton,19,19
95,1,1:21.0,,L. Nance misses free throw 2 of 2,19,19
96,1,1:20.0,,Offensive rebound by Team,19,19
97,1,1:20.0,Loose ball foul by J. Valančiūnas (drawn by T. Thompson),,19,19
98,1,1:20.0,,T. Thompson makes free throw 1 of 2,19,20
99,1,1:20.0,,T. Thompson makes free throw 2 of 2,19,21
100,1,1:11.0,Personal foul by A. Burks (drawn by C. Miles),,19,21
101,1,1:03.0,S. Ibaka misses 2-pt hook shot from 7 ft,,19,21
102,1,1:01.0,Offensive rebound by Team,,19,21
103,1,0:56.0,C. Miles misses 2-pt jump shot from 12 ft,,19,21
104,1,0:55.0,Offensive rebound by Team,,19,21
105,1,0:48.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,21,21
106,1,0:32.0,,T. Thompson misses 2-pt jump shot from 8 ft,21,21
107,1,0:28.0,Defensive rebound by S. Ibaka,,21,21
108,1,0:19.0,O. Anunoby misses 3-pt jump shot from 26 ft,,21,21
109,1,0:17.0,,Defensive rebound by Team,21,21
110,1,0:01.0,,Turnover by J. Clarkson (lost ball; steal by D. Wright),21,21
111,2,11:42.0,O. Anunoby makes 2-pt layup from 3 ft (assist by C. Miles),,23,21
112,2,11:15.0,,Shooting foul by J. Valančiūnas (drawn by J. Clarkson),23,21
