,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
0,1,11:52.0,Turnover by P. Beverley (traveling),,0,0
1,1,11:43.0,,Personal foul by T. Harris (drawn by B. Simmons),0,0
2,1,11:28.0,,J. Embiid makes 2-pt jump shot from 11 ft,0,2
3,1,11:09.0,Turnover by A. Bradley (bad pass; steal by M. Fultz),,0,2
4,1,11:00.0,,B. Simmons makes 2-pt jump shot from 9 ft (assist by R. Covington),0,4
5,1,10:40.0,Shooting foul by J. Embiid (drawn by D. Gallinari),,0,4
6,1,10:40.0,D. Gallinari makes free throw 1 of 2,,1,4
7,1,10:40.0,D. Gallinari makes free throw 2 of 2,,2,4
8,1,10:28.0,,J. Embiid misses 2-pt layup from 3 ft,2,4
9,1,10:25.0,,Offensive rebound by D. Šarić,2,4
10,1,10:20.0,,B. Simmons misses 2-pt jump shot from 12 ft,2,4
11,1,10:18.0,Defensive rebound by D. Gallinari,,2,4
12,1,10:10.0,T. Harris misses 2-pt jump shot from 6 ft,,2,4
13,1,10:08.0,,Defensive rebound by J. Embiid,2,4
14,1,9:46.0,,J. Embiid misses 2-pt jump shot from 8 ft,2,4
15,1,9:45.0,,Offensive rebound by Team,2,4
16,1,9:45.0,Loose ball foul by P. Beverley (drawn by R. Covington),,2,4
17,1,9:45.0,,Turnover by R. Covington (offensive foul),2,4
18,1,9:45.0,,Offensive foul by R. Covington (drawn by P. Beverley),2,4
19,1,9:29.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by M. Gortat),,4,4
20,1,9:14.0,,M. Fultz misses 2-pt jump shot from 17 ft,4,4
21,1,9:12.0,,Offensive rebound by B. Simmons,4,4
22,1,9:10.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by B. Simmons),4,7
23,1,8:51.0,D. Gallinari misses 3-pt jump shot from 26 ft,,4,7
24,1,8:48.0,,Defensive rebound by M. Fultz,4,7
25,1,8:39.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),4,10
26,1,8:38.0,LA Clippers full timeout,,4,10
27,1,8:18.0,Turnover by A. Bradley (bad pass; steal by B. Simmons),,4,10
28,1,8:09.0,,D. Šarić misses 3-pt jump shot from 26 ft,4,10
29,1,8:05.0,,Offensive rebound by M. Fultz,4,10
30,1,8:03.0,,M. Fultz misses 2-pt layup from 3 ft (block by M. Gortat),4,10
31,1,8:00.0,Defensive rebound by T. Harris,,4,10
32,1,7:54.0,T. Harris makes 2-pt jump shot from 7 ft,,6,10
33,1,7:32.0,,J. Embiid makes 2-pt hook shot from 10 ft,6,12
34,1,7:18.0,P. Beverley misses 2-pt layup from 5 ft (block by R. Covington),,6,12
35,1,7:17.0,Offensive rebound by Team,,6,12
36,1,7:17.0,,A. Johnson enters the game for J. Embiid,6,12
37,1,7:17.0,,J. Redick enters the game for M. Fultz,6,12
38,1,7:07.0,Shooting foul by R. Covington (drawn by D. Gallinari),,6,12
39,1,7:07.0,D. Gallinari makes free throw 1 of 2,,7,12
40,1,7:07.0,M. Harrell enters the game for M. Gortat,,7,12
41,1,7:07.0,D. Gallinari makes free throw 2 of 2,,8,12
42,1,7:07.0,,L. Shamet enters the game for R. Covington,8,12
43,1,6:47.0,,Turnover by A. Johnson (offensive foul),8,12
44,1,6:47.0,,Offensive foul by A. Johnson (drawn by A. Bradley),8,12
45,1,6:35.0,Def 3 sec tech foul by Team,,8,12
46,1,6:35.0,D. Gallinari makes technical free throw,,9,12
47,1,6:31.0,Personal foul by D. Šarić (drawn by M. Harrell),,9,12
48,1,6:31.0,,M. Muscala enters the game for D. Šarić,9,12
49,1,6:22.0,P. Beverley misses 2-pt jump shot from 8 ft,,9,12
50,1,6:19.0,Offensive rebound by P. Beverley,,9,12
51,1,6:09.0,T. Harris makes 3-pt jump shot from 23 ft (assist by P. Beverley),,12,12
52,1,5:55.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Simmons),12,14
53,1,5:27.0,T. Harris misses 2-pt jump shot from 14 ft,,12,14
54,1,5:25.0,,Defensive rebound by A. Johnson,12,14
55,1,5:16.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),12,17
56,1,4:59.0,T. Harris makes 2-pt layup from 2 ft,,14,17
57,1,4:59.0,,Philadelphia full timeout,14,17
58,1,4:59.0,S. Gilgeous-Alexander enters the game for P. Beverley,,14,17
59,1,4:59.0,M. Scott enters the game for D. Gallinari,,14,17
60,1,4:47.0,,A. Johnson makes 2-pt hook shot from 7 ft (assist by J. Redick),14,19
61,1,4:40.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by L. Shamet),,14,19
62,1,4:34.0,,J. Redick misses 2-pt jump shot from 22 ft,14,19
63,1,4:34.0,Defensive rebound by Team,,14,19
64,1,4:18.0,T. Harris misses 2-pt jump shot from 10 ft,,14,19
65,1,4:15.0,,Defensive rebound by A. Johnson,14,19
66,1,4:08.0,,B. Simmons makes 2-pt hook shot from 10 ft,14,21
67,1,3:53.0,S. Gilgeous-Alexander makes 2-pt jump shot from 8 ft,,16,21
68,1,3:40.0,,B. Simmons makes 2-pt layup from 3 ft (assist by A. Johnson),16,23
69,1,3:26.0,T. Harris makes 2-pt jump shot from 17 ft (assist by M. Harrell),,18,23
70,1,3:15.0,,L. Shamet misses 3-pt jump shot from 26 ft,18,23
71,1,3:10.0,Defensive rebound by M. Scott,,18,23
72,1,3:05.0,A. Bradley misses 2-pt jump shot from 17 ft,,18,23
73,1,3:03.0,,Defensive rebound by M. Muscala,18,23
74,1,2:59.0,,Personal foul by A. Bradley (drawn by B. Simmons),18,23
75,1,2:59.0,L. Williams enters the game for A. Bradley,,18,23
76,1,2:59.0,,J. Embiid enters the game for A. Johnson,18,23
77,1,2:59.0,,M. Fultz enters the game for B. Simmons,18,23
78,1,2:47.0,,J. Embiid makes 2-pt hook shot from 10 ft (assist by J. Redick),18,25
79,1,2:24.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,18,25
80,1,2:22.0,,Defensive rebound by M. Fultz,18,25
81,1,2:18.0,,Shooting foul by M. Scott (drawn by M. Fultz),18,25
82,1,2:18.0,,M. Fultz misses free throw 1 of 2,18,25
83,1,2:18.0,,Offensive rebound by Team,18,25
84,1,2:18.0,,M. Fultz makes free throw 2 of 2,18,26
85,1,2:09.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,,20,26
86,1,2:09.0,Shooting foul by M. Muscala (drawn by S. Gilgeous-Alexander),,20,26
87,1,2:09.0,M. Teodosić enters the game for T. Harris,,20,26
88,1,2:09.0,S. Gilgeous-Alexander makes free throw 1 of 1,,21,26
89,1,1:57.0,,M. Fultz misses 2-pt jump shot from 13 ft,21,26
90,1,1:55.0,Defensive rebound by Team,,21,26
91,1,1:44.0,L. Williams misses 3-pt jump shot from 27 ft,,21,26
92,1,1:43.0,Offensive rebound by Team,,21,26
93,1,1:35.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,23,26
94,1,1:22.0,,Offensive foul by M. Muscala (drawn by L. Williams),23,26
95,1,1:22.0,,Turnover by M. Muscala (offensive foul),23,26
96,1,1:11.0,L. Williams misses 2-pt layup from 2 ft (block by J. Embiid),,23,26
97,1,1:07.0,,Defensive rebound by J. Redick,23,26
98,1,1:05.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by M. Fultz),23,29
99,1,0:57.0,M. Harrell makes 2-pt layup at rim (assist by M. Teodosić),,25,29
100,1,0:50.0,,J. Embiid makes 2-pt jump shot from 4 ft,25,31
101,1,0:50.0,,Shooting foul by M. Harrell (drawn by J. Embiid),25,31
102,1,0:50.0,,J. Embiid makes free throw 1 of 1,25,32
103,1,0:36.0,Personal foul by J. Redick (drawn by L. Williams),,25,32
104,1,0:36.0,L. Williams makes free throw 1 of 2,,26,32
105,1,0:36.0,L. Williams makes free throw 2 of 2,,27,32
106,1,0:27.0,,J. Redick misses 3-pt jump shot from 26 ft,27,32
107,1,0:25.0,Defensive rebound by S. Gilgeous-Alexander,,27,32
108,1,0:21.0,L. Williams makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),,30,32
109,1,0:06.0,,Personal foul by S. Gilgeous-Alexander (drawn by J. Redick),30,32
110,1,0:06.0,,J. Redick makes free throw 1 of 2,30,33
111,1,0:06.0,,J. Redick makes free throw 2 of 2,30,34
112,1,0:01.0,M. Harrell misses 2-pt jump shot from 12 ft,,30,34
113,1,0:01.0,,Defensive rebound by J. Embiid,30,34
114,2,11:44.0,,J. Embiid makes 2-pt layup at rim,30,36
115,2,11:44.0,,Shooting foul by M. Harrell (drawn by J. Embiid),30,36
116,2,11:44.0,,J. Embiid makes free throw 1 of 1,30,37
117,2,11:25.0,M. Scott makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,33,37
118,2,11:12.0,,J. Embiid misses 2-pt layup from 2 ft,33,37
119,2,11:10.0,,Offensive rebound by J. Embiid,33,37
120,2,11:08.0,,J. Embiid misses 2-pt hook shot from 3 ft,33,37
121,2,11:06.0,Defensive rebound by M. Scott,,33,37
122,2,10:52.0,M. Teodosić misses 3-pt jump shot from 27 ft,,33,37
123,2,10:48.0,,Defensive rebound by R. Covington,33,37
124,2,10:40.0,,M. Fultz makes 2-pt layup from 2 ft,33,39
125,2,10:25.0,M. Harrell makes 2-pt hook shot from 3 ft (assist by L. Williams),,35,39
126,2,10:11.0,,M. Fultz makes 2-pt layup from 2 ft,35,41
127,2,10:04.0,Turnover by M. Teodosić (traveling),,35,41
128,2,9:52.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Redick),35,41
129,2,9:52.0,,J. Redick makes free throw 1 of 2,35,42
130,2,9:52.0,,J. Redick makes free throw 2 of 2,35,43
131,2,9:42.0,L. Williams makes 2-pt jump shot from 10 ft (assist by M. Harrell),,37,43
132,2,9:31.0,,J. Embiid makes 2-pt jump shot from 16 ft,37,45
133,2,9:19.0,M. Teodosić misses 2-pt jump shot from 9 ft,,37,45
134,2,9:17.0,,Defensive rebound by J. Embiid,37,45
135,2,9:12.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),37,48
