,QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
0,1,11:39.0,,K. Towns misses 2-pt hook shot from 9 ft,0,0
1,1,11:37.0,,Offensive rebound by Team,0,0
2,1,11:25.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by A. Wiggins),0,3
3,1,10:59.0,M. Turner misses 2-pt jump shot from 14 ft,,0,3
4,1,10:57.0,,Defensive rebound by T. Gibson,0,3
5,1,10:49.0,,T. Gibson makes 2-pt hook shot from 6 ft (assist by J. Teague),0,5
6,1,10:29.0,T. Young makes 2-pt layup from 1 ft (assist by M. Turner),,2,5
7,1,10:04.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),2,8
8,1,9:48.0,M. Turner misses 3-pt jump shot from 25 ft,,2,8
9,1,9:45.0,,Defensive rebound by J. Teague,2,8
10,1,9:39.0,,K. Towns misses 2-pt layup from 6 ft (block by T. Young),2,8
11,1,9:36.0,Defensive rebound by T. Young,,2,8
12,1,9:34.0,D. Collison misses 2-pt layup from 1 ft,,2,8
13,1,9:33.0,Offensive rebound by Team,,2,8
14,1,9:28.0,V. Oladipo makes 2-pt jump shot from 12 ft,,4,8
15,1,9:14.0,,J. Teague misses 2-pt jump shot from 10 ft,4,8
16,1,9:11.0,Defensive rebound by M. Turner,,4,8
17,1,9:08.0,Shooting foul by J. Teague (drawn by D. Collison),,4,8
18,1,9:08.0,D. Collison makes free throw 1 of 2,,5,8
19,1,9:08.0,D. Collison misses free throw 2 of 2,,5,8
20,1,9:06.0,,Defensive rebound by K. Towns,5,8
21,1,8:58.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by J. Teague),5,10
22,1,8:41.0,M. Turner misses 2-pt jump shot from 18 ft,,5,10
23,1,8:39.0,,Defensive rebound by J. Teague,5,10
24,1,8:34.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),5,12
25,1,8:11.0,T. Young misses 2-pt layup from 5 ft,,5,12
26,1,8:09.0,,Defensive rebound by K. Towns,5,12
27,1,8:06.0,,Shooting foul by M. Turner (drawn by J. Butler),5,12
28,1,8:06.0,,J. Butler makes free throw 1 of 2,5,13
