,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:45.0,J. Green makes 2-pt dunk from 1 ft (assist by B. Beal),,2,0
1,1,11:30.0,,A. Gordon misses 3-pt jump shot from 26 ft,2,0
2,1,11:27.0,,Offensive rebound by N. Vučević,2,0
3,1,11:21.0,,N. Vučević makes 2-pt hook shot from 8 ft,2,2
4,1,11:05.0,T. Satoranský misses 2-pt jump shot from 12 ft,,2,2
5,1,11:01.0,,Defensive rebound by N. Vučević,2,2
6,1,10:54.0,,N. Vučević misses 2-pt jump shot from 19 ft,2,2
7,1,10:52.0,Defensive rebound by T. Ariza,,2,2
8,1,10:45.0,T. Bryant makes 2-pt jump shot from 16 ft (assist by B. Beal),,4,2
9,1,10:27.0,,Shooting foul by T. Bryant (drawn by A. Gordon),4,2
10,1,10:27.0,,A. Gordon misses free throw 1 of 2,4,2
11,1,10:27.0,,Offensive rebound by Team,4,2
12,1,10:27.0,,A. Gordon makes free throw 2 of 2,4,3
13,1,10:15.0,T. Bryant misses 2-pt jump shot from 16 ft,,4,3
14,1,10:12.0,,Defensive rebound by D. Augustin,4,3
15,1,10:02.0,,Personal foul by T. Ariza (drawn by J. Isaac),4,3
16,1,9:47.0,,J. Isaac misses 3-pt jump shot from 25 ft,4,3
17,1,9:45.0,,Offensive rebound by A. Gordon,4,3
18,1,9:42.0,,E. Fournier misses 3-pt jump shot from 25 ft,4,3
19,1,9:38.0,Defensive rebound by B. Beal,,4,3
20,1,9:27.0,B. Beal misses 3-pt jump shot from 27 ft,,4,3
21,1,9:25.0,,Defensive rebound by A. Gordon,4,3
22,1,9:18.0,,A. Gordon misses 2-pt jump shot from 8 ft,4,3
23,1,9:16.0,Defensive rebound by T. Ariza,,4,3
24,1,9:14.0,Turnover by T. Ariza (bad pass),,4,3
25,1,9:03.0,,N. Vučević misses 2-pt hook shot from 2 ft,4,3
26,1,8:57.0,,Offensive rebound by J. Isaac,4,3
27,1,8:57.0,,J. Isaac makes 2-pt dunk at rim,4,5
28,1,8:45.0,T. Satoranský makes 2-pt layup from 2 ft (assist by J. Green),,6,5
